myFlowerExperiment | INFO flwr 2023-10-11 16:56:08,546 | app.py:175 | Starting Flower simulation, config: ServerConfig(num_rounds=100, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-11 16:56:12,440 | app.py:210 | Flower VCE: Ray initialized with resources: {'CPU': 8.0, 'memory': 18868853147.0, 'object_store_memory': 9434426572.0, 'node:10.17.0.235': 1.0, 'node:__internal_head__': 1.0}
myFlowerExperiment | INFO flwr 2023-10-11 16:56:12,440 | app.py:224 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 1}
myFlowerExperiment | INFO flwr 2023-10-11 16:56:12,456 | app.py:270 | Flower VCE: Creating VirtualClientEngineActorPool with 8 actors
myFlowerExperiment | INFO flwr 2023-10-11 16:56:12,456 | server.py:89 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-11 16:56:12,457 | server.py:276 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 16:56:16,875 | server.py:280 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 16:56:16,875 | server.py:91 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-11 16:56:28,587 | server.py:94 | initial parameters (loss, other metrics): 0.6388958096504211, {'accuracy': 0.7038135528564453}
myFlowerExperiment | INFO flwr 2023-10-11 16:56:28,587 | server.py:104 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-11 16:56:28,587 | server.py:222 | fit_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 16:57:22,233 | server.py:236 | fit_round 1 received 19 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-11 16:57:22,264 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | INFO flwr 2023-10-11 16:57:33,160 | server.py:125 | fit progress: (1, 0.609411895275116, {'accuracy': 0.7017377614974976}, 64.57253308896907)
myFlowerExperiment | DEBUG flwr 2023-10-11 16:57:33,160 | server.py:173 | evaluate_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 16:57:34,381 | server.py:187 | evaluate_round 1 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 16:57:34,381 | server.py:222 | fit_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 16:58:26,831 | server.py:236 | fit_round 2 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 16:58:38,597 | server.py:125 | fit progress: (2, 0.6001523733139038, {'accuracy': 0.7205978035926819}, 130.009452416969)
myFlowerExperiment | DEBUG flwr 2023-10-11 16:58:38,597 | server.py:173 | evaluate_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 16:58:39,777 | server.py:187 | evaluate_round 2 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 16:58:39,777 | server.py:222 | fit_round 3: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 16:59:32,645 | server.py:236 | fit_round 3 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 16:59:43,550 | server.py:125 | fit progress: (3, 0.5803834199905396, {'accuracy': 0.7192708253860474}, 194.96288795297733)
myFlowerExperiment | DEBUG flwr 2023-10-11 16:59:43,550 | server.py:173 | evaluate_round 3: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 16:59:44,465 | server.py:187 | evaluate_round 3 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 16:59:44,465 | server.py:222 | fit_round 4: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:00:37,551 | server.py:236 | fit_round 4 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 17:00:48,551 | server.py:125 | fit progress: (4, 0.5676479935646057, {'accuracy': 0.730087161064148}, 259.9635344099952)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:00:48,551 | server.py:173 | evaluate_round 4: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:00:49,458 | server.py:187 | evaluate_round 4 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 17:00:49,458 | server.py:222 | fit_round 5: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:01:41,424 | server.py:236 | fit_round 5 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 17:01:52,383 | server.py:125 | fit progress: (5, 0.5632457137107849, {'accuracy': 0.7337717413902283}, 323.79534850496566)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:01:52,383 | server.py:173 | evaluate_round 5: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:01:53,504 | server.py:187 | evaluate_round 5 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 17:01:53,504 | server.py:222 | fit_round 6: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:02:46,301 | server.py:236 | fit_round 6 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 17:02:57,298 | server.py:125 | fit progress: (6, 0.560820460319519, {'accuracy': 0.742860734462738}, 388.7109914199682)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:02:57,298 | server.py:173 | evaluate_round 6: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:02:58,320 | server.py:187 | evaluate_round 6 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 17:02:58,320 | server.py:222 | fit_round 7: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:03:50,674 | server.py:236 | fit_round 7 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 17:04:01,592 | server.py:125 | fit progress: (7, 0.5625735521316528, {'accuracy': 0.742401123046875}, 453.0052667949931)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:04:01,593 | server.py:173 | evaluate_round 7: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:04:02,565 | server.py:187 | evaluate_round 7 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 17:04:02,566 | server.py:222 | fit_round 8: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 17:04:55,280 | server.py:236 | fit_round 8 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 17:05:06,140 | server.py:125 | fit progress: (8, 0.5615957975387573, {'accuracy': 0.7455963492393494}, 517.5528398840106)
