myFlowerExperiment | INFO flwr 2023-10-11 13:03:33,424 | app.py:175 | Starting Flower simulation, config: ServerConfig(num_rounds=100, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-11 13:03:37,367 | app.py:210 | Flower VCE: Ray initialized with resources: {'CPU': 8.0, 'memory': 19026333696.0, 'object_store_memory': 9513166848.0, 'node:10.17.0.235': 1.0, 'node:__internal_head__': 1.0}
myFlowerExperiment | INFO flwr 2023-10-11 13:03:37,367 | app.py:224 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 1}
myFlowerExperiment | INFO flwr 2023-10-11 13:03:37,385 | app.py:270 | Flower VCE: Creating VirtualClientEngineActorPool with 8 actors
myFlowerExperiment | INFO flwr 2023-10-11 13:03:37,385 | server.py:89 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-11 13:03:37,385 | server.py:276 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 13:03:41,854 | server.py:280 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 13:03:41,854 | server.py:91 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-11 13:03:53,654 | server.py:94 | initial parameters (loss, other metrics): 0.7249898910522461, {'accuracy': 0.3962843120098114}
myFlowerExperiment | INFO flwr 2023-10-11 13:03:53,654 | server.py:104 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-11 13:03:53,655 | server.py:222 | fit_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:04:49,769 | server.py:236 | fit_round 1 received 19 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-11 13:04:49,801 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | INFO flwr 2023-10-11 13:05:01,555 | server.py:125 | fit progress: (1, 0.588127613067627, {'accuracy': 0.7070977687835693}, 67.9007182699861)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:05:01,556 | server.py:173 | evaluate_round 1: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:05:05,467 | server.py:187 | evaluate_round 1 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 13:05:05,468 | server.py:222 | fit_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:05:59,672 | server.py:236 | fit_round 2 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 13:06:10,668 | server.py:125 | fit progress: (2, 0.5982657074928284, {'accuracy': 0.7250978350639343}, 137.01302987500094)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:06:10,668 | server.py:173 | evaluate_round 2: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:06:14,490 | server.py:187 | evaluate_round 2 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 13:06:14,490 | server.py:222 | fit_round 3: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:07:08,209 | server.py:236 | fit_round 3 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 13:07:19,162 | server.py:125 | fit progress: (3, 0.59636390209198, {'accuracy': 0.7297090888023376}, 205.50759282999206)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:07:19,162 | server.py:173 | evaluate_round 3: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:07:22,635 | server.py:187 | evaluate_round 3 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 13:07:22,635 | server.py:222 | fit_round 4: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:08:16,930 | server.py:236 | fit_round 4 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 13:08:27,970 | server.py:125 | fit progress: (4, 0.5904809832572937, {'accuracy': 0.7396210432052612}, 274.31575324200094)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:08:27,971 | server.py:173 | evaluate_round 4: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:08:31,439 | server.py:187 | evaluate_round 4 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 13:08:31,440 | server.py:222 | fit_round 5: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:09:25,600 | server.py:236 | fit_round 5 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 13:09:36,677 | server.py:125 | fit progress: (5, 0.5828090906143188, {'accuracy': 0.743224024772644}, 343.02224156301236)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:09:36,677 | server.py:173 | evaluate_round 5: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:09:39,927 | server.py:187 | evaluate_round 5 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 13:09:39,927 | server.py:222 | fit_round 6: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:10:34,610 | server.py:236 | fit_round 6 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 13:10:46,550 | server.py:125 | fit progress: (6, 0.5806546807289124, {'accuracy': 0.7477981448173523}, 412.8951269860263)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:10:46,550 | server.py:173 | evaluate_round 6: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:10:49,951 | server.py:187 | evaluate_round 6 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 13:10:49,951 | server.py:222 | fit_round 7: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:11:44,088 | server.py:236 | fit_round 7 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 13:11:55,081 | server.py:125 | fit progress: (7, 0.5814865231513977, {'accuracy': 0.751630961894989}, 481.42633461602964)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:11:55,081 | server.py:173 | evaluate_round 7: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:11:58,604 | server.py:187 | evaluate_round 7 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 13:11:58,604 | server.py:222 | fit_round 8: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:12:52,898 | server.py:236 | fit_round 8 received 19 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 13:13:03,903 | server.py:125 | fit progress: (8, 0.5808197259902954, {'accuracy': 0.7567241191864014}, 550.2485392109957)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:13:03,903 | server.py:173 | evaluate_round 8: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:13:07,331 | server.py:187 | evaluate_round 8 received 0 results and 19 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 13:13:07,331 | server.py:222 | fit_round 9: strategy sampled 19 clients (out of 19)
myFlowerExperiment | DEBUG flwr 2023-10-11 13:14:02,454 | server.py:236 | fit_round 9 received 19 results and 0 failures
