NN_type,units,epochs,batch_size,max_iterations,Users,window_size,time_step,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,1,32,200,19,4,1,0,2023-10-06 16:12:29.303927,2023-10-06 16:13:11.237819,41.933892011642456,0.6988982001940409,awake,0.7071557782983897,0.7071557782983897,1.0,0.8284607500825125,0.0,0.5,0.0,0.0,39500.0,0.0,95384.0
LSTM,128,1,32,200,19,4,1,0,2023-10-06 16:12:29.303927,2023-10-06 16:13:11.237819,41.933892011642456,0.6988982001940409,asleep,0.7071557782983897,0.0,0.0,0.0,0.0,0.5,0.0,95384.0,0.0,39500.0,0.0
LSTM,128,1,32,200,19,4,1,0,2023-10-06 16:12:29.303927,2023-10-06 16:13:11.237819,41.933892011642456,0.6988982001940409,avg,0.7071557782983897,0.35357788914919486,0.5,0.41423037504125626,0.0,0.5,,,,,
LSTM,128,1,32,200,19,4,1,1,2023-10-06 16:13:12.078361,2023-10-06 16:13:40.682750,28.60438895225525,0.4767398158709208,awake,0.7071557782983897,0.7071557782983897,1.0,0.8284607500825125,0.0,0.5,0.0,0.0,39500.0,0.0,95384.0
LSTM,128,1,32,200,19,4,1,1,2023-10-06 16:13:12.078361,2023-10-06 16:13:40.682750,28.60438895225525,0.4767398158709208,asleep,0.7071557782983897,0.0,0.0,0.0,0.0,0.5,0.0,95384.0,0.0,39500.0,0.0
LSTM,128,1,32,200,19,4,1,1,2023-10-06 16:13:12.078361,2023-10-06 16:13:40.682750,28.60438895225525,0.4767398158709208,avg,0.7071557782983897,0.35357788914919486,0.5,0.41423037504125626,0.0,0.5,,,,,
LSTM,128,1,32,200,19,4,1,2,2023-10-06 16:13:41.484297,2023-10-06 16:14:10.425406,28.94110894203186,0.482351815700531,awake,0.7071557782983897,0.7071557782983897,1.0,0.8284607500825125,0.0,0.5,0.0,0.0,39500.0,0.0,95384.0
LSTM,128,1,32,200,19,4,1,2,2023-10-06 16:13:41.484297,2023-10-06 16:14:10.425406,28.94110894203186,0.482351815700531,asleep,0.7071557782983897,0.0,0.0,0.0,0.0,0.5,0.0,95384.0,0.0,39500.0,0.0
LSTM,128,1,32,200,19,4,1,2,2023-10-06 16:13:41.484297,2023-10-06 16:14:10.425406,28.94110894203186,0.482351815700531,avg,0.7071557782983897,0.35357788914919486,0.5,0.41423037504125626,0.0,0.5,,,,,
LSTM,128,1,32,200,19,4,1,3,2023-10-06 16:14:11.253886,2023-10-06 16:14:40.252627,28.998740911483765,0.48331234852472943,awake,0.7071557782983897,0.7071557782983897,1.0,0.8284607500825125,0.0,0.5,0.0,0.0,39500.0,0.0,95384.0
LSTM,128,1,32,200,19,4,1,3,2023-10-06 16:14:11.253886,2023-10-06 16:14:40.252627,28.998740911483765,0.48331234852472943,asleep,0.7071557782983897,0.0,0.0,0.0,0.0,0.5,0.0,95384.0,0.0,39500.0,0.0
LSTM,128,1,32,200,19,4,1,3,2023-10-06 16:14:11.253886,2023-10-06 16:14:40.252627,28.998740911483765,0.48331234852472943,avg,0.7071557782983897,0.35357788914919486,0.5,0.41423037504125626,0.0,0.5,,,,,
