NN_type,units,epochs,batch_size,max_iterations,Users,window_size,time_step,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,32,200,19,4,1,0,2023-10-03 03:35:57.903572,2023-10-03 03:37:10.578321,72.67474889755249,1.2112458149592082,awake,0.7071557782983897,0.7071557782983897,1.0,0.8284607500825125,0.0,0.5,0.0,0.0,39500.0,0.0,95384.0
LSTM,128,3,32,200,19,4,1,0,2023-10-03 03:35:57.903572,2023-10-03 03:37:10.578321,72.67474889755249,1.2112458149592082,asleep,0.7071557782983897,0.0,0.0,0.0,0.0,0.5,0.0,95384.0,0.0,39500.0,0.0
LSTM,128,3,32,200,19,4,1,0,2023-10-03 03:35:57.903572,2023-10-03 03:37:10.578321,72.67474889755249,1.2112458149592082,avg,0.7071557782983897,0.35357788914919486,0.5,0.41423037504125626,0.0,0.5,,,,,
LSTM,128,3,32,200,19,4,1,1,2023-10-03 03:37:11.407968,2023-10-03 03:38:11.137156,59.729187965393066,0.9954864660898844,awake,0.7071854334094482,0.7071767497034401,1.0,0.828475141576625,0.00014321541476403077,0.5000506329113924,0.0,4.0,39496.0,0.0,95384.0
LSTM,128,3,32,200,19,4,1,1,2023-10-03 03:37:11.407968,2023-10-03 03:38:11.137156,59.729187965393066,0.9954864660898844,asleep,0.7071854334094482,1.0,0.00010126582278481013,0.0002025111381125962,0.00014321541476403077,0.5000506329113924,0.0,95384.0,0.0,39496.0,4.0
LSTM,128,3,32,200,19,4,1,1,2023-10-03 03:37:11.407968,2023-10-03 03:38:11.137156,59.729187965393066,0.9954864660898844,avg,0.7071854334094482,0.8535883748517201,0.5000506329113924,0.41433882635736885,0.00014321541476403077,0.5000506329113924,,,,,
LSTM,128,3,32,200,19,4,1,2,2023-10-03 03:38:11.977385,2023-10-03 03:39:18.842838,66.86545300483704,1.114424216747284,awake,0.7073262951869754,0.7073194247699005,0.9998532248595152,0.8285226547127275,0.0011166150742638603,0.5003949668601373,0.0,37.0,39463.0,14.0,95370.0
LSTM,128,3,32,200,19,4,1,2,2023-10-03 03:38:11.977385,2023-10-03 03:39:18.842838,66.86545300483704,1.114424216747284,asleep,0.7073262951869754,0.7254901960784313,0.0009367088607594937,0.0018710019974210513,0.0011166150742638603,0.5003949668601374,0.0,95370.0,14.0,39463.0,37.0
LSTM,128,3,32,200,19,4,1,2,2023-10-03 03:38:11.977385,2023-10-03 03:39:18.842838,66.86545300483704,1.114424216747284,avg,0.7073262951869754,0.7164048104241659,0.5003949668601374,0.41519682835507427,0.0011166150742638603,0.5003949668601373,,,,,
LSTM,128,3,32,200,19,4,1,3,2023-10-03 03:39:19.660901,2023-10-03 03:40:19.770484,60.10958290100098,1.0018263816833497,awake,0.7075264671866196,0.7074949548907882,0.9997379015348486,0.8286034548677487,0.0023122874662717674,0.5008183178560319,0.0,75.0,39425.0,25.0,95359.0
LSTM,128,3,32,200,19,4,1,3,2023-10-03 03:39:19.660901,2023-10-03 03:40:19.770484,60.10958290100098,1.0018263816833497,asleep,0.7075264671866196,0.75,0.0018987341772151898,0.003787878787878788,0.0023122874662717674,0.5008183178560319,0.0,95359.0,25.0,39425.0,75.0
LSTM,128,3,32,200,19,4,1,3,2023-10-03 03:39:19.660901,2023-10-03 03:40:19.770484,60.10958290100098,1.0018263816833497,avg,0.7075264671866196,0.7287474774453941,0.5008183178560319,0.4161956668278137,0.0023122874662717674,0.5008183178560319,,,,,
LSTM,128,3,32,200,19,4,1,4,2023-10-03 03:40:20.615225,2023-10-03 03:41:20.235628,59.620402812957764,0.9936733802159627,awake,0.7082456036297856,0.7080879130673757,0.9994548351924851,0.8289126455870652,0.006337547978340408,0.5022464049380146,0.0,199.0,39301.0,52.0,95332.0
LSTM,128,3,32,200,19,4,1,4,2023-10-03 03:40:20.615225,2023-10-03 03:41:20.235628,59.620402812957764,0.9936733802159627,asleep,0.7082456036297856,0.7928286852589641,0.005037974683544303,0.010012326733918643,0.006337547978340408,0.5022464049380148,0.0,95332.0,52.0,39301.0,199.0
LSTM,128,3,32,200,19,4,1,4,2023-10-03 03:40:20.615225,2023-10-03 03:41:20.235628,59.620402812957764,0.9936733802159627,avg,0.7082456036297856,0.7504582991631699,0.5022464049380148,0.4194624861604919,0.006337547978340408,0.5022464049380146,,,,,
