NN_type,units,epochs,batch_size,max_iterations,Users,window_size,time_step,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MPL,16-8,3,32,200,19,-1,-1,0,2023-10-06 11:23:03.174271,2023-10-06 11:23:22.817338,19.643066883087158,0.3273844480514526,awake,0.704206452760809,0.7072817202372947,0.9924411595114536,0.8259410976891901,0.0009350262532195064,0.5003341913801603,0.0,325.0,39178.0,721.0,94664.0
MPL,16-8,3,32,200,19,-1,-1,0,2023-10-06 11:23:03.174271,2023-10-06 11:23:22.817338,19.643066883087158,0.3273844480514526,asleep,0.704206452760809,0.3107074569789675,0.008227223248867174,0.016029988409085306,0.0009350262532195064,0.5003341913801604,0.0,94664.0,721.0,39178.0,325.0
MPL,16-8,3,32,200,19,-1,-1,0,2023-10-06 11:23:03.174271,2023-10-06 11:23:22.817338,19.643066883087158,0.3273844480514526,avg,0.704206452760809,0.5089945886081311,0.5003341913801604,0.4209855430491377,0.0009350262532195064,0.5003341913801604,,,,,
MPL,16-8,3,32,200,19,-1,-1,1,2023-10-06 11:23:23.627628,2023-10-06 11:23:35.544740,11.917111873626709,0.19861853122711182,awake,0.713888559397426,0.7296742049241322,0.9457881218220894,0.8237931522548065,0.12615392350064702,0.5498628987208313,0.0,6081.0,33422.0,5171.0,90214.0
MPL,16-8,3,32,200,19,-1,-1,1,2023-10-06 11:23:23.627628,2023-10-06 11:23:35.544740,11.917111873626709,0.19861853122711182,asleep,0.713888559397426,0.5404372555990046,0.1539376756195732,0.23962171214658656,0.12615392350064702,0.5498628987208313,0.0,90214.0,5171.0,33422.0,6081.0
MPL,16-8,3,32,200,19,-1,-1,1,2023-10-06 11:23:23.627628,2023-10-06 11:23:35.544740,11.917111873626709,0.19861853122711182,avg,0.713888559397426,0.6350557302615684,0.5498628987208313,0.5317074322006965,0.12615392350064702,0.5498628987208313,,,,,
MPL,16-8,3,32,200,19,-1,-1,2,2023-10-06 11:23:36.371553,2023-10-06 11:23:45.980933,9.609380006790161,0.16015633344650268,awake,0.7190483957060673,0.7322071962903721,0.9502227813597526,0.8270893503246324,0.14070408584971683,0.5555356622541872,0.0,6354.0,33149.0,4748.0,90637.0
MPL,16-8,3,32,200,19,-1,-1,2,2023-10-06 11:23:36.371553,2023-10-06 11:23:45.980933,9.609380006790161,0.16015633344650268,asleep,0.7190483957060673,0.572329310034228,0.16084854314862163,0.2511214306886671,0.14070408584971683,0.5555356622541872,0.0,90637.0,4748.0,33149.0,6354.0
MPL,16-8,3,32,200,19,-1,-1,2,2023-10-06 11:23:36.371553,2023-10-06 11:23:45.980933,9.609380006790161,0.16015633344650268,avg,0.7190483957060673,0.6522682531623001,0.5555356622541872,0.5391053905066497,0.14070408584971683,0.5555356622541872,,,,,
MPL,16-8,3,32,200,19,-1,-1,3,2023-10-06 11:23:46.815224,2023-10-06 11:23:56.485199,9.66997504234314,0.161166250705719,awake,0.7233556728545163,0.7360355746327505,0.9491953661477172,0.8291345000320522,0.16000898874448133,0.5636162386266015,0.0,7033.0,32470.0,4846.0,90539.0
MPL,16-8,3,32,200,19,-1,-1,3,2023-10-06 11:23:46.815224,2023-10-06 11:23:56.485199,9.66997504234314,0.161166250705719,asleep,0.7233556728545163,0.5920532031315767,0.17803711110548565,0.27375345451714606,0.16000898874448133,0.5636162386266014,0.0,90539.0,4846.0,32470.0,7033.0
MPL,16-8,3,32,200,19,-1,-1,3,2023-10-06 11:23:46.815224,2023-10-06 11:23:56.485199,9.66997504234314,0.161166250705719,avg,0.7233556728545163,0.6640443888821637,0.5636162386266014,0.5514439772745992,0.16000898874448133,0.5636162386266015,,,,,
MPL,16-8,3,32,200,19,-1,-1,4,2023-10-06 11:23:57.316860,2023-10-06 11:24:06.915132,9.59827208518982,0.15997120141983032,awake,0.7214874562600083,0.7309594381905774,0.959186454893327,0.8296637527657876,0.13696815045443556,0.5533597768226602,0.0,5828.0,33675.0,3893.0,91492.0
MPL,16-8,3,32,200,19,-1,-1,4,2023-10-06 11:23:57.316860,2023-10-06 11:24:06.915132,9.59827208518982,0.15997120141983032,asleep,0.7214874562600083,0.5995267976545623,0.14753309875199352,0.23679505932065661,0.13696815045443556,0.5533597768226604,0.0,91492.0,3893.0,33675.0,5828.0
MPL,16-8,3,32,200,19,-1,-1,4,2023-10-06 11:23:57.316860,2023-10-06 11:24:06.915132,9.59827208518982,0.15997120141983032,avg,0.7214874562600083,0.6652431179225698,0.5533597768226602,0.5332294060432221,0.13696815045443556,0.5533597768226604,,,,,
MPL,16-8,3,32,200,19,-1,-1,5,2023-10-06 11:24:07.765702,2023-10-06 11:24:19.773326,12.00762391090393,0.20012706518173218,awake,0.7214726291441789,0.7272441415308665,0.969879960161451,0.8312173733344115,0.11981668693426584,0.5457708030561957,0.0,4806.0,34697.0,2873.0,92512.0
MPL,16-8,3,32,200,19,-1,-1,5,2023-10-06 11:24:07.765702,2023-10-06 11:24:19.773326,12.00762391090393,0.20012706518173218,asleep,0.7214726291441789,0.6258627425446022,0.12166164595094044,0.20372175829765587,0.11981668693426584,0.5457708030561957,0.0,92512.0,2873.0,34697.0,4806.0
MPL,16-8,3,32,200,19,-1,-1,5,2023-10-06 11:24:07.765702,2023-10-06 11:24:19.773326,12.00762391090393,0.20012706518173218,avg,0.7214726291441789,0.6765534420377344,0.5457708030561957,0.5174695658160336,0.11981668693426584,0.5457708030561957,,,,,
