NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,5,32,4,1,2023-10-07 02:13:33.712512,2023-10-07 02:19:37.388912,363.67639994621277,6.06127333243688,awake,0.7280848729278491,0.7284087991098177,0.9814014929128575,0.836188068620839,0.12963060064105036,0.6961570361295104,0.0,4597.0,34903.0,1774.0,93610.0
LSTM,128,5,32,4,1,2023-10-07 02:13:33.712512,2023-10-07 02:19:37.388912,363.67639994621277,6.06127333243688,asleep,0.7280848729278491,0.7215507769580913,0.11637974683544304,0.20043164526607227,0.12963060064105036,0.6961570500638592,0.0,93610.0,1774.0,34903.0,4597.0
LSTM,128,5,32,4,1,2023-10-07 02:13:33.712512,2023-10-07 02:19:37.388912,363.67639994621277,6.06127333243688,avg,0.7280848729278491,0.7249797880339546,0.5488906198741502,0.5183098569434557,0.12963060064105036,0.6961570430966848,,,,,
LSTM,128,15,32,4,1,2023-10-07 02:19:38.549861,2023-10-07 02:37:32.453377,1073.9035160541534,17.898391934235892,awake,0.7197592004982059,0.7216713117657022,0.9827119852386145,0.832201358369956,0.09070635122538795,0.6752476488108825,0.0,3349.0,36151.0,1649.0,93735.0
LSTM,128,15,32,4,1,2023-10-07 02:19:38.549861,2023-10-07 02:37:32.453377,1073.9035160541534,17.898391934235892,asleep,0.7197592004982059,0.6700680272108843,0.08478481012658227,0.15052361903905795,0.09070635122538795,0.6752476592948211,0.0,93735.0,1649.0,36151.0,3349.0
LSTM,128,15,32,4,1,2023-10-07 02:19:38.549861,2023-10-07 02:37:32.453377,1073.9035160541534,17.898391934235892,avg,0.7197592004982059,0.6958696694882933,0.5337483976825984,0.491362488704507,0.09070635122538795,0.6752476540528518,,,,,
LSTM,128,30,32,4,1,2023-10-07 02:37:33.600450,2023-10-07 03:13:12.823293,2139.2228429317474,35.653714048862454,awake,0.7353281338038611,0.7349874797234515,0.9785603455506164,0.83946253676173,0.16528166907430153,0.6503453193062658,0.0,5845.0,33655.0,2045.0,93339.0
LSTM,128,30,32,4,1,2023-10-07 02:37:33.600450,2023-10-07 03:13:12.823293,2139.2228429317474,35.653714048862454,asleep,0.7353281338038611,0.7408111533586819,0.1479746835443038,0.24667651403249632,0.16528166907430153,0.6503453185100173,0.0,93339.0,2045.0,33655.0,5845.0
LSTM,128,30,32,4,1,2023-10-07 02:37:33.600450,2023-10-07 03:13:12.823293,2139.2228429317474,35.653714048862454,avg,0.7353281338038611,0.7378993165410667,0.5632675145474602,0.5430695253971132,0.16528166907430153,0.6503453189081416,,,,,
LSTM,128,50,32,4,1,2023-10-07 03:13:14.013202,2023-10-07 04:12:43.843149,3569.8299469947815,59.49716578324636,awake,0.7282998724830224,0.7279239425688785,0.9833200536777656,0.8365635898213474,0.12742765590291805,0.7115112013585061,0.0,4443.0,35057.0,1591.0,93793.0
LSTM,128,50,32,4,1,2023-10-07 03:13:14.013202,2023-10-07 04:12:43.843149,3569.8299469947815,59.49716578324636,asleep,0.7282998724830224,0.7363274776267815,0.11248101265822785,0.19515087626828306,0.12742765590291805,0.7115111874241573,0.0,93793.0,1591.0,35057.0,4443.0
LSTM,128,50,32,4,1,2023-10-07 03:13:14.013202,2023-10-07 04:12:43.843149,3569.8299469947815,59.49716578324636,avg,0.7282998724830224,0.73212571009783,0.5479005331679967,0.5158572330448152,0.12742765590291805,0.7115111943913317,,,,,
LSTM,128,80,32,4,1,2023-10-07 04:12:45.014511,2023-10-07 05:48:07.083932,5722.069420814514,95.3678236802419,awake,0.738812609353222,0.7427483010766573,0.9648159020380777,0.8393422288700602,0.20022646126085009,0.6854516268418556,0.0,7626.0,31874.0,3356.0,92028.0
LSTM,128,80,32,4,1,2023-10-07 04:12:45.014511,2023-10-07 05:48:07.083932,5722.069420814514,95.3678236802419,asleep,0.738812609353222,0.6944090329630304,0.1930632911392405,0.3021274909868864,0.20022646126085009,0.6854516168887492,0.0,92028.0,3356.0,31874.0,7626.0
LSTM,128,80,32,4,1,2023-10-07 04:12:45.014511,2023-10-07 05:48:07.083932,5722.069420814514,95.3678236802419,avg,0.738812609353222,0.7185786670198439,0.5789395965886591,0.5707348599284733,0.20022646126085009,0.6854516218653024,,,,,
LSTM,128,100,32,4,1,2023-10-07 05:48:08.285001,2023-10-07 07:47:31.365317,7163.080316066742,119.3846719344457,awake,0.7240740191572017,0.7368283904170941,0.9486287008303279,0.8294207694352524,0.16374779465754685,0.7008967925252436,0.0,7182.0,32318.0,4900.0,90484.0
LSTM,128,100,32,4,1,2023-10-07 05:48:08.285001,2023-10-07 07:47:31.365317,7163.080316066742,119.3846719344457,asleep,0.7240740191572017,0.5944380069524913,0.1818227848101266,0.2784692334535303,0.16374779465754685,0.7008969901275802,0.0,90484.0,4900.0,32318.0,7182.0
LSTM,128,100,32,4,1,2023-10-07 05:48:08.285001,2023-10-07 07:47:31.365317,7163.080316066742,119.3846719344457,avg,0.7240740191572017,0.6656331986847928,0.5652257428202272,0.5539450014443914,0.16374779465754685,0.700896891326412,,,,,
LSTM,128,120,32,4,1,2023-10-07 07:47:32.541625,2023-10-07 10:11:01.195420,8608.653795003891,143.47756325006486,awake,0.7364253729130216,0.7439971290617252,0.9563448796443847,0.836911446291607,0.20262124215231914,0.7115252980092724,0.0,8112.0,31388.0,4164.0,91220.0
LSTM,128,120,32,4,1,2023-10-07 07:47:32.541625,2023-10-07 10:11:01.195420,8608.653795003891,143.47756325006486,asleep,0.7364253729130216,0.6608015640273704,0.20536708860759495,0.31334981458590855,0.20262124215231914,0.711525303450304,0.0,91220.0,4164.0,31388.0,8112.0
LSTM,128,120,32,4,1,2023-10-07 07:47:32.541625,2023-10-07 10:11:01.195420,8608.653795003891,143.47756325006486,avg,0.7364253729130216,0.7023993465445478,0.5808559841259898,0.5751306304387578,0.20262124215231914,0.7115253007297881,,,,,
LSTM,128,150,32,4,1,2023-10-07 10:11:02.364254,2023-10-07 13:11:07.818081,10805.453826904297,180.0908971150716,awake,0.7325405533643724,0.7455655111876646,0.9439004445189969,0.8330912085573373,0.20454333814567272,0.6878212672931903,0.0,8775.0,30725.0,5351.0,90033.0
LSTM,128,150,32,4,1,2023-10-07 10:11:02.364254,2023-10-07 13:11:07.818081,10805.453826904297,180.0908971150716,asleep,0.7325405533643724,0.6211949596488744,0.2221518987341772,0.32726662439861265,0.20454333814567272,0.6878213548805256,0.0,90033.0,5351.0,30725.0,8775.0
LSTM,128,150,32,4,1,2023-10-07 10:11:02.364254,2023-10-07 13:11:07.818081,10805.453826904297,180.0908971150716,avg,0.7325405533643724,0.6833802354182694,0.5830261716265871,0.5801789164779749,0.20454333814567272,0.687821311086858,,,,,
LSTM,128,200,32,4,1,2023-10-07 13:11:08.991502,2023-10-07 17:11:17.023057,14408.031554937363,240.13385924895604,awake,0.7282628035941995,0.7401280552125667,0.9489117671726914,0.8316159411967383,0.18034189925460342,0.6909672073017049,0.0,7720.0,31780.0,4873.0,90511.0
LSTM,128,200,32,4,1,2023-10-07 13:11:08.991502,2023-10-07 17:11:17.023057,14408.031554937363,240.13385924895604,asleep,0.7282628035941995,0.6130389899150321,0.19544303797468354,0.296392989461156,0.18034189925460342,0.690967245388925,0.0,90511.0,4873.0,31780.0,7720.0
LSTM,128,200,32,4,1,2023-10-07 13:11:08.991502,2023-10-07 17:11:17.023057,14408.031554937363,240.13385924895604,avg,0.7282628035941995,0.6765835225637995,0.5721774025736874,0.5640044653289471,0.18034189925460342,0.6909672263453149,,,,,
