NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,5,32,2,1,2023-10-04 06:00:35.856892,2023-10-04 06:04:58.319102,262.46220993995667,4.374370165665945,awake,0.7253161929332919,0.7257905941552157,0.9829111800721295,0.8350054996682386,0.11505235453932894,0.7162036192594361,0.0,4081.0,35421.0,1630.0,93754.0
LSTM,128,5,32,2,1,2023-10-04 06:00:35.856892,2023-10-04 06:04:58.319102,262.46220993995667,4.374370165665945,asleep,0.7253161929332919,0.7145858868849588,0.10331122474811402,0.18052330082056045,0.11505235453932894,0.7162036081125215,0.0,93754.0,1630.0,35421.0,4081.0
LSTM,128,5,32,2,1,2023-10-04 06:00:35.856892,2023-10-04 06:04:58.319102,262.46220993995667,4.374370165665945,avg,0.7253161929332919,0.7201882405200872,0.5431112024101218,0.5077644002443995,0.11505235453932894,0.7162036136859788,,,,,
LSTM,128,15,32,2,1,2023-10-04 06:04:59.494021,2023-10-04 06:18:19.702284,800.2082631587982,13.33680438597997,awake,0.729037854187981,0.7299266079425994,0.9790845424809193,0.8363431201780348,0.13755632236437165,0.6866156840781035,0.0,4948.0,34554.0,1995.0,93389.0
LSTM,128,15,32,2,1,2023-10-04 06:04:59.494021,2023-10-04 06:18:19.702284,800.2082631587982,13.33680438597997,asleep,0.729037854187981,0.7126602333285323,0.12525948053263125,0.21306922166002795,0.13755632236437165,0.6866156956231222,0.0,93389.0,1995.0,34554.0,4948.0
LSTM,128,15,32,2,1,2023-10-04 06:04:59.494021,2023-10-04 06:18:19.702284,800.2082631587982,13.33680438597997,avg,0.729037854187981,0.7212934206355659,0.5521720115067752,0.5247061709190314,0.13755632236437165,0.6866156898506128,,,,,
LSTM,128,30,32,2,1,2023-10-04 06:18:20.881067,2023-10-04 06:45:52.512540,1651.6314730644226,27.527191217740377,awake,0.7386311403703868,0.7441548843970537,0.9606747462886858,0.8386653914269109,0.20542264565928225,0.7211899336774716,0.0,7998.0,31504.0,3751.0,91633.0
LSTM,128,30,32,2,1,2023-10-04 06:18:20.881067,2023-10-04 06:45:52.512540,1651.6314730644226,27.527191217740377,asleep,0.7386311403703868,0.6807387862796834,0.2024707609741279,0.3121109832003278,0.20542264565928225,0.7211899205400365,0.0,91633.0,3751.0,31504.0,7998.0
LSTM,128,30,32,2,1,2023-10-04 06:18:20.881067,2023-10-04 06:45:52.512540,1651.6314730644226,27.527191217740377,avg,0.7386311403703868,0.7124468353383686,0.5815727536314068,0.5753881873136193,0.20542264565928225,0.7211899271087541,,,,,
LSTM,128,50,32,2,1,2023-10-04 06:45:53.723653,2023-10-04 07:31:57.950765,2764.2271118164062,46.07045186360677,awake,0.7379046009222603,0.7504443090889369,0.9429254382286337,0.8357454479564008,0.22694739908013528,0.704158425080332,0.0,9593.0,29909.0,5444.0,89940.0
LSTM,128,50,32,2,1,2023-10-04 06:45:53.723653,2023-10-04 07:31:57.950765,2764.2271118164062,46.07045186360677,asleep,0.7379046009222603,0.6379596994081266,0.24284846336894333,0.3517849612204111,0.22694739908013528,0.7041584047770232,0.0,89940.0,5444.0,29909.0,9593.0
LSTM,128,50,32,2,1,2023-10-04 06:45:53.723653,2023-10-04 07:31:57.950765,2764.2271118164062,46.07045186360677,avg,0.7379046009222603,0.6942020042485317,0.5928869507987885,0.593765204588406,0.22694739908013528,0.7041584149286776,,,,,
LSTM,128,80,32,2,1,2023-10-04 07:31:59.150573,2023-10-04 08:43:38.407225,4299.256651878357,71.65427753130595,awake,0.7300683540174666,0.7372015573717743,0.9607795856747463,0.8342709926443814,0.17028822710043146,0.7122295442152305,0.0,6833.0,32669.0,3741.0,91643.0
LSTM,128,80,32,2,1,2023-10-04 07:31:59.150573,2023-10-04 08:43:38.407225,4299.256651878357,71.65427753130595,asleep,0.7300683540174666,0.6462076792131644,0.1729785833628677,0.2729051841201374,0.17028822710043146,0.7122301641960058,0.0,91643.0,3741.0,32669.0,6833.0
LSTM,128,80,32,2,1,2023-10-04 07:31:59.150573,2023-10-04 08:43:38.407225,4299.256651878357,71.65427753130595,avg,0.7300683540174666,0.6917046182924693,0.566879084518807,0.5535880883822595,0.17028822710043146,0.7122298542056182,,,,,
LSTM,128,100,32,2,1,2023-10-04 08:43:39.614097,2023-10-04 10:15:54.112511,5534.498413801193,92.24164023001988,awake,0.730186972702875,0.7455502089611882,0.9388786379266963,0.8311198967991017,0.20224011739411818,0.7246873694391085,0.0,8938.0,30564.0,5830.0,89554.0
LSTM,128,100,32,2,1,2023-10-04 08:43:39.614097,2023-10-04 10:15:54.112511,5534.498413801193,92.24164023001988,asleep,0.730186972702875,0.6052275189599133,0.226267024454458,0.3293900866040169,0.20224011739411818,0.7246873000362948,0.0,89554.0,5830.0,30564.0,8938.0
LSTM,128,100,32,2,1,2023-10-04 08:43:39.614097,2023-10-04 10:15:54.112511,5534.498413801193,92.24164023001988,avg,0.730186972702875,0.6753888639605508,0.5825728311905771,0.5802549917015594,0.20224011739411818,0.7246873347377016,,,,,
LSTM,128,120,32,2,1,2023-10-04 10:15:55.313239,2023-10-04 12:07:07.523040,6672.209800958633,111.20349668264389,awake,0.728200109722284,0.7461684217586693,0.9330390841231234,0.8292057990459153,0.20249259825531896,0.704131537527948,0.0,9227.0,30275.0,6387.0,88997.0
LSTM,128,120,32,2,1,2023-10-04 10:15:55.313239,2023-10-04 12:07:07.523040,6672.209800958633,111.20349668264389,asleep,0.728200109722284,0.5909440245933137,0.23358310971596374,0.3348211045794324,0.20249259825531896,0.7041315396511699,0.0,88997.0,6387.0,30275.0,9227.0
LSTM,128,120,32,2,1,2023-10-04 10:15:55.313239,2023-10-04 12:07:07.523040,6672.209800958633,111.20349668264389,avg,0.728200109722284,0.6685562231759915,0.5833110969195436,0.5820134518126738,0.20249259825531896,0.704131538589559,,,,,
LSTM,128,150,32,2,1,2023-10-04 12:07:08.708619,2023-10-04 14:20:58.014710,8029.306090831757,133.8217681805293,awake,0.7223210711267293,0.7455638358301329,0.9219575610165227,0.8244310591323505,0.1948280003031294,0.6866134604013374,0.0,9491.0,30011.0,7444.0,87940.0
LSTM,128,150,32,2,1,2023-10-04 12:07:08.708619,2023-10-04 14:20:58.014710,8029.306090831757,133.8217681805293,asleep,0.7223210711267293,0.5604369648656629,0.24026631562958836,0.3363396353456066,0.1948280003031294,0.6866134665056002,0.0,87940.0,7444.0,30011.0,9491.0
LSTM,128,150,32,2,1,2023-10-04 12:07:08.708619,2023-10-04 14:20:58.014710,8029.306090831757,133.8217681805293,avg,0.7223210711267293,0.6530004003478979,0.5811119383230555,0.5803853472389786,0.1948280003031294,0.6866134634534689,,,,,
LSTM,128,200,32,2,1,2023-10-04 14:20:59.198425,2023-10-04 17:25:46.392907,11087.19448184967,184.7865746974945,awake,0.7230179559035037,0.7438289503542523,0.9278600184517319,0.8257147788605522,0.1893984695909371,0.6750909930868195,0.0,9022.0,30480.0,6881.0,88503.0
