NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MPL,16-8,5,32,-1,-1,2023-10-06 12:46:24.975497,2023-10-06 12:47:52.583963,87.60846590995789,1.4601410984992982,awake,0.741874740525473,0.7833809011369485,0.8776642029669235,0.8278467243510507,0.3187966779626654,0.7145517361546619,0.0,16354.0,23149.0,11669.0,83716.0
MPL,16-8,5,32,-1,-1,2023-10-06 12:46:24.975497,2023-10-06 12:47:52.583963,87.60846590995789,1.4601410984992982,asleep,0.741874740525473,0.5835920493880027,0.41399387388299624,0.48437638835411545,0.3187966779626654,0.7145517385432009,0.0,83716.0,11669.0,23149.0,16354.0
MPL,16-8,5,32,-1,-1,2023-10-06 12:46:24.975497,2023-10-06 12:47:52.583963,87.60846590995789,1.4601410984992982,avg,0.741874740525473,0.6834864752624756,0.6458290384249599,0.656111556352583,0.3187966779626654,0.7145517373489314,,,,,
MPL,16-8,15,32,-1,-1,2023-10-06 12:47:53.568264,2023-10-06 12:52:04.428840,250.86057591438293,4.181009598573049,awake,0.74286074372813,0.7864018118335377,0.8736698642344184,0.8277420476273248,0.3262860940210216,0.7192702488773167,0.0,16868.0,22635.0,12050.0,83335.0
MPL,16-8,15,32,-1,-1,2023-10-06 12:47:53.568264,2023-10-06 12:52:04.428840,250.86057591438293,4.181009598573049,asleep,0.74286074372813,0.5833045162182724,0.4270055438827431,0.4930649946653805,0.3262860940210216,0.719270249408103,0.0,83335.0,12050.0,22635.0,16868.0
MPL,16-8,15,32,-1,-1,2023-10-06 12:47:53.568264,2023-10-06 12:52:04.428840,250.86057591438293,4.181009598573049,avg,0.74286074372813,0.684853164025905,0.6503377040585807,0.6604035211463527,0.3262860940210216,0.7192702491427099,,,,,
MPL,16-8,30,32,-1,-1,2023-10-06 12:52:05.361639,2023-10-06 13:00:33.674827,508.3131880760193,8.471886467933654,awake,0.7514159895617104,0.7913024640192902,0.880756932431724,0.8336368101690373,0.3476617686801078,0.7206592471026866,0.0,17346.0,22157.0,11374.0,84011.0
MPL,16-8,30,32,-1,-1,2023-10-06 12:52:05.361639,2023-10-06 13:00:33.674827,508.3131880760193,8.471886467933654,asleep,0.7514159895617104,0.6039693593314763,0.4391058906918462,0.5085088606481685,0.3476617686801078,0.7206592505527986,0.0,84011.0,11374.0,22157.0,17346.0
MPL,16-8,30,32,-1,-1,2023-10-06 12:52:05.361639,2023-10-06 13:00:33.674827,508.3131880760193,8.471886467933654,avg,0.7514159895617104,0.6976359116753832,0.6599314115617851,0.6710728354086029,0.3476617686801078,0.7206592488277426,,,,,
MPL,16-8,50,32,-1,-1,2023-10-06 13:00:34.594906,2023-10-06 13:14:16.867261,822.2723548412323,13.704539247353871,awake,0.7304282071051539,0.7723342407603931,0.8774335587356502,0.8215361963190184,0.2798329948176155,0.7031538431558213,0.0,14832.0,24671.0,11691.0,83694.0
MPL,16-8,50,32,-1,-1,2023-10-06 13:00:34.594906,2023-10-06 13:14:16.867261,822.2723548412323,13.704539247353871,asleep,0.7304282071051539,0.5592127587376994,0.3754651545452244,0.4492775573259019,0.2798329948176155,0.7031538508522249,0.0,83694.0,11691.0,24671.0,14832.0
MPL,16-8,50,32,-1,-1,2023-10-06 13:00:34.594906,2023-10-06 13:14:16.867261,822.2723548412323,13.704539247353871,avg,0.7304282071051539,0.6657734997490463,0.6264493566404373,0.6354068768224601,0.2798329948176155,0.7031538470040231,,,,,
MPL,16-8,80,32,-1,-1,2023-10-06 13:14:17.794153,2023-10-06 13:36:06.065852,1308.2716989517212,21.80452831586202,awake,0.7457594448727833,0.7772805257759098,0.8976883157729203,0.8331565683593941,0.31063195530691345,0.7103741792261591,0.0,14968.0,24535.0,9759.0,85626.0
MPL,16-8,80,32,-1,-1,2023-10-06 13:14:17.794153,2023-10-06 13:36:06.065852,1308.2716989517212,21.80452831586202,asleep,0.7457594448727833,0.6053302058478586,0.3789079310432119,0.46607504281488404,0.31063195530691345,0.7103741788280692,0.0,85626.0,9759.0,24535.0,14968.0
