NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MPL,16-8,5,32,-1,-1,2023-10-04 17:25:54.619411,2023-10-04 17:27:20.778737,86.15932607650757,1.4359887679417929,awake,0.7375452227032797,0.7899550442306763,0.8566231587775855,0.8219394427120007,0.3261060526373861,0.7085036458215586,0.0,17777.0,21726.0,13676.0,81709.0
MPL,16-8,5,32,-1,-1,2023-10-04 17:25:54.619411,2023-10-04 17:27:20.778737,86.15932607650757,1.4359887679417929,asleep,0.7375452227032797,0.5651925094585573,0.45001645444649774,0.5010710863070073,0.3261060526373861,0.7085036516602096,0.0,81709.0,13676.0,21726.0,17777.0
MPL,16-8,5,32,-1,-1,2023-10-04 17:25:54.619411,2023-10-04 17:27:20.778737,86.15932607650757,1.4359887679417929,avg,0.7375452227032797,0.6775737768446168,0.6533198066120416,0.661505264509504,0.3261060526373861,0.708503648740884,,,,,
MPL,16-8,15,32,-1,-1,2023-10-04 17:27:21.711061,2023-10-04 17:31:28.641478,246.93041706085205,4.115506951014201,awake,0.7504967083802858,0.7870682118342975,0.8871835194212927,0.834132565807307,0.33804683085533793,0.7166471365780471,0.0,16609.0,22894.0,10761.0,84624.0
MPL,16-8,15,32,-1,-1,2023-10-04 17:27:21.711061,2023-10-04 17:31:28.641478,246.93041706085205,4.115506951014201,asleep,0.7504967083802858,0.606832298136646,0.4204490798167228,0.49673261256411405,0.33804683085533793,0.7166471321990588,0.0,84624.0,10761.0,22894.0,16609.0
MPL,16-8,15,32,-1,-1,2023-10-04 17:27:21.711061,2023-10-04 17:31:28.641478,246.93041706085205,4.115506951014201,avg,0.7504967083802858,0.6969502549854718,0.6538162996190078,0.6654325891857105,0.33804683085533793,0.716647134388553,,,,,
MPL,16-8,30,32,-1,-1,2023-10-04 17:31:29.566337,2023-10-04 17:39:40.854945,491.28860783576965,8.188143463929494,awake,0.7448698179230177,0.7836520120958362,0.8829795041149028,0.8303559104801341,0.3233553040453583,0.7152212636886724,0.0,16251.0,23252.0,11162.0,84223.0
MPL,16-8,30,32,-1,-1,2023-10-04 17:31:29.566337,2023-10-04 17:39:40.854945,491.28860783576965,8.188143463929494,asleep,0.7448698179230177,0.5928209243789443,0.41138647697643216,0.48571343176519804,0.3233553040453583,0.715221268333054,0.0,84223.0,11162.0,23252.0,16251.0
MPL,16-8,30,32,-1,-1,2023-10-04 17:31:29.566337,2023-10-04 17:39:40.854945,491.28860783576965,8.188143463929494,avg,0.7448698179230177,0.6882364682373903,0.6471829905456674,0.6580346711226661,0.3233553040453583,0.7152212660108632,,,,,
MPL,16-8,50,32,-1,-1,2023-10-04 17:39:41.775303,2023-10-04 17:53:18.778096,817.0027930736542,13.616713217894237,awake,0.7413706185872724,0.7890291327071728,0.8657440897415736,0.8256083661594449,0.32945587195549375,0.7109189618579652,0.0,17423.0,22080.0,12806.0,82579.0
