activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.0,0.98214287,0.0,1.0,0.0,0.0006166666666666,0.0,0.5976372480889507,awake
0.0,0.0,0.0,0.98214287,0.0,1.0,0.0,0.0006166666666666,0.0,0.5976372480889507,awake
0.25,0.5,3.2119226e-07,0.9820436,0.60440826,1.0,0.0,0.0005833333333333,0.0,0.5983321751216122,awake
0.25,0.5,3.2119226e-07,0.9820436,0.60440826,1.0,0.0,0.0051166666666666,0.0,0.5983321751216122,awake
0.25,0.5,3.2119226e-07,0.98194444,0.6018487,1.0,0.0,0.0007,0.0,0.5990271021542738,awake
0.0,0.5,3.2119226e-07,0.98194444,0.6018487,1.0,0.0,0.0008666666666666,0.0,0.5990271021542738,awake
0.25,0.5,6.423845e-07,0.9818453,0.6062874,1.0,0.0,0.0009166666666666,0.0,0.5997220291869354,awake
0.25,0.5,6.423845e-07,0.981746,0.61153495,1.0,0.0,0.00055,0.0,0.6004169562195969,awake
0.25,0.5,6.423845e-07,0.981746,0.61153495,1.0,0.0,0.0009833333333333,0.0,0.6004169562195969,awake
0.25,0.5,6.423845e-07,0.9816468,0.5994636,1.0,0.0,0.00145,0.0,0.6011118832522585,awake
0.25,0.5,9.635768e-07,0.9816468,0.5994636,1.0,0.0,0.00415,0.0,0.6011118832522585,awake
0.0,1.0,9.635768e-07,0.9815476,0.62092704,1.0,0.0,0.0006333333333333,0.0,0.6018068102849201,awake
0.25,1.0,9.635768e-07,0.9815476,0.62092704,1.0,0.0,0.0008666666666666,0.0,0.6018068102849201,awake
0.25,1.0,9.635768e-07,0.9814485,0.59543806,1.0,1.0,0.0004666666666666,0.0,0.6025017373175816,awake
0.25,1.0,1.284769e-06,0.98134923,0.59543806,1.0,1.0,0.0005,0.0,0.6031966643502432,awake
0.25,1.0,1.6059613e-06,0.9812499,0.5418409,1.0,1.0,0.0005666666666666,0.0,0.6038915913829048,awake
0.25,1.0,1.6059613e-06,0.9811508,0.61979806,1.0,0.0,0.0006833333333333,0.0,0.6045865184155663,awake
