activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
Unknown,Other,0,False,1526390486,590340000.0,0,0,not locked,0,Tuesday,861,2018-05-15 14:21:26+00:00,awake
Unknown,Other,0,False,1526390494,590340000.0,0,0,not locked,0,Tuesday,861,2018-05-15 14:21:34+00:00,awake
Unknown,Other,0,False,1526390515,590340000.0,0,0,not locked,0,Tuesday,861,2018-05-15 14:21:55+00:00,awake
Unknown,Other,0,False,1526390545,590280000.0,3209,0,not locked,0,Tuesday,862,2018-05-15 14:22:25+00:00,awake
Unknown,Other,0,False,1526390565,0.0,0,0,not locked,0,Tuesday,862,2018-05-15 14:22:45+00:00,awake
Unknown,Other,0,False,1526390574,590280000.0,0,0,not locked,0,Tuesday,862,2018-05-15 14:22:54+00:00,awake
Unknown,House,0,False,1526390634,590220000.0,2712,0,not locked,0,Tuesday,863,2018-05-15 14:23:54+00:00,awake
Unknown,House,0,False,1526390664,590160000.0,2087,0,not locked,0,Tuesday,864,2018-05-15 14:24:24+00:00,awake
Unknown,Other,0,False,1526390685,590160000.0,0,0,not locked,0,Tuesday,864,2018-05-15 14:24:45+00:00,awake
Unknown,House,0,False,1526390835,589980000.0,2443,0,locked,0,Tuesday,867,2018-05-15 14:27:15+00:00,awake
Unknown,House,0,False,1526390865,589980000.0,2443,0,locked,0,Tuesday,867,2018-05-15 14:27:45+00:00,awake
Unknown,House,0,False,1526390895,589920000.0,1915,0,locked,0,Tuesday,868,2018-05-15 14:28:15+00:00,awake
Unknown,House,0,False,1526390925,589920000.0,1915,0,locked,0,Tuesday,868,2018-05-15 14:28:45+00:00,awake
Unknown,House,0,False,1526390985,589860000.0,2304,0,locked,0,Tuesday,869,2018-05-15 14:29:45+00:00,awake
Unknown,House,0,False,1526391015,589800000.0,3175,0,locked,0,Tuesday,870,2018-05-15 14:30:15+00:00,awake
Unknown,House,0,False,1526391045,589800000.0,3175,0,locked,0,Tuesday,870,2018-05-15 14:30:45+00:00,awake
Unknown,House,0,False,1526391075,589740000.0,4848,0,locked,0,Tuesday,871,2018-05-15 14:31:15+00:00,awake
Unknown,House,0,False,1526391105,589740000.0,4848,0,locked,0,Tuesday,871,2018-05-15 14:31:45+00:00,awake
Unknown,House,0,False,1526391135,589680000.0,4371,0,locked,0,Tuesday,872,2018-05-15 14:32:15+00:00,awake
Unknown,House,0,False,1526391195,589620000.0,4620,0,locked,0,Tuesday,873,2018-05-15 14:33:15+00:00,awake
Unknown,House,0,False,1526391239,589620000.0,2571,0,not locked,0,Tuesday,873,2018-05-15 14:33:59+00:00,awake
Unknown,House,0,False,1526391269,589560000.0,2571,0,not locked,0,Tuesday,874,2018-05-15 14:34:29+00:00,awake
Unknown,House,0,False,1526391299,589560000.0,5334,0,locked,0,Tuesday,874,2018-05-15 14:34:59+00:00,awake
Unknown,House,0,False,1526391511,589560000.0,2647,0,locked,0,Tuesday,878,2018-05-15 14:38:31+00:00,awake
Unknown,House,0,False,1526391590,589560000.0,3295,0,locked,0,Tuesday,879,2018-05-15 14:39:50+00:00,awake
Unknown,House,0,False,1526391620,589560000.0,2947,0,locked,0,Tuesday,880,2018-05-15 14:40:20+00:00,awake
Unknown,House,0,False,1526391792,589560000.0,2947,0,locked,0,Tuesday,883,2018-05-15 14:43:12+00:00,awake
Unknown,House,0,False,1526391933,589560000.0,3429,0,locked,0,Tuesday,885,2018-05-15 14:45:33+00:00,awake
Unknown,House,0,False,1526392054,589560000.0,3665,0,locked,0,Tuesday,887,2018-05-15 14:47:34+00:00,awake
Unknown,Other,0,False,1526392845,588000000.0,0,0,locked,0,Tuesday,900,2018-05-15 15:00:45+00:00,awake
