activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21681723419041,asleep
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21681723419041,asleep
0.25,0.0,3.2116574e-07,0.0,0.6633586,0.0,0.0,0.0,0.0,0.2175121612230715,asleep
0.25,0.0,3.2116574e-07,0.0,0.6633586,0.0,0.0,0.0,0.0,0.2175121612230715,asleep
0.25,0.0,3.2116574e-07,0.0,0.5442787,0.0,0.0,0.0,0.0,0.2182070882557331,asleep
0.25,0.0,3.2116574e-07,0.0,0.5442787,0.0,0.0,0.0,0.0,0.2182070882557331,asleep
0.25,0.0,6.423315e-07,0.0,0.51885206,0.0,1.0,0.0,0.0,0.2189020152883947,asleep
0.0,0.0,6.423315e-07,0.0,0.51885206,0.0,0.0,0.0,0.0,0.2189020152883947,asleep
0.25,0.0,6.423315e-07,0.0,0.6666521,0.0,0.0,0.0,0.0,0.2195969423210562,asleep
0.25,0.0,6.423315e-07,0.0,0.6666521,0.0,0.0,0.0,0.0,0.2195969423210562,asleep
0.25,0.0,9.634973e-07,0.0,0.5190804,0.0,0.0,0.0,0.0,0.2209867963863794,asleep
0.0,0.0,9.634973e-07,0.02797619,0.0,0.0,0.0,0.0,0.0,0.2209867963863794,asleep
0.25,0.0,9.634973e-07,0.027876984,0.69341034,0.0,0.0,0.0,0.0,0.221681723419041,asleep
0.25,0.0,1.284663e-06,0.027876984,0.69341034,0.0,0.0,0.0,0.0,0.221681723419041,asleep
0.25,0.0,1.284663e-06,0.027777778,0.51907235,0.0,1.0,0.0,0.0,0.2223766504517025,asleep
0.25,0.0,1.6058287e-06,0.027678574,0.60593367,0.0,1.0,0.0,0.0,0.2230715774843641,asleep
0.25,0.0,1.6058287e-06,0.027678574,0.7469684,0.0,1.0,0.0,0.0,0.2237665045170257,asleep
0.25,0.0,1.6058287e-06,0.027579367,0.7469684,0.0,1.0,0.0,0.0,0.2237665045170257,asleep
0.25,0.0,1.6058287e-06,0.027579367,0.7537774,0.0,1.0,0.0,0.0,0.2244614315496872,asleep
0.25,0.0,1.9269946e-06,0.02748016,0.7537774,0.0,1.0,0.0,0.0,0.2244614315496872,asleep
0.25,0.0,1.9269946e-06,0.02748016,0.7541436,0.0,1.0,0.0,0.0,0.2251563585823488,asleep
0.25,0.0,1.9269946e-06,0.027380954,0.7541436,0.0,1.0,0.0,0.0,0.2251563585823488,asleep
0.25,0.0,1.9269946e-06,0.027380954,0.75639975,0.0,1.0,0.0,0.0,0.2258512856150104,asleep
0.25,0.0,2.2481602e-06,0.027281748,0.75639975,0.0,1.0,0.0,0.0,0.2258512856150104,asleep
0.25,0.0,2.2481602e-06,0.027281748,0.73013383,0.0,1.0,0.0,0.0,0.226546212647672,asleep
0.25,0.0,2.2481602e-06,0.027182542,0.73013383,0.0,1.0,0.0,0.0,0.226546212647672,asleep
0.25,0.0,2.2481602e-06,0.027182542,0.7512865,0.0,1.0,0.0,0.0,0.2272411396803335,asleep
0.25,0.0,2.569326e-06,0.027083335,0.7512865,0.0,1.0,0.0,0.0,0.2272411396803335,asleep
0.25,0.0,2.569326e-06,0.027083335,0.7395916,0.0,1.0,0.0,0.0,0.2279360667129951,asleep
0.25,0.0,2.569326e-06,0.02698413,0.7395916,0.0,1.0,0.0,0.0,0.2286309937456567,asleep
0.25,0.0,2.8904917e-06,0.026884923,0.7156871,0.0,1.0,0.0,0.0,0.2293259207783183,asleep
0.25,0.0,3.2116575e-06,0.026785716,0.7156871,0.0,1.0,0.0,0.0,0.2307157748436414,asleep
0.25,0.0,3.8539893e-06,0.026388891,0.75678605,0.0,1.0,0.0,0.0,0.2341904100069492,asleep
0.25,0.0,3.8539893e-06,0.026091272,0.78534,0.0,1.0,0.0,0.0,0.2341904100069492,asleep
0.25,0.0,4.4963203e-06,0.02589286,0.78534,0.0,1.0,0.0,0.0,0.2362751911049339,asleep
0.25,0.0,4.4963203e-06,0.025694447,0.80757457,0.0,1.0,0.0,0.0,0.2369701181375955,asleep
0.25,0.0,4.817486e-06,0.025694447,0.80757457,0.0,1.0,0.0,0.0,0.2383599722029186,asleep
0.25,0.0,4.817486e-06,0.025496034,0.7759484,0.0,1.0,0.0,0.0,0.2390548992355802,asleep
0.25,0.0,5.4598177e-06,0.025099209,0.61807436,0.0,1.0,0.0,0.0,0.2411396803335649,asleep
0.25,0.0,5.7809834e-06,0.024900796,0.61807436,0.0,1.0,0.0,0.0,0.2432244614315497,asleep
0.25,0.0,5.7809834e-06,0.02480159,0.65400153,0.0,1.0,0.0,0.0,0.2432244614315497,asleep
0.25,0.0,6.102149e-06,0.024702383,0.65400153,0.0,1.0,0.0,0.0,0.2446143154968728,asleep
0.25,0.0,6.102149e-06,0.024603177,0.7978123,0.0,1.0,0.0,0.0,0.2446143154968728,asleep
0.25,0.0,6.423315e-06,0.02450397,0.7978123,0.0,1.0,0.0,0.0,0.2460041695621959,asleep
0.25,0.0,6.423315e-06,0.02450397,0.81328523,0.0,1.0,0.0,0.0,0.2460041695621959,asleep
0.25,0.0,6.7444807e-06,0.024107145,0.6673187,0.0,1.0,0.0,0.0,0.2480889506601807,asleep
0.25,0.0,7.7079785e-06,0.024107145,0.6673187,0.0,1.0,0.0,0.0,0.2515635858234885,asleep
