activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
Unknown,Other,0,False,1526567432,0.0,0,0.0,not locked,46,Thursday,930,2018-05-17 15:30:32+00:00,awake
Unknown,Other,0,False,1526567432,0.0,0,0.0,not locked,46,Thursday,930,2018-05-17 15:30:32+00:00,awake
Unknown,Other,0,False,1526567472,0.0,0,0.0,not locked,200,Thursday,931,2018-05-17 15:31:12+00:00,awake
Still,University,0,False,1526567502,583740000.0,18169,5.000305176,not locked,139,Thursday,931,2018-05-17 15:31:42+00:00,awake
Unknown,University,0,False,1526567533,583680000.0,18169,5.000305176,not locked,265,Thursday,932,2018-05-17 15:32:13+00:00,awake
Unknown,University,0,False,1526567593,583620000.0,25007,5.000305176,not locked,169,Thursday,933,2018-05-17 15:33:13+00:00,awake
Unknown,Other,0,False,1526567604,0.0,0,0.0,not locked,154,Thursday,933,2018-05-17 15:33:24+00:00,awake
Exercise,House,0,False,1526567664,583560000.0,27071,5.000305176,not locked,242,Thursday,934,2018-05-17 15:34:24+00:00,awake
Unknown,Other,0,False,1526889009,0.0,0,0.0,not locked,18,Monday,530,2018-05-21 08:50:09+00:00,awake
Still,Other,0,False,1526889039,16800000.0,1778,5.000305176,not locked,14,Monday,530,2018-05-21 08:50:39+00:00,awake
Still,Other,0,False,1526889069,16740000.0,1778,5.000305176,not locked,16,Monday,531,2018-05-21 08:51:09+00:00,awake
Still,House,0,False,1528246817,-1.0,20165,8.0,not locked,0,Tuesday,120,2018-06-06 02:00:17+00:00,awake
Still,House,0,False,1528246847,-1.0,20165,8.0,not locked,0,Tuesday,120,2018-06-06 02:00:47+00:00,awake
Still,House,0,False,1528246877,-1.0,11204,8.0,not locked,0,Tuesday,121,2018-06-06 02:01:17+00:00,awake
Unknown,Other,0,False,1528246888,-1.0,0,8.0,not locked,0,Tuesday,121,2018-06-06 02:01:28+00:00,awake
Unknown,Other,0,False,1528246900,-1.0,0,8.0,not locked,0,Tuesday,121,2018-06-06 02:01:40+00:00,awake
Unknown,House,0,False,1528246930,-1.0,11468,8.0,not locked,0,Tuesday,122,2018-06-06 02:02:10+00:00,awake
Unknown,Other,0,False,1528246982,-1.0,0,8.0,not locked,0,Tuesday,123,2018-06-06 02:03:02+00:00,awake
Still,House,0,False,1528247012,-1.0,6031,8.0,not locked,0,Tuesday,123,2018-06-06 02:03:32+00:00,awake
Still,House,0,False,1528247277,-1.0,5779,8.0,locked,0,Tuesday,127,2018-06-06 02:07:57+00:00,awake
Still,House,0,False,1528247307,-1.0,5779,8.0,locked,0,Tuesday,128,2018-06-06 02:08:27+00:00,awake
Still,House,0,False,1528247337,-1.0,3651,8.0,locked,0,Tuesday,128,2018-06-06 02:08:57+00:00,awake
Still,House,0,False,1528247367,-1.0,3651,8.0,locked,0,Tuesday,129,2018-06-06 02:09:27+00:00,awake
Still,House,0,False,1528247397,-1.0,2984,8.0,locked,0,Tuesday,129,2018-06-06 02:09:57+00:00,awake
Still,House,0,False,1528247457,-1.0,3636,8.0,locked,0,Tuesday,130,2018-06-06 02:10:57+00:00,awake
Still,House,0,False,1528247487,-1.0,3636,8.0,locked,0,Tuesday,131,2018-06-06 02:11:27+00:00,awake
Still,House,0,False,1528247517,-1.0,2299,8.0,locked,0,Tuesday,131,2018-06-06 02:11:57+00:00,awake
Still,House,0,False,1528247547,-1.0,2299,8.0,locked,0,Tuesday,132,2018-06-06 02:12:27+00:00,awake
Still,House,0,False,1528247578,-1.0,1611,8.0,locked,0,Tuesday,132,2018-06-06 02:12:58+00:00,awake
Still,House,0,False,1528247753,-1.0,2834,8.0,locked,0,Tuesday,135,2018-06-06 02:15:53+00:00,awake
Unknown,House,0,False,1528247896,-1.0,22752,8.0,not locked,0,Tuesday,138,2018-06-06 02:18:16+00:00,awake
Still,House,0,False,1528248096,-1.0,32767,8.0,locked,0,Tuesday,141,2018-06-06 02:21:36+00:00,awake
Still,House,0,False,1528248245,-1.0,2454,8.0,locked,0,Tuesday,144,2018-06-06 02:24:05+00:00,awake
Still,House,0,False,1528248565,-1.0,2454,8.0,locked,0,Tuesday,149,2018-06-06 02:29:25+00:00,awake
Still,House,0,False,1528248689,-1.0,9629,8.0,not locked,0,Tuesday,151,2018-06-06 02:31:29+00:00,awake
Still,House,0,False,1528248719,-1.0,2441,8.0,not locked,0,Tuesday,151,2018-06-06 02:31:59+00:00,awake
Unknown,Other,0,False,1528245319,-1.0,12248,8.0,not locked,0,Tuesday,95,2018-06-06 01:35:19+00:00,awake
Still,Other,0,False,1528245447,-1.0,7881,8.0,not locked,0,Tuesday,97,2018-06-06 01:37:27+00:00,awake
Still,Other,0,False,1528245478,-1.0,31758,8.0,not locked,0,Tuesday,97,2018-06-06 01:37:58+00:00,awake
Still,Other,0,False,1528245508,-1.0,31758,8.0,not locked,0,Tuesday,98,2018-06-06 01:38:28+00:00,awake
Still,Other,0,False,1528245538,-1.0,10184,8.0,not locked,0,Tuesday,98,2018-06-06 01:38:58+00:00,awake
Unknown,Other,0,False,1528245568,-1.0,10184,8.0,not locked,0,Tuesday,99,2018-06-06 01:39:28+00:00,awake
Unknown,Other,0,False,1528245576,-1.0,0,8.0,not locked,0,Tuesday,99,2018-06-06 01:39:36+00:00,awake
Exercise,Other,0,False,1528245666,-1.0,9114,8.0,not locked,0,Tuesday,101,2018-06-06 01:41:06+00:00,awake
Still,Other,0,False,1528245756,-1.0,2720,8.0,not locked,0,Tuesday,102,2018-06-06 01:42:36+00:00,awake
Still,Other,0,False,1528245787,-1.0,10443,8.0,not locked,0,Tuesday,103,2018-06-06 01:43:07+00:00,awake
Still,Other,0,False,1528245817,-1.0,10443,8.0,not locked,0,Tuesday,103,2018-06-06 01:43:37+00:00,awake
Still,House,0,False,1528245877,-1.0,8309,8.0,not locked,0,Tuesday,104,2018-06-06 01:44:37+00:00,awake
Unknown,Other,0,False,1528245907,-1.0,0,8.0,not locked,0,Tuesday,105,2018-06-06 01:45:07+00:00,awake
Unknown,Other,0,False,1528245945,-1.0,0,8.0,not locked,0,Tuesday,105,2018-06-06 01:45:45+00:00,awake
Still,House,0,False,1528246005,-1.0,5074,8.0,not locked,0,Tuesday,106,2018-06-06 01:46:45+00:00,awake
Unknown,House,0,False,1528246095,-1.0,13016,8.0,not locked,0,Tuesday,108,2018-06-06 01:48:15+00:00,awake
Unknown,House,0,False,1528246185,-1.0,4205,8.0,not locked,0,Tuesday,109,2018-06-06 01:49:45+00:00,awake
Still,House,0,False,1528246215,-1.0,4281,8.0,not locked,0,Tuesday,110,2018-06-06 01:50:15+00:00,awake
Still,House,0,False,1528246245,-1.0,4281,8.0,not locked,0,Tuesday,110,2018-06-06 01:50:45+00:00,awake
