activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
Still,Other,0,False,1526043855,-1,0,5,not locked,67,Friday,844,2018-05-11 14:04:15+00:00,asleep
Still,University,0,False,1526044126,-1,32767,5,not locked,31,Friday,848,2018-05-11 14:08:46+00:00,asleep
Unknown,Other,0,False,1526044180,-1,0,5,not locked,128,Friday,849,2018-05-11 14:09:40+00:00,asleep
Unknown,Other,0,False,1526043886,-1,0,5,not locked,67,Friday,844,2018-05-11 14:04:46+00:00,asleep
Still,University,0,False,1526043916,-1,23272,5,not locked,73,Friday,845,2018-05-11 14:05:16+00:00,asleep
Still,University,0,False,1526043946,-1,23272,5,not locked,349,Friday,845,2018-05-11 14:05:46+00:00,asleep
Still,University,0,False,1526043976,-1,12755,5,not locked,31,Friday,846,2018-05-11 14:06:16+00:00,asleep
Still,University,0,False,1526043976,-1,12755,5,not locked,31,Friday,846,2018-05-11 14:06:16+00:00,asleep
Still,University,0,False,1526044006,-1,12755,5,not locked,31,Friday,846,2018-05-11 14:06:46+00:00,asleep
Still,University,0,False,1526044036,-1,7416,5,not locked,31,Friday,847,2018-05-11 14:07:16+00:00,asleep
Still,University,0,False,1526044066,-1,7416,5,not locked,31,Friday,847,2018-05-11 14:07:46+00:00,asleep
Still,University,0,False,1526044096,-1,32767,5,not locked,31,Friday,848,2018-05-11 14:08:16+00:00,asleep
Unknown,Other,0,False,1526044210,-1,16803,5,not locked,117,Friday,850,2018-05-11 14:10:10+00:00,asleep
Unknown,Other,0,False,1526044240,-1,16803,5,not locked,117,Friday,850,2018-05-11 14:10:40+00:00,asleep
Unknown,Other,0,False,1526044270,-1,3574,5,not locked,117,Friday,851,2018-05-11 14:11:10+00:00,asleep
Unknown,Other,0,False,1526044285,-1,0,5,not locked,51,Friday,851,2018-05-11 14:11:25+00:00,asleep
Unknown,Other,0,False,1526044327,-1,0,5,not locked,72,Friday,852,2018-05-11 14:12:07+00:00,asleep
Unknown,Other,0,False,1526044336,-1,0,5,not locked,64,Friday,852,2018-05-11 14:12:16+00:00,asleep
Still,University,0,False,1526044366,-1,2659,5,not locked,80,Friday,852,2018-05-11 14:12:46+00:00,asleep
Unknown,Other,0,False,1526044414,-1,0,5,not locked,77,Friday,853,2018-05-11 14:13:34+00:00,asleep
Unknown,Other,0,False,1526044426,-1,0,5,not locked,78,Friday,853,2018-05-11 14:13:46+00:00,asleep
Unknown,Other,0,False,1526044690,-1,0,5,not locked,1120,Friday,858,2018-05-11 14:18:10+00:00,asleep
Unknown,Other,0,False,1526044704,-1,0,5,not locked,1099,Friday,858,2018-05-11 14:18:24+00:00,asleep
Still,University,0,False,1526044733,-1,3252,5,not locked,1311,Friday,858,2018-05-11 14:18:53+00:00,asleep
Still,University,0,False,1526044764,-1,3252,5,not locked,1264,Friday,859,2018-05-11 14:19:24+00:00,asleep
Unknown,Other,0,False,1526044782,-1,0,5,not locked,1373,Friday,859,2018-05-11 14:19:42+00:00,asleep
Unknown,House,0,False,1526044812,-1,2586,5,not locked,1254,Friday,860,2018-05-11 14:20:12+00:00,asleep
Unknown,Other,0,False,1526044839,-1,0,5,not locked,802,Friday,860,2018-05-11 14:20:39+00:00,asleep
Unknown,Other,0,False,1526044887,-1,0,5,not locked,2514,Friday,861,2018-05-11 14:21:27+00:00,asleep
Unknown,Other,0,False,1526044911,-1,0,5,not locked,1149,Friday,861,2018-05-11 14:21:51+00:00,asleep
Exercise,House,0,False,1526044941,-1,1748,5,not locked,1194,Friday,862,2018-05-11 14:22:21+00:00,asleep
Exercise,House,0,False,1526044972,-1,1748,5,not locked,833,Friday,862,2018-05-11 14:22:52+00:00,asleep
Exercise,House,0,False,1526044972,-1,1748,5,not locked,833,Friday,862,2018-05-11 14:22:52+00:00,asleep
Unknown,Other,0,False,1526045185,-1,0,5,not locked,64605,Friday,866,2018-05-11 14:26:25+00:00,asleep
Unknown,Other,0,False,1526045200,-1,0,5,not locked,60985,Friday,866,2018-05-11 14:26:40+00:00,asleep
Unknown,Other,0,False,1526045392,-1,0,5,not locked,1062,Friday,869,2018-05-11 14:29:52+00:00,asleep
Unknown,Other,0,False,1526045408,-1,0,5,not locked,2425,Friday,870,2018-05-11 14:30:08+00:00,asleep
Unknown,House,0,False,1526045438,-1,26281,5,not locked,2416,Friday,870,2018-05-11 14:30:38+00:00,asleep
Unknown,House,0,False,1526045468,-1,26281,5,not locked,2826,Friday,871,2018-05-11 14:31:08+00:00,asleep
Unknown,Other,0,False,1526045484,-1,0,5,not locked,2787,Friday,871,2018-05-11 14:31:24+00:00,asleep
Unknown,House,0,False,1526045521,-1,21802,5,not locked,606,Friday,872,2018-05-11 14:32:01+00:00,asleep
Unknown,House,0,False,1526045552,-1,21802,5,not locked,606,Friday,872,2018-05-11 14:32:32+00:00,asleep
Unknown,House,0,False,1526045582,-1,15035,5,not locked,606,Friday,873,2018-05-11 14:33:02+00:00,asleep
Unknown,House,0,False,1526045612,-1,15035,5,not locked,606,Friday,873,2018-05-11 14:33:32+00:00,asleep
Still,Other,0,False,1526045623,-1,0,5,not locked,390,Friday,873,2018-05-11 14:33:43+00:00,asleep
Still,Other,0,False,1526045647,-1,0,5,not locked,447,Friday,874,2018-05-11 14:34:07+00:00,asleep
Still,House,0,False,1526045677,-1,5619,5,not locked,437,Friday,874,2018-05-11 14:34:37+00:00,asleep
In vehicle,House,0,False,1526045707,-1,5619,5,not locked,402,Friday,875,2018-05-11 14:35:07+00:00,asleep
Unknown,Other,0,False,1526045733,-1,0,5,not locked,381,Friday,875,2018-05-11 14:35:33+00:00,asleep
Unknown,Other,0,False,1526045747,-1,0,5,not locked,431,Friday,875,2018-05-11 14:35:47+00:00,asleep
Still,House,0,False,1526045777,-1,10493,5,not locked,221,Friday,876,2018-05-11 14:36:17+00:00,asleep
Unknown,Other,0,False,1526045848,-1,0,5,not locked,2145,Friday,877,2018-05-11 14:37:28+00:00,asleep
Unknown,Other,0,False,1526045859,-1,0,5,not locked,1764,Friday,877,2018-05-11 14:37:39+00:00,asleep
Unknown,House,0,False,1526045889,-1,32767,5,not locked,2302,Friday,878,2018-05-11 14:38:09+00:00,asleep
Still,House,0,False,1526045919,-1,32767,5,not locked,2174,Friday,878,2018-05-11 14:38:39+00:00,asleep
Still,House,0,False,1526045949,-1,2412,5,not locked,2341,Friday,879,2018-05-11 14:39:09+00:00,asleep
Unknown,Other,0,False,1526045993,-1,0,5,not locked,2248,Friday,879,2018-05-11 14:39:53+00:00,asleep
Unknown,Other,0,False,1526045997,-1,0,5,not locked,2532,Friday,879,2018-05-11 14:39:57+00:00,asleep
Unknown,Other,0,False,1526046042,0,0,0,not locked,0,Friday,880,2018-05-11 14:40:42+00:00,asleep
Unknown,Other,0,False,1526046048,-1,0,5,not locked,2261,Friday,880,2018-05-11 14:40:48+00:00,asleep
Unknown,House,0,False,1526046120,-1,16326,5,not locked,1765,Friday,882,2018-05-11 14:42:00+00:00,asleep
Unknown,Other,0,False,1526046219,-1,0,5,not locked,2478,Friday,883,2018-05-11 14:43:39+00:00,asleep
