activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
Unknown,House,0,False,1526348817,548040000.0,1968,10,not locked,0,Monday,166,2018-05-15 02:46:57+00:00,asleep
Still,House,0,False,1526348847,547980000.0,11654,10,not locked,0,Monday,167,2018-05-15 02:47:27+00:00,asleep
Still,House,0,False,1526348877,547980000.0,11654,10,not locked,0,Monday,167,2018-05-15 02:47:57+00:00,asleep
Still,House,0,False,1526348908,547920000.0,1778,10,not locked,0,Monday,168,2018-05-15 02:48:28+00:00,asleep
Still,House,0,False,1526348937,547920000.0,1778,10,not locked,0,Monday,168,2018-05-15 02:48:57+00:00,asleep
Unknown,House,0,False,1526348967,547860000.0,10356,10,not locked,0,Monday,169,2018-05-15 02:49:27+00:00,asleep
Unknown,House,0,False,1526349238,547620000.0,15950,10,not locked,0,Monday,173,2018-05-15 02:53:58+00:00,asleep
Still,House,0,False,1526349268,547560000.0,821,10,not locked,0,Monday,174,2018-05-15 02:54:28+00:00,asleep
Unknown,House,0,False,1526349298,547560000.0,821,10,not locked,0,Monday,174,2018-05-15 02:54:58+00:00,asleep
Still,House,0,False,1526349328,547500000.0,5388,10,not locked,0,Monday,175,2018-05-15 02:55:28+00:00,asleep
Still,House,0,False,1526349362,547440000.0,5388,10,locked,0,Monday,176,2018-05-15 02:56:02+00:00,asleep
Still,House,0,False,1526349392,547440000.0,3067,10,locked,0,Monday,176,2018-05-15 02:56:32+00:00,asleep
Still,House,0,False,1526349429,547380000.0,3067,10,locked,0,Monday,177,2018-05-15 02:57:09+00:00,asleep
Still,House,0,False,1526349512,547320000.0,7532,10,locked,0,Monday,178,2018-05-15 02:58:32+00:00,asleep
Still,House,0,False,1526349543,547260000.0,13931,10,locked,0,Monday,179,2018-05-15 02:59:03+00:00,asleep
Still,House,0,False,1526349676,547140000.0,6334,10,locked,0,Monday,181,2018-05-15 03:01:16+00:00,asleep
Still,House,0,False,1526349877,546960000.0,8800,10,not locked,0,Monday,184,2018-05-15 03:04:37+00:00,asleep
Still,House,0,False,1526350014,546840000.0,12405,0,locked,0,Monday,186,2018-05-15 03:06:54+00:00,asleep
Tilting,House,0,False,1526350042,546840000.0,12405,10,locked,0,Monday,187,2018-05-15 03:07:22+00:00,asleep
Still,House,0,False,1526350073,546780000.0,8849,10,not locked,0,Monday,187,2018-05-15 03:07:53+00:00,asleep
Still,House,0,False,1526350103,546780000.0,8849,10,not locked,0,Monday,188,2018-05-15 03:08:23+00:00,asleep
Still,House,0,False,1526350287,546540000.0,4233,10,locked,0,Monday,191,2018-05-15 03:11:27+00:00,asleep
Still,House,0,False,1526350330,546540000.0,14941,10,locked,0,Monday,192,2018-05-15 03:12:10+00:00,asleep
Still,House,0,False,1526350421,546540000.0,14941,10,locked,0,Monday,193,2018-05-15 03:13:41+00:00,asleep
Still,House,0,False,1526350476,546420000.0,1933,10,locked,0,Monday,194,2018-05-15 03:14:36+00:00,asleep
Still,House,0,False,1526350530,546360000.0,800,10,locked,0,Monday,195,2018-05-15 03:15:30+00:00,asleep
Still,House,0,False,1526350669,546300000.0,800,10,locked,0,Monday,197,2018-05-15 03:17:49+00:00,asleep
