activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1299513551077137,awake
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1299513551077137,awake
0.25,1.0,0.0,0.89216274,0.0,1.0,0.0,0.0,0.5,0.1299513551077137,awake
0.25,1.0,0.0,0.8920635,0.0,1.0,0.0,0.0,0.5,0.1306462821403752,awake
0.25,1.0,0.0,0.8920635,0.0,1.0,0.0,0.0,0.5,0.1306462821403752,awake
0.25,1.0,3.2095105e-07,0.89196426,0.0,1.0,0.0,0.0,0.5,0.1313412091730368,awake
0.25,1.0,3.2095105e-07,0.89196426,0.0,1.0,0.0,0.0,0.5,0.1313412091730368,awake
0.25,1.0,3.2095105e-07,0.8918651,0.0,1.0,0.0,0.0,0.5,0.1320361362056984,awake
0.25,1.0,3.2095105e-07,0.8918651,0.0,1.0,0.0,0.0,0.5,0.1320361362056984,awake
0.25,1.0,3.2095105e-07,0.89176595,0.0,1.0,0.0,0.0,0.5,0.1327310632383599,awake
0.25,1.0,6.419021e-07,0.89176595,0.0,1.0,0.0,0.0,0.5,0.1327310632383599,awake
0.25,1.0,6.419021e-07,0.89166665,0.0,1.0,0.0,0.0,0.5,0.1334259902710215,awake
0.25,1.0,6.419021e-07,0.89166665,0.0,1.0,0.0,0.0,0.5,0.1334259902710215,awake
0.25,1.0,6.419021e-07,0.8915674,0.0,1.0,0.0,0.0,0.5,0.1341209173036831,awake
0.25,1.0,9.628532e-07,0.8915674,0.0,1.0,0.0,0.0,0.5,0.1341209173036831,awake
0.25,1.0,9.628532e-07,0.8914682,0.0,1.0,0.0,0.0,0.5,0.1348158443363447,awake
0.25,1.0,9.628532e-07,0.8913691,0.0,1.0,0.0,0.0,0.5,0.1355107713690062,awake
0.25,1.0,1.2838042e-06,0.8913691,0.0,1.0,0.0,0.0005951018539711,0.5,0.1355107713690062,awake
0.0,1.0,1.2838042e-06,0.89126986,0.0,1.0,0.0,0.0,0.5,0.1362056984016678,awake
0.75,1.0,1.2838042e-06,0.89126986,0.0,1.0,0.0,3.0518043793392844e-05,0.5,0.1362056984016678,awake
0.75,1.0,1.2838042e-06,0.89126986,0.0,1.0,0.0,3.0518043793392844e-05,0.5,0.1362056984016678,awake
0.75,1.0,1.2838042e-06,0.89117056,0.0,1.0,0.0,0.0003662165255207,0.5,0.1369006254343294,awake
0.25,1.0,1.6047552e-06,0.89117056,0.0,1.0,0.0,0.000350957503624,0.5,0.1369006254343294,awake
0.25,1.0,1.6047552e-06,0.89107144,0.0,1.0,1.0,0.000350957503624,0.5,0.1375955524669909,awake
0.25,1.0,1.6047552e-06,0.89107144,0.0,1.0,1.0,0.000350957503624,0.5,0.1375955524669909,awake
0.25,1.0,1.6047552e-06,0.89097226,0.0,1.0,1.0,0.000350957503624,0.5,0.1382904794996525,awake
0.25,1.0,1.9257063e-06,0.890873,0.0,1.0,1.0,0.000350957503624,0.5,0.1389854065323141,awake
0.25,1.0,1.9257063e-06,0.8907738,0.0,1.0,0.0,0.0,0.5,0.1396803335649756,awake
0.25,1.0,1.9257063e-06,0.8907738,0.0,1.0,0.0,0.0,0.5,0.1396803335649756,awake
0.25,1.0,2.2466572e-06,0.8906746,0.0,1.0,0.0,0.0,0.5,0.1403752605976372,awake
0.25,1.0,2.2466572e-06,0.8906746,0.0,1.0,0.0,0.0,0.5,0.1403752605976372,awake
0.25,1.0,2.2466572e-06,0.89057547,0.0,1.0,0.0,0.0,0.5,0.1410701876302988,awake
0.25,1.0,2.2466572e-06,0.89057547,0.0,1.0,0.0,0.0,0.5,0.1410701876302988,awake
0.25,1.0,2.5676084e-06,0.89047617,0.0,1.0,0.0,0.0,0.5,0.1417651146629603,awake
0.25,1.0,2.5676084e-06,0.89047617,0.0,1.0,0.0,0.0,0.5,0.1417651146629603,awake
0.25,1.0,2.5676084e-06,0.8903769,0.0,1.0,0.0,0.0,0.5,0.1424600416956219,awake
0.25,1.0,2.8885593e-06,0.8902778,0.0,1.0,0.0,0.0,0.5,0.1431549687282835,awake
0.25,1.0,2.8885593e-06,0.8902778,0.0,1.0,0.0,0.0,0.5,0.1431549687282835,awake
0.25,1.0,2.8885593e-06,0.8901786,0.0,1.0,0.0,0.0,0.5,0.1438498957609451,awake
0.25,1.0,2.8885593e-06,0.8901786,0.0,1.0,0.0,0.0,0.5,0.1438498957609451,awake
0.25,1.0,2.8885593e-06,0.8900794,0.0,1.0,0.0,0.0,0.5,0.1445448227936066,awake
0.25,1.0,3.2095104e-06,0.8900794,0.0,1.0,0.0,0.0,0.5,0.1445448227936066,awake
0.25,1.0,3.2095104e-06,0.8899801,0.0,1.0,0.0,0.0,0.5,0.1452397498262682,awake
0.25,1.0,3.2095104e-06,0.8899801,0.0,1.0,0.0,0.0,0.5,0.1452397498262682,awake
0.25,1.0,3.2095104e-06,0.88988096,0.0,1.0,0.0,0.0,0.5,0.1459346768589298,awake
0.25,1.0,3.5304615e-06,0.88988096,0.0,1.0,0.0,0.0,0.5,0.1459346768589298,awake
0.25,1.0,3.5304615e-06,0.8897818,0.0,1.0,0.0,0.0,0.5,0.1466296038915913,awake
0.25,1.0,3.5304615e-06,0.8897818,0.0,1.0,0.0,0.0,0.5,0.1466296038915913,awake
0.25,1.0,3.5304615e-06,0.88968253,0.0,1.0,0.0,0.0,0.5,0.1473245309242529,awake
0.25,1.0,3.8514127e-06,0.88968253,0.0,1.0,0.0,0.0,0.5,0.1473245309242529,awake
0.25,1.0,3.8514127e-06,0.8895833,0.0,1.0,0.0,0.0,0.5,0.1480194579569145,awake
0.25,1.0,3.8514127e-06,0.8895833,0.0,1.0,0.0,0.0,0.5,0.1480194579569145,awake
0.25,1.0,3.8514127e-06,0.8894841,0.0,1.0,0.0,0.0,0.5,0.1487143849895761,awake
0.25,1.0,4.1723633e-06,0.8894841,0.0,1.0,0.0,0.0,0.5,0.1487143849895761,awake
0.25,1.0,4.1723633e-06,0.889385,0.0,1.0,0.0,0.0,0.5,0.1494093120222376,awake
0.25,1.0,4.1723633e-06,0.889385,0.0,1.0,0.0,0.0,0.5,0.1494093120222376,awake
0.25,1.0,4.1723633e-06,0.88928574,0.0,1.0,0.0,0.0,0.5,0.1501042390548992,awake
0.25,1.0,4.1723633e-06,0.88928574,0.0,1.0,0.0,0.0,0.5,0.1501042390548992,awake
0.25,1.0,4.4933145e-06,0.88918644,0.0,1.0,0.0,0.0,0.5,0.1507991660875608,awake
0.25,1.0,4.4933145e-06,0.88918644,0.0,1.0,0.0,0.0,0.5,0.1507991660875608,awake
0.25,1.0,4.4933145e-06,0.8890873,0.0,1.0,0.0,0.0,0.5,0.1514940931202223,awake
0.25,1.0,4.4933145e-06,0.8890873,0.0,1.0,0.0,0.0,0.5,0.1514940931202223,awake
0.25,1.0,4.8142656e-06,0.88898814,0.0,1.0,0.0,0.0,0.5,0.1521890201528839,awake
0.25,1.0,4.8142656e-06,0.88898814,0.0,1.0,0.0,0.0,0.5,0.1521890201528839,awake
0.25,1.0,4.8142656e-06,0.8888889,0.0,1.0,0.0,0.0,0.5,0.1528839471855455,awake
0.25,1.0,4.8142656e-06,0.8888889,0.0,1.0,0.0,0.0,0.5,0.1528839471855455,awake
0.25,1.0,5.1352167e-06,0.88878965,0.0,1.0,0.0,0.0,0.5,0.1535788742182071,awake
0.25,1.0,5.1352167e-06,0.88878965,0.0,1.0,0.0,0.0,0.5,0.1535788742182071,awake
0.25,1.0,5.1352167e-06,0.8886905,0.0,1.0,0.0,0.0,0.5,0.1542738012508686,awake
0.25,1.0,5.1352167e-06,0.8886905,0.0,1.0,0.0,0.0,0.5,0.1542738012508686,awake
0.25,1.0,5.456168e-06,0.88859135,0.0,1.0,0.0,0.0,0.5,0.1549687282835302,awake
0.25,1.0,5.456168e-06,0.88849205,0.0,1.0,0.0,0.0,0.5,0.1556636553161918,awake
0.25,1.0,5.456168e-06,0.88849205,0.0,1.0,0.0,0.0,0.5,0.1556636553161918,awake
0.25,1.0,5.456168e-06,0.8883928,0.0,1.0,0.0,0.0,0.5,0.1563585823488533,asleep
0.25,1.0,5.7771185e-06,0.8883928,0.0,1.0,0.0,0.0,0.5,0.1563585823488533,asleep
0.25,1.0,5.7771185e-06,0.8882936,0.0,1.0,0.0,0.0,0.5,0.1570535093815149,asleep
0.25,1.0,5.7771185e-06,0.8882936,0.0,1.0,0.0,0.0,0.5,0.1570535093815149,asleep
0.25,1.0,5.7771185e-06,0.8881945,0.0,1.0,0.0,0.0,0.5,0.1577484364141765,asleep
0.25,1.0,6.0980697e-06,0.8881945,0.0,1.0,0.0,0.0,0.5,0.1577484364141765,asleep
0.25,1.0,6.0980697e-06,0.88809526,0.0,1.0,0.0,0.0,0.5,0.158443363446838,asleep
0.25,1.0,6.0980697e-06,0.88809526,0.0,1.0,0.0,0.0,0.5,0.158443363446838,asleep
0.25,1.0,6.0980697e-06,0.88799596,0.0,1.0,0.0,0.0,0.5,0.1591382904794996,asleep
0.25,1.0,6.419021e-06,0.88799596,0.0,1.0,0.0,0.0,0.5,0.1591382904794996,asleep
0.25,1.0,6.419021e-06,0.88789684,0.0,1.0,0.0,0.0,0.5,0.1598332175121612,asleep
0.25,1.0,6.419021e-06,0.88789684,0.0,1.0,0.0,0.0,0.5,0.1598332175121612,asleep
0.25,1.0,6.419021e-06,0.88789684,0.0,1.0,0.0,0.0,0.5,0.1598332175121612,asleep
0.25,1.0,6.419021e-06,0.88779765,0.0,1.0,0.0,0.0,0.5,0.1605281445448227,asleep
0.25,1.0,6.739972e-06,0.88779765,0.0,1.0,0.0,0.0,0.5,0.1605281445448227,asleep
0.25,1.0,6.739972e-06,0.8876984,0.0,1.0,0.0,0.0,0.5,0.1612230715774843,asleep
0.25,1.0,6.739972e-06,0.8876984,0.0,1.0,0.0,0.0,0.5,0.1612230715774843,asleep
0.25,1.0,6.739972e-06,0.88759923,0.0,1.0,0.0,0.0,0.5,0.1619179986101459,asleep
0.25,1.0,7.060923e-06,0.8875,0.0,1.0,0.0,0.0,0.5,0.1626129256428075,asleep
0.25,1.0,7.060923e-06,0.8875,0.0,1.0,0.0,0.0,0.5,0.1626129256428075,asleep
0.25,1.0,7.060923e-06,0.8875,0.0,1.0,0.0,0.0,0.5,0.163307852675469,asleep
0.25,1.0,7.060923e-06,0.8874008,0.0,1.0,0.0,0.0,0.5,0.163307852675469,asleep
0.25,1.0,7.381874e-06,0.88730156,0.0,1.0,0.0,0.0,0.5,0.1640027797081306,asleep
0.25,1.0,7.381874e-06,0.88730156,0.0,1.0,0.0,0.0,0.5,0.1640027797081306,asleep
0.25,1.0,7.381874e-06,0.8872024,0.0,1.0,0.0,0.0,0.5,0.1646977067407922,asleep
0.25,1.0,7.381874e-06,0.8872024,0.0,1.0,0.0,0.0,0.5,0.1646977067407922,asleep
0.25,1.0,7.702825e-06,0.8871032,0.0,1.0,0.0,0.0,0.5,0.1653926337734537,asleep
0.25,1.0,7.702825e-06,0.88700396,0.0,1.0,0.0,0.0,0.5,0.1660875608061153,asleep
0.25,1.0,7.702825e-06,0.88700396,0.0,1.0,0.0,0.0,0.5,0.1660875608061153,asleep
0.25,1.0,8.023776e-06,0.8869048,0.0,1.0,0.0,0.0,0.5,0.1667824878387769,asleep
0.25,1.0,8.023776e-06,0.8869048,0.0,1.0,0.0,0.0,0.5,0.1667824878387769,asleep
0.25,1.0,8.023776e-06,0.88680553,0.0,1.0,0.0,0.0,0.5,0.1674774148714385,asleep
0.0,0.0,8.023776e-06,0.0,0.0,1.0,0.0,0.0,0.5,0.1674774148714385,asleep
0.0,1.0,8.023776e-06,0.88670635,0.0,1.0,0.0,0.0,0.5,0.1681723419041,asleep
0.0,1.0,8.344727e-06,0.88670635,0.0,1.0,0.0,0.0,0.5,0.1681723419041,asleep
0.0,1.0,8.344727e-06,0.88660717,0.0,1.0,0.0,0.0,0.5,0.1688672689367616,asleep
0.0,1.0,8.344727e-06,0.88660717,0.0,1.0,0.0,0.0,0.5,0.1688672689367616,asleep
0.0,1.0,8.344727e-06,0.8865079,0.0,1.0,0.0,0.0,0.5,0.1695621959694232,asleep
0.0,1.0,8.665678e-06,0.8865079,0.0,1.0,0.0,0.0,0.5,0.1695621959694232,asleep
0.0,0.0,8.665678e-06,0.0,0.0,1.0,0.0,0.0,0.5,0.1695621959694232,asleep
0.0,1.0,8.665678e-06,0.8865079,0.0,1.0,0.0,0.0,0.5,0.1702571230020848,asleep
0.0,1.0,8.665678e-06,0.88640875,0.0,1.0,0.0,0.0,0.5,0.1702571230020848,asleep
0.0,1.0,8.665678e-06,0.8863095,0.0,1.0,0.0,0.0,0.5,0.1709520500347463,asleep
0.0,1.0,8.986629e-06,0.8863095,0.0,1.0,0.0,0.0,0.5,0.1709520500347463,asleep
0.0,1.0,8.986629e-06,0.8862103,0.0,1.0,0.0,0.0,0.5,0.1716469770674079,asleep
0.0,1.0,8.986629e-06,0.8862103,0.0,1.0,0.0,0.0,0.5,0.1716469770674079,asleep
0.0,1.0,8.986629e-06,0.88611114,0.0,1.0,0.0,0.0,0.5,0.1723419041000695,asleep
0.0,0.0,7.702825e-05,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.4857539958304378,awake
0.0,0.0,7.702825e-05,0.996131,0.0,1.0,0.0,0.0001831082627603,0.6666666666666666,0.4857539958304378,awake
