activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.0,0.95376986,0.0,1.0,0.0,0.0,0.6666666666666666,0.7546907574704657,awake
0.0,0.0,0.0,0.95376986,0.0,1.0,0.0,0.0,0.6666666666666666,0.7546907574704657,awake
0.25,0.0,0.0,0.95376986,0.5226658,1.0,0.0,0.0,0.6666666666666666,0.7546907574704657,awake
0.0,0.0,3.2099442e-07,0.9536707,0.0,1.0,0.0,0.0,0.6666666666666666,0.7553856845031272,awake
0.0,0.0,3.2099442e-07,0.9536707,0.5211641,1.0,0.0,0.0,0.6666666666666666,0.7553856845031272,awake
0.25,0.0,3.2099442e-07,0.95357144,0.5211641,1.0,0.0,0.0,0.6666666666666666,0.7560806115357888,awake
0.0,0.0,3.2099442e-07,0.95357144,0.56635517,1.0,0.0,0.0,0.6666666666666666,0.7560806115357888,awake
0.0,0.0,3.2099442e-07,0.9534722,0.56635517,1.0,0.0,0.0,0.6666666666666666,0.7567755385684504,awake
0.75,0.0,6.4198883e-07,0.9534722,0.5263026,1.0,0.0,0.0,0.6666666666666666,0.7567755385684504,awake
0.25,0.0,6.4198883e-07,0.953373,0.5263026,1.0,0.0,0.0,0.6666666666666666,0.7574704656011119,awake
0.25,0.0,9.629832e-07,0.95327383,0.53036654,1.0,0.0,0.0,0.6666666666666666,0.7581653926337735,awake
0.25,0.0,9.629832e-07,0.9531746,0.53036654,1.0,0.0,0.0,0.6666666666666666,0.7588603196664351,awake
0.25,0.0,9.629832e-07,0.9531746,0.7348865,1.0,0.0,0.0,0.6666666666666666,0.7588603196664351,awake
0.0,0.0,9.629832e-07,0.95307535,0.0,1.0,0.0,0.0,0.6666666666666666,0.7595552466990966,awake
0.0,0.0,1.2839777e-06,0.95307535,0.0,1.0,0.0,0.0,0.6666666666666666,0.7595552466990966,awake
0.0,0.0,1.2839777e-06,0.95297617,0.0,1.0,0.0,0.0,0.6666666666666666,0.7602501737317582,awake
0.25,0.0,1.2839777e-06,0.95297617,0.52106,1.0,0.0,0.0,0.6666666666666666,0.7602501737317582,awake
0.75,0.0,1.2839777e-06,0.95287704,0.52106,1.0,1.0,0.0,0.6666666666666666,0.7609451007644198,awake
0.25,0.0,1.2839777e-06,0.95287704,0.52130383,1.0,1.0,0.0,0.6666666666666666,0.7609451007644198,awake
0.0,0.0,1.6049721e-06,0.9526785,0.5755616,1.0,0.0,0.0,0.6666666666666666,0.7623349548297429,awake
0.25,0.0,1.6049721e-06,0.9526785,0.5755616,1.0,0.0,0.0,0.6666666666666666,0.7623349548297429,awake
0.25,0.0,1.9259664e-06,0.9525794,0.5835685,1.0,0.0,0.0,0.6666666666666666,0.7630298818624045,awake
0.75,0.0,1.9259664e-06,0.9525794,0.5835685,1.0,0.0,0.0,0.6666666666666666,0.7630298818624045,awake
0.75,0.0,1.9259664e-06,0.9524802,0.0,1.0,0.0,0.0,0.6666666666666666,0.763724808895066,awake
0.25,0.0,1.9259664e-06,0.9524802,0.0,1.0,0.0,0.0,0.6666666666666666,0.763724808895066,awake
0.0,0.0,2.246961e-06,0.95238096,0.0,1.0,0.0,0.0,0.6666666666666666,0.7644197359277276,awake
0.25,0.0,2.246961e-06,0.95238096,0.0,1.0,0.0,0.0,0.6666666666666666,0.7644197359277276,awake
0.25,0.0,2.246961e-06,0.9522817,0.0,1.0,0.0,0.0,0.6666666666666666,0.7651146629603892,awake
0.0,0.0,2.246961e-06,0.9522817,0.0,1.0,0.0,0.0,0.6666666666666666,0.7651146629603892,awake
0.0,0.0,2.246961e-06,0.95218253,0.54429203,1.0,0.0,0.0,0.6666666666666666,0.7658095899930507,awake
0.25,0.0,2.5679553e-06,0.95218253,0.54429203,1.0,0.0,0.0,0.6666666666666666,0.7658095899930507,awake
0.25,0.0,2.5679553e-06,0.95218253,0.6066625,1.0,0.0,0.0,0.6666666666666666,0.7658095899930507,awake
0.25,0.0,2.5679553e-06,0.9520834,0.6066625,1.0,0.0,0.0,0.6666666666666666,0.7665045170257123,awake
0.25,0.0,2.8889497e-06,0.9519841,0.5603009,1.0,0.0,0.0,0.6666666666666666,0.7671994440583739,awake
0.25,0.0,2.8889497e-06,0.95188487,0.6853448,1.0,0.0,0.0,0.6666666666666666,0.7678943710910354,awake
0.25,0.0,2.8889497e-06,0.95188487,0.6853448,1.0,0.0,0.0,0.6666666666666666,0.7678943710910354,awake
0.25,0.0,2.8889497e-06,0.95178574,0.55522174,1.0,0.0,0.0,0.6666666666666666,0.768589298123697,awake
0.25,0.0,3.2099442e-06,0.95178574,0.55522174,1.0,0.0,0.0,0.6666666666666666,0.768589298123697,awake
