activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7032661570535094,2018-05-14 16:52:07+00:00,awake
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7032661570535094,2018-05-14 16:52:07+00:00,awake
0.25,0.5,3.2112996e-07,0.0,0.5311476,1.0,0.0,0.0,1.0,0.703961084086171,2018-05-14 16:53:07+00:00,awake
0.25,0.5,6.422599e-07,0.0,0.53216517,1.0,0.0,0.0,1.0,0.7053509381514941,2018-05-14 16:55:07+00:00,awake
0.25,0.0,6.422599e-07,0.0,0.5263156,1.0,0.0,0.0,1.0,0.7053509381514941,2018-05-14 16:55:37+00:00,awake
0.25,0.0,6.422599e-07,0.0,0.5263156,1.0,0.0,0.0,1.0,0.7060458651841557,2018-05-14 16:56:07+00:00,awake
0.75,0.5,1.2845198e-06,0.0,0.53050226,1.0,1.0,0.0,1.0,0.7081306462821404,2018-05-14 16:59:08+00:00,awake
0.75,0.5,1.2845198e-06,0.0,0.5410165,1.0,1.0,0.0,1.0,0.7081306462821404,2018-05-14 16:59:38+00:00,awake
0.75,0.5,1.2845198e-06,0.0,0.5410165,1.0,0.0,0.0,1.0,0.7088255733148019,2018-05-14 17:00:13+00:00,awake
0.75,0.5,1.6056498e-06,0.0,0.5331569,1.0,0.0,0.0,1.0,0.7095205003474635,2018-05-14 17:01:13+00:00,awake
0.75,0.0,1.6056498e-06,0.0,0.515992,1.0,0.0,0.0,1.0,0.7102154273801251,2018-05-14 17:02:13+00:00,awake
0.75,0.0,1.6056498e-06,0.0,0.58823824,1.0,0.0,0.0,1.0,0.7102154273801251,2018-05-14 17:02:43+00:00,awake
0.0,0.0,1.9267798e-06,0.0,0.58823824,1.0,0.0,0.0,1.0,0.7109103544127866,2018-05-14 17:03:13+00:00,awake
0.0,0.0,1.9267798e-06,0.0,0.55422676,1.0,0.0,0.0,1.0,0.7109103544127866,2018-05-14 17:03:43+00:00,awake
0.75,0.0,1.9267798e-06,0.0,0.55422676,1.0,0.0,0.0,1.0,0.7116052814454482,2018-05-14 17:04:13+00:00,awake
0.75,0.0,1.9267798e-06,0.0,0.52218133,1.0,0.0,0.0,1.0,0.7116052814454482,2018-05-14 17:04:44+00:00,awake
0.25,0.0,1.9267798e-06,0.0,0.52218133,1.0,0.0,0.0,1.0,0.7123002084781098,2018-05-14 17:05:14+00:00,awake
0.0,0.0,2.2479098e-06,0.0,0.53902334,1.0,0.0,0.0,1.0,0.7123002084781098,2018-05-14 17:05:44+00:00,awake
0.25,0.0,2.2479098e-06,0.0,0.53902334,1.0,0.0,0.0,1.0,0.7129951355107713,2018-05-14 17:06:14+00:00,awake
0.0,0.0,2.2479098e-06,0.0,0.52492553,1.0,0.0,0.0,1.0,0.7129951355107713,2018-05-14 17:06:44+00:00,awake
0.0,0.0,2.5690397e-06,0.0,0.5295498,1.0,0.0,0.0,1.0,0.7136900625434329,2018-05-14 17:07:44+00:00,awake
0.0,0.0,2.5690397e-06,0.0,0.53691053,1.0,0.0,0.0,1.0,0.7143849895760945,2018-05-14 17:08:44+00:00,awake
0.25,0.0,2.5690397e-06,0.0,0.53691053,1.0,0.0,0.0,1.0,0.715079916608756,2018-05-14 17:09:14+00:00,awake
0.0,0.0,2.8901698e-06,0.0,0.5271222,1.0,0.0,0.0,1.0,0.715079916608756,2018-05-14 17:09:44+00:00,awake
0.75,0.0,2.8901698e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.7157748436414176,2018-05-14 17:10:45+00:00,awake
0.75,0.5,2.8901698e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.7164697706740792,2018-05-14 17:11:15+00:00,awake
0.75,0.5,3.2112996e-06,0.0,0.59043574,0.0,1.0,0.0,1.0,0.7164697706740792,2018-05-14 17:11:45+00:00,awake
0.25,0.5,3.2112996e-06,0.0,0.59043574,0.0,1.0,0.0,1.0,0.7171646977067407,2018-05-14 17:12:22+00:00,awake
0.75,0.5,3.2112996e-06,0.0,0.54407823,0.0,1.0,0.0,1.0,0.7171646977067407,2018-05-14 17:12:49+00:00,awake
0.75,0.5,3.2112996e-06,0.0,0.54407823,0.0,1.0,0.0,1.0,0.7178596247394023,2018-05-14 17:13:19+00:00,awake
0.75,0.5,3.2112996e-06,0.0,0.5228255,0.0,1.0,0.0,1.0,0.7178596247394023,2018-05-14 17:13:49+00:00,awake
0.25,0.5,3.5324297e-06,0.0,0.5228255,0.0,1.0,0.0,1.0,0.718554551772064,2018-05-14 17:14:29+00:00,awake
0.25,0.5,3.5324297e-06,0.0,0.59328556,0.0,1.0,0.0,1.0,0.718554551772064,2018-05-14 17:14:59+00:00,awake
0.25,0.5,3.5324297e-06,0.0,0.59328556,0.0,1.0,0.0,1.0,0.7192494788047255,2018-05-14 17:15:29+00:00,awake
0.25,0.5,3.5324297e-06,0.0,0.595161,0.0,1.0,0.0,1.0,0.7192494788047255,2018-05-14 17:15:59+00:00,awake
0.25,0.5,3.8535595e-06,0.0,0.595161,0.0,1.0,0.0,1.0,0.7199444058373871,2018-05-14 17:16:29+00:00,awake
0.25,0.0,3.8535595e-06,0.0,0.55627114,0.0,1.0,0.0,1.0,0.7199444058373871,2018-05-14 17:16:59+00:00,awake
0.75,0.5,3.8535595e-06,0.0,0.55627114,0.0,1.0,0.0,1.0,0.7206393328700487,2018-05-14 17:17:29+00:00,awake
0.75,0.5,3.8535595e-06,0.0,0.53431326,0.0,1.0,0.0,1.0,0.7206393328700487,2018-05-14 17:17:59+00:00,awake
0.25,0.5,4.1746894e-06,0.0,0.6103143,0.0,1.0,0.0,1.0,0.7220291869353718,2018-05-14 17:19:04+00:00,awake
0.25,0.5,4.1746894e-06,0.0,0.6103143,0.0,1.0,0.0,1.0,0.7220291869353718,2018-05-14 17:19:34+00:00,awake
0.75,0.0,4.1746894e-06,0.0,0.52519643,0.0,1.0,0.0,1.0,0.7227241139680334,2018-05-14 17:20:04+00:00,awake
0.75,0.0,4.4958197e-06,0.0,0.52519643,0.0,1.0,0.0,1.0,0.7227241139680334,2018-05-14 17:20:34+00:00,awake
0.75,0.0,4.4958197e-06,0.0,0.52115065,0.0,1.0,0.0,1.0,0.7234190410006949,2018-05-14 17:21:04+00:00,awake
0.75,0.0,4.4958197e-06,0.0,0.52115065,0.0,1.0,0.0,1.0,0.7234190410006949,2018-05-14 17:21:34+00:00,awake
0.75,0.0,4.4958197e-06,0.0,0.52146083,0.0,1.0,0.0,1.0,0.7241139680333565,2018-05-14 17:22:04+00:00,awake
0.75,0.0,4.8169495e-06,0.0,0.52146083,0.0,1.0,0.0,1.0,0.7241139680333565,2018-05-14 17:22:34+00:00,awake
0.25,0.0,4.8169495e-06,0.0,0.5203654,0.0,1.0,0.0,1.0,0.7248088950660181,2018-05-14 17:23:04+00:00,awake
0.25,0.0,4.8169495e-06,0.0,0.5203654,0.0,1.0,0.0,1.0,0.7248088950660181,2018-05-14 17:23:34+00:00,awake
0.75,0.0,4.8169495e-06,0.0,0.5191772,0.0,1.0,0.0,1.0,0.7255038220986796,2018-05-14 17:24:04+00:00,awake
1.0,0.0,5.1380794e-06,0.0,0.5399694,0.0,1.0,0.0,1.0,0.7261987491313412,2018-05-14 17:25:15+00:00,awake
1.0,0.0,5.1380794e-06,0.0,0.5399694,0.0,1.0,0.0,1.0,0.7268936761640028,2018-05-14 17:26:04+00:00,awake
1.0,0.0,5.1380794e-06,0.0,0.54821485,0.0,1.0,0.0,1.0,0.7268936761640028,2018-05-14 17:26:34+00:00,awake
1.0,0.0,5.459209e-06,0.0,0.54821485,0.0,1.0,0.0,1.0,0.7275886031966643,2018-05-14 17:27:04+00:00,awake
1.0,0.0,5.459209e-06,0.0,0.5228933,0.0,1.0,0.0,1.0,0.7275886031966643,2018-05-14 17:27:34+00:00,awake
1.0,0.0,5.459209e-06,0.0,0.5228933,0.0,1.0,0.0,1.0,0.7282835302293259,2018-05-14 17:28:14+00:00,awake
1.0,0.0,5.459209e-06,0.0,0.5428245,0.0,1.0,0.0,1.0,0.7282835302293259,2018-05-14 17:28:44+00:00,awake
1.0,0.0,5.7803395e-06,0.0,0.5428245,0.0,1.0,0.0,1.0,0.7289784572619875,2018-05-14 17:29:23+00:00,awake
1.0,0.0,5.7803395e-06,0.0,0.5386896,0.0,1.0,0.0,1.0,0.7289784572619875,2018-05-14 17:29:53+00:00,awake
1.0,0.0,5.7803395e-06,0.0,0.5386896,0.0,1.0,0.0,1.0,0.729673384294649,2018-05-14 17:30:27+00:00,awake
1.0,0.0,6.1014694e-06,0.0,0.5272569,0.0,1.0,0.0,1.0,0.729673384294649,2018-05-14 17:30:57+00:00,awake
1.0,0.0,6.1014694e-06,0.0,0.5272569,0.0,1.0,0.0,1.0,0.7303683113273106,2018-05-14 17:31:41+00:00,awake
0.25,0.0,6.1014694e-06,0.0,0.5499075,0.0,1.0,0.0,1.0,0.7310632383599722,2018-05-14 17:32:11+00:00,awake
1.0,0.0,6.1014694e-06,0.0,0.5499075,0.0,1.0,0.0,1.0,0.7310632383599722,2018-05-14 17:32:53+00:00,awake
1.0,0.0,6.422599e-06,0.0,0.5435582,0.0,1.0,0.0,1.0,0.7324530924252953,2018-05-14 17:34:06+00:00,awake
1.0,0.0,6.422599e-06,0.0,0.57651633,0.0,1.0,0.0,1.0,0.7324530924252953,2018-05-14 17:34:36+00:00,awake
1.0,0.0,6.7437295e-06,0.0,0.57651633,0.0,1.0,0.0,1.0,0.7331480194579569,2018-05-14 17:35:19+00:00,awake
1.0,0.0,6.7437295e-06,0.0,0.5357266,0.0,1.0,0.0,1.0,0.7331480194579569,2018-05-14 17:35:49+00:00,awake
1.0,0.0,6.7437295e-06,0.0,0.5357266,0.0,1.0,0.0,1.0,0.7338429464906184,2018-05-14 17:36:37+00:00,awake
1.0,0.0,6.7437295e-06,0.0,0.54555637,0.0,1.0,0.0,1.0,0.73453787352328,2018-05-14 17:37:07+00:00,awake
1.0,0.0,7.0648593e-06,0.0,0.54555637,0.0,1.0,0.0,1.0,0.73453787352328,2018-05-14 17:37:54+00:00,awake
0.0,0.0,7.0648593e-06,0.0,0.5390258,0.0,1.0,0.0,1.0,0.7352328005559416,2018-05-14 17:38:24+00:00,awake
1.0,0.0,7.0648593e-06,0.0,0.5390258,0.0,1.0,0.0,1.0,0.7352328005559416,2018-05-14 17:38:58+00:00,awake
1.0,0.0,7.385989e-06,0.0,0.5420299,0.0,1.0,0.0,1.0,0.7359277275886031,2018-05-14 17:39:28+00:00,awake
1.0,0.0,7.385989e-06,0.0,0.5420299,0.0,1.0,0.0,1.0,0.7366226546212647,2018-05-14 17:40:12+00:00,awake
0.0,0.0,7.385989e-06,0.0,0.5444772,0.0,1.0,0.0,1.0,0.7366226546212647,2018-05-14 17:40:42+00:00,awake
1.0,0.0,7.385989e-06,0.0,0.5444772,0.0,1.0,0.0,1.0,0.7373175816539264,2018-05-14 17:41:28+00:00,awake
1.0,0.0,7.707119e-06,0.0,0.5484765,0.0,1.0,0.0,1.0,0.7373175816539264,2018-05-14 17:41:58+00:00,awake
1.0,0.0,7.707119e-06,0.0,0.5484765,0.0,1.0,0.0,1.0,0.7380125086865879,2018-05-14 17:42:41+00:00,awake
1.0,0.0,7.707119e-06,0.0,0.5358711,0.0,1.0,0.0,1.0,0.7387074357192495,2018-05-14 17:43:11+00:00,awake
0.25,0.0,8.028249e-06,0.0,0.5358711,0.0,1.0,0.0,1.0,0.7387074357192495,2018-05-14 17:43:59+00:00,awake
0.0,0.0,8.028249e-06,0.0,0.56460226,0.0,1.0,0.0,1.0,0.7394023627519111,2018-05-14 17:44:29+00:00,awake
0.0,0.0,8.028249e-06,0.0,0.56460226,0.0,1.0,0.0,1.0,0.7400972897845726,2018-05-14 17:45:22+00:00,awake
0.25,0.0,8.028249e-06,0.0,0.54457414,0.0,1.0,0.0,1.0,0.7400972897845726,2018-05-14 17:45:52+00:00,awake
0.25,0.0,8.349379e-06,0.0,0.54457414,0.0,1.0,0.0,1.0,0.7407922168172342,2018-05-14 17:46:43+00:00,awake
1.0,0.0,8.349379e-06,0.0,0.5387806,0.0,1.0,0.0,1.0,0.7414871438498958,2018-05-14 17:47:13+00:00,awake
1.0,0.0,8.6705095e-06,0.0,0.5387806,0.0,1.0,0.0,1.0,0.7421820708825573,2018-05-14 17:48:05+00:00,awake
1.0,0.0,8.6705095e-06,0.0,0.54355025,0.0,1.0,0.0,1.0,0.7421820708825573,2018-05-14 17:48:35+00:00,awake
1.0,0.0,8.6705095e-06,0.0,0.54355025,0.0,1.0,0.0,1.0,0.7428769979152189,2018-05-14 17:49:22+00:00,awake
1.0,0.0,8.6705095e-06,0.0,0.52921253,0.0,1.0,0.0,1.0,0.7428769979152189,2018-05-14 17:49:52+00:00,awake
1.0,0.0,8.991639e-06,0.0,0.52921253,0.0,1.0,0.0,1.0,0.7435719249478805,2018-05-14 17:50:36+00:00,awake
