activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.25,0.0,0.0,0.93829364,0.0,1.0,0.0,0.0,1.0,0.8895066018068103,asleep
0.25,0.0,0.0,0.93829364,0.0,1.0,0.0,0.0,1.0,0.8895066018068103,asleep
0.25,1.0,0.0,0.9381945,0.5971645,1.0,0.0,0.0,1.0,0.8902015288394719,asleep
0.25,1.0,3.2114295e-07,0.9381945,0.5971645,1.0,0.0,0.0,1.0,0.8902015288394719,asleep
0.25,1.0,3.2114295e-07,0.9380952,0.692235,1.0,0.0,0.0,1.0,0.8908964558721334,asleep
0.25,1.0,3.2114295e-07,0.9380952,0.692235,1.0,0.0,0.0,1.0,0.8908964558721334,asleep
0.25,1.0,3.2114295e-07,0.937996,0.64164907,1.0,0.0,0.0,1.0,0.891591382904795,asleep
0.25,1.0,6.422859e-07,0.93789685,0.74633616,1.0,0.0,0.0,1.0,0.8922863099374566,asleep
0.25,1.0,6.422859e-07,0.93789685,0.74633616,1.0,0.0,0.0,1.0,0.8922863099374566,asleep
0.25,1.0,6.422859e-07,0.93779767,0.79157466,1.0,0.0,0.0,1.0,0.8929812369701181,asleep
0.25,1.0,9.634289e-07,0.93779767,0.79157466,1.0,0.0,1.4158957900698509e-05,1.0,0.8929812369701181,asleep
0.25,1.0,9.634289e-07,0.9376984,0.6601318,1.0,0.0,0.0,1.0,0.8936761640027797,asleep
0.25,1.0,9.634289e-07,0.9376984,0.6601318,1.0,0.0,0.0,1.0,0.8936761640027797,asleep
0.25,1.0,9.634289e-07,0.9375992,0.5925222,1.0,0.0,0.0,1.0,0.8943710910354413,asleep
0.25,1.0,1.2845718e-06,0.9375,0.6918668,1.0,0.0,0.0,1.0,0.8950660180681028,asleep
0.25,1.0,1.2845718e-06,0.9375,0.6918668,1.0,0.0,4.71965263356617e-06,1.0,0.8950660180681028,asleep
0.25,1.0,1.2845718e-06,0.9374008,0.5197424,1.0,0.0,4.71965263356617e-06,1.0,0.8957609451007644,asleep
0.25,1.0,1.2845718e-06,0.9374008,0.5197424,1.0,0.0,4.71965263356617e-06,1.0,0.8957609451007644,asleep
0.25,1.0,1.6057148e-06,0.9373016,0.53836054,1.0,0.0,4.71965263356617e-06,1.0,0.896455872133426,asleep
0.25,1.0,1.6057148e-06,0.9373016,0.53836054,1.0,0.0,0.0,1.0,0.896455872133426,asleep
0.25,1.0,1.6057148e-06,0.93720233,0.54508054,1.0,0.0,0.0,1.0,0.8971507991660875,asleep
0.25,1.0,1.9268577e-06,0.93710315,0.76167136,1.0,0.0,1.4158957900698509e-05,1.0,0.8978457261987491,asleep
0.25,1.0,1.9268577e-06,0.937004,0.762101,1.0,0.0,0.0,1.0,0.8985406532314107,asleep
0.25,1.0,2.2480008e-06,0.9369048,0.71671396,1.0,0.0,0.0,1.0,0.8992355802640722,asleep
0.25,1.0,2.2480008e-06,0.9368055,0.807038,1.0,0.0,0.0,1.0,0.8999305072967339,asleep
0.25,1.0,2.2480008e-06,0.9368055,0.807038,1.0,0.0,0.0,1.0,0.8999305072967339,asleep
0.25,1.0,2.5691436e-06,0.93670636,0.6911385,1.0,0.0,0.0,1.0,0.9006254343293955,asleep
0.25,1.0,2.5691436e-06,0.93670636,0.6911385,1.0,0.0,0.0,1.0,0.9006254343293955,asleep
0.25,1.0,2.8902866e-06,0.9364087,0.64600706,1.0,0.0,0.0,1.0,0.9027102154273802,asleep
0.25,1.0,2.8902866e-06,0.9364087,0.64600706,1.0,0.0,0.0,1.0,0.9027102154273802,asleep
0.25,1.0,2.8902866e-06,0.9364087,0.64600706,1.0,0.0,0.0,1.0,0.9027102154273802,asleep
0.0,0.0,2.8902866e-06,1.6534392e-09,0.0,1.0,0.0,0.0,1.0,0.9034051424600416,asleep
0.0,1.0,3.2114297e-06,0.9363095,0.6882302,1.0,0.0,0.0,1.0,0.9034051424600416,asleep
0.0,1.0,3.2114297e-06,0.9362104,0.6882302,1.0,0.0,0.0,1.0,0.9041000694927032,asleep
0.0,1.0,3.2114297e-06,0.9362104,0.75287336,1.0,0.0,0.0,1.0,0.9041000694927032,asleep
0.0,1.0,3.2114297e-06,0.9361111,0.78011125,1.0,0.0,0.0,1.0,0.9047949965253648,asleep
0.0,1.0,3.5325725e-06,0.93601185,0.78011125,1.0,0.0,0.0,1.0,0.9054899235580264,asleep
0.25,1.0,3.5325725e-06,0.93601185,0.5286738,1.0,0.0,0.0,1.0,0.9054899235580264,asleep
0.25,1.0,3.5325725e-06,0.93591267,0.5286738,1.0,0.0,0.0,1.0,0.906184850590688,asleep
0.25,1.0,3.5325725e-06,0.93591267,0.5271942,1.0,0.0,0.0,1.0,0.906184850590688,asleep
0.25,1.0,3.8537155e-06,0.93581355,0.5271942,1.0,0.0,0.0,1.0,0.9068797776233496,asleep
0.25,1.0,3.8537155e-06,0.93581355,0.6798686,1.0,0.0,0.0,1.0,0.9068797776233496,asleep
0.25,1.0,3.8537155e-06,0.9357143,0.6798686,1.0,0.0,0.0,1.0,0.9075747046560112,asleep
0.25,1.0,3.8537155e-06,0.9357143,0.5715529,1.0,0.0,0.0,1.0,0.9075747046560112,asleep
0.25,1.0,4.1748585e-06,0.935615,0.5715529,1.0,0.0,0.0,1.0,0.9082696316886728,asleep
0.25,1.0,4.1748585e-06,0.9355159,0.7345139,1.0,0.0,0.0,1.0,0.9089645587213344,asleep
0.25,1.0,4.4960016e-06,0.9354167,0.7345139,1.0,0.0,0.0,1.0,0.9096594857539958,asleep
