activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0008111960213488,1.0,0.9812369701181376,awake
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0008111960213488,1.0,0.9812369701181376,awake
0.25,0.5,0.0,0.0,0.515992,1.0,0.0,0.0004776200873362,1.0,0.9819318971507992,awake
0.0,0.5,3.2114934e-07,0.0,0.515992,1.0,0.0,0.0002501819505094,1.0,0.9826268241834608,awake
0.0,0.5,3.2114934e-07,0.0,0.515992,1.0,0.0,0.0004093886462882,1.0,0.9826268241834608,awake
0.25,0.5,3.2114934e-07,0.0,0.515992,1.0,0.0,0.0003335759340126,1.0,0.9833217512161224,awake
1.0,0.5,6.422987e-07,0.0,0.515992,1.0,0.0,0.0003032508491023,1.0,0.9833217512161224,awake
0.0,0.5,6.422987e-07,0.0,0.515992,1.0,0.0,0.0004018073750606,1.0,0.984016678248784,awake
0.25,0.5,6.422987e-07,0.0,0.515992,1.0,0.0,0.0003487384764677,1.0,0.984016678248784,awake
0.25,0.5,6.422987e-07,0.0,0.515992,1.0,1.0,0.0008718461911693,1.0,0.9847116052814454,awake
0.25,0.5,9.634481e-07,0.0,0.515992,0.0,1.0,0.0,1.0,0.9847116052814454,awake
0.25,1.0,9.634481e-07,0.0,0.55203426,0.0,1.0,0.0,1.0,0.985406532314107,awake
0.75,1.0,9.634481e-07,0.0,0.55203426,0.0,1.0,0.0,1.0,0.9861014593467686,awake
0.25,1.0,9.634481e-07,0.0,0.543169,0.0,1.0,0.0,1.0,0.9861014593467686,awake
0.25,1.0,1.2845974e-06,0.0,0.543169,0.0,1.0,0.0,1.0,0.98679638637943,awake
0.0,1.0,1.2845974e-06,0.0,0.56567043,0.0,1.0,0.0,1.0,0.98679638637943,awake
0.25,1.0,1.2845974e-06,0.0,0.56567043,0.0,1.0,0.0,1.0,0.9874913134120916,awake
0.25,1.0,1.2845974e-06,0.0,0.552655,0.0,1.0,0.0,1.0,0.9874913134120916,awake
0.25,1.0,1.6057468e-06,0.0,0.552655,0.0,1.0,0.0,1.0,0.9881862404447532,awake
0.25,1.0,1.6057468e-06,0.0,0.6008926,0.0,1.0,0.0,1.0,0.9881862404447532,awake
0.25,1.0,1.6057468e-06,0.0,0.6008926,0.0,1.0,0.0,1.0,0.9888811674774148,awake
0.25,1.0,1.9268962e-06,0.0,0.55408627,0.0,1.0,0.0,1.0,0.9895760945100764,awake
0.25,1.0,1.9268962e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.990271021542738,awake
0.25,1.0,1.9268962e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.990271021542738,awake
0.25,1.0,1.9268962e-06,0.0,0.5442439,0.0,1.0,0.0,1.0,0.9909659485753995,awake
0.25,1.0,2.2480456e-06,0.0,0.5442439,0.0,1.0,0.0,1.0,0.9909659485753995,awake
0.25,1.0,2.2480456e-06,0.0,0.54421175,0.0,1.0,0.0,1.0,0.9916608756080612,awake
0.25,1.0,2.2480456e-06,0.0,0.54421175,0.0,1.0,0.0,1.0,0.9916608756080612,awake
0.25,1.0,2.2480456e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.9923558026407228,awake
0.25,1.0,2.5691947e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.9923558026407228,awake
