activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.75,1.0,0.0,0.0,0.515992,1.0,0.0,0.0,1.0,0.6782487838776928,2018-05-14 16:16:08+00:00,asleep
0.25,1.0,3.2112823e-07,0.0,0.5421709,0.0,1.0,7.053728248065515e-06,1.0,0.6789437109103544,2018-05-14 16:17:39+00:00,asleep
0.25,1.0,6.4225645e-07,0.0,0.515992,0.0,1.0,0.0,1.0,0.6796386379430159,2018-05-14 16:18:39+00:00,asleep
0.0,1.0,6.4225645e-07,0.0,0.515992,0.0,1.0,0.0,1.0,0.6803335649756775,2018-05-14 16:19:09+00:00,asleep
0.25,1.0,6.4225645e-07,0.0,0.5313412,0.0,1.0,0.0,1.0,0.6810284920083391,2018-05-14 16:20:09+00:00,asleep
0.25,1.0,9.633847e-07,0.0,0.5397416,0.0,1.0,0.0,1.0,0.6817234190410006,2018-05-14 16:21:40+00:00,asleep
0.25,1.0,9.633847e-07,0.0,0.5453069,0.0,1.0,0.0,1.0,0.6824183460736623,2018-05-14 16:22:10+00:00,asleep
0.25,1.0,1.2845129e-06,0.0,0.538095,0.0,1.0,0.0,1.0,0.6831132731063239,2018-05-14 16:23:10+00:00,asleep
0.25,1.0,1.2845129e-06,0.0,0.538095,0.0,1.0,0.0,1.0,0.6831132731063239,2018-05-14 16:23:40+00:00,asleep
0.25,1.0,2.8901538e-06,0.0,0.55006975,0.0,1.0,0.0,1.0,0.6907574704656011,2018-05-14 16:34:09+00:00,asleep
0.25,1.0,3.5324103e-06,0.0,0.5189259,0.0,1.0,0.0,1.0,0.6935371785962474,2018-05-14 16:38:33+00:00,asleep
0.25,1.0,5.1380516e-06,0.0,0.54571325,0.0,1.0,0.0,1.0,0.7011813759555247,2018-05-14 16:49:26+00:00,asleep
0.25,1.0,5.4591796e-06,0.0,0.519082,1.0,1.0,7.053728248065515e-06,1.0,0.7025712300208478,2018-05-14 16:51:47+00:00,asleep
0.25,1.0,5.7803077e-06,0.0,0.515992,1.0,0.0,2.821491299226206e-05,1.0,0.7032661570535094,2018-05-14 16:52:47+00:00,asleep
0.0,1.0,5.7803077e-06,0.0,0.5888459,1.0,0.0,0.0008676085745120583,1.0,0.703961084086171,2018-05-14 16:53:40+00:00,asleep
0.0,1.0,5.7803077e-06,0.0,0.5888459,1.0,1.0,3.5268641240327576e-05,1.0,0.7046560111188325,2018-05-14 16:54:11+00:00,asleep
0.0,1.0,6.101436e-06,0.0,0.55500185,1.0,1.0,2.821491299226206e-05,1.0,0.7046560111188325,2018-05-14 16:54:41+00:00,asleep
0.0,1.0,6.422564e-06,0.0,0.58161545,1.0,1.0,2.821491299226206e-05,1.0,0.7067407922168172,2018-05-14 16:57:11+00:00,asleep
0.0,1.0,6.422564e-06,0.0,0.5804029,1.0,1.0,7.053728248065515e-05,1.0,0.7074357192494788,2018-05-14 16:58:41+00:00,asleep
0.0,1.0,6.7436927e-06,0.0,0.5732088,1.0,1.0,2.821491299226206e-05,1.0,0.7088255733148019,2018-05-14 17:00:12+00:00,asleep
0.0,1.0,6.7436927e-06,0.0,0.62285894,1.0,1.0,2.821491299226206e-05,1.0,0.7088255733148019,2018-05-14 17:00:42+00:00,asleep
0.0,1.0,7.0648207e-06,0.0,0.5913607,1.0,1.0,2.1161184744196543e-05,1.0,0.7102154273801251,2018-05-14 17:02:12+00:00,asleep
0.0,1.0,7.0648207e-06,0.0,0.5865528,1.0,1.0,2.821491299226206e-05,1.0,0.7109103544127866,2018-05-14 17:03:12+00:00,asleep
0.0,1.0,7.3859487e-06,0.0,0.5905649,1.0,1.0,2.1161184744196543e-05,1.0,0.7116052814454482,2018-05-14 17:04:12+00:00,asleep
0.0,1.0,7.707077e-06,0.0,0.54684246,1.0,1.0,2.821491299226206e-05,1.0,0.7123002084781098,2018-05-14 17:05:42+00:00,asleep
0.0,1.0,7.707077e-06,0.0,0.59440523,1.0,1.0,5.642982598452412e-05,1.0,0.7129951355107713,2018-05-14 17:06:43+00:00,asleep
0.0,1.0,8.349333e-06,0.0,0.5973983,1.0,1.0,1.410745649613103e-05,1.0,0.7164697706740792,2018-05-14 17:11:14+00:00,asleep
0.75,1.0,8.670462e-06,0.0,0.5190788,0.0,1.0,7.053728248065515e-06,1.0,0.7178596247394023,2018-05-14 17:13:14+00:00,asleep
0.25,1.0,8.99159e-06,0.0,0.6067002,1.0,1.0,2.1161184744196543e-05,1.0,0.7192494788047255,2018-05-14 17:15:14+00:00,asleep
