activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.75,1.0,0.0,0.0,0.515992,1.0,0.0,0.0,1.0,0.6782487838776928,asleep
0.25,1.0,3.2112823e-07,0.0,0.5421709,0.0,1.0,7.053728248065515e-06,1.0,0.6789437109103544,asleep
0.25,1.0,6.4225645e-07,0.0,0.515992,0.0,1.0,0.0,1.0,0.6796386379430159,asleep
0.0,1.0,6.4225645e-07,0.0,0.515992,0.0,1.0,0.0,1.0,0.6803335649756775,asleep
0.25,1.0,6.4225645e-07,0.0,0.5313412,0.0,1.0,0.0,1.0,0.6810284920083391,asleep
0.25,1.0,9.633847e-07,0.0,0.5397416,0.0,1.0,0.0,1.0,0.6817234190410006,asleep
0.25,1.0,9.633847e-07,0.0,0.5453069,0.0,1.0,0.0,1.0,0.6824183460736623,asleep
0.25,1.0,1.2845129e-06,0.0,0.538095,0.0,1.0,0.0,1.0,0.6831132731063239,asleep
0.25,1.0,1.2845129e-06,0.0,0.538095,0.0,1.0,0.0,1.0,0.6831132731063239,asleep
0.25,1.0,2.8901538e-06,0.0,0.55006975,0.0,1.0,0.0,1.0,0.6907574704656011,asleep
0.25,1.0,3.5324103e-06,0.0,0.5189259,0.0,1.0,0.0,1.0,0.6935371785962474,asleep
0.25,1.0,5.1380516e-06,0.0,0.54571325,0.0,1.0,0.0,1.0,0.7011813759555247,asleep
0.25,1.0,5.4591796e-06,0.0,0.519082,1.0,1.0,7.053728248065515e-06,1.0,0.7025712300208478,asleep
0.25,1.0,5.7803077e-06,0.0,0.515992,1.0,0.0,2.821491299226206e-05,1.0,0.7032661570535094,asleep
0.0,1.0,5.7803077e-06,0.0,0.5888459,1.0,0.0,0.000867608574512,1.0,0.703961084086171,asleep
0.0,1.0,5.7803077e-06,0.0,0.5888459,1.0,1.0,3.5268641240327576e-05,1.0,0.7046560111188325,asleep
0.0,1.0,6.101436e-06,0.0,0.55500185,1.0,1.0,2.821491299226206e-05,1.0,0.7046560111188325,asleep
0.0,1.0,6.422564e-06,0.0,0.58161545,1.0,1.0,2.821491299226206e-05,1.0,0.7067407922168172,asleep
0.0,1.0,6.422564e-06,0.0,0.5804029,1.0,1.0,7.053728248065515e-05,1.0,0.7074357192494788,asleep
0.0,1.0,6.7436927e-06,0.0,0.5732088,1.0,1.0,2.821491299226206e-05,1.0,0.7088255733148019,asleep
0.0,1.0,6.7436927e-06,0.0,0.62285894,1.0,1.0,2.821491299226206e-05,1.0,0.7088255733148019,asleep
0.0,1.0,7.0648207e-06,0.0,0.5913607,1.0,1.0,2.1161184744196543e-05,1.0,0.7102154273801251,asleep
0.0,1.0,7.0648207e-06,0.0,0.5865528,1.0,1.0,2.821491299226206e-05,1.0,0.7109103544127866,asleep
0.0,1.0,7.3859487e-06,0.0,0.5905649,1.0,1.0,2.1161184744196543e-05,1.0,0.7116052814454482,asleep
0.0,1.0,7.707077e-06,0.0,0.54684246,1.0,1.0,2.821491299226206e-05,1.0,0.7123002084781098,asleep
0.0,1.0,7.707077e-06,0.0,0.59440523,1.0,1.0,5.642982598452412e-05,1.0,0.7129951355107713,asleep
0.0,1.0,8.349333e-06,0.0,0.5973983,1.0,1.0,1.410745649613103e-05,1.0,0.7164697706740792,asleep
0.75,1.0,8.670462e-06,0.0,0.5190788,0.0,1.0,7.053728248065515e-06,1.0,0.7178596247394023,asleep
0.25,1.0,8.99159e-06,0.0,0.6067002,1.0,1.0,2.1161184744196543e-05,1.0,0.7192494788047255,asleep
0.25,1.0,9.312718e-06,0.0,0.5447117,1.0,1.0,2.821491299226206e-05,1.0,0.7206393328700487,asleep
0.25,1.0,9.633846e-06,0.0,0.5769128,1.0,1.0,2.1161184744196543e-05,1.0,0.7213342599027102,asleep
0.25,1.0,9.633846e-06,0.0,0.5510976,1.0,1.0,2.1161184744196543e-05,1.0,0.7220291869353718,asleep
0.25,1.0,1.0276103e-05,0.0,0.55270255,1.0,1.0,2.821491299226206e-05,1.0,0.7248088950660181,asleep
0.25,1.0,1.0597231e-05,0.0,0.57952887,1.0,1.0,3.5268641240327576e-05,1.0,0.7261987491313412,asleep
0.25,1.0,1.0918359e-05,0.0,0.592586,1.0,1.0,4.9376097736458605e-05,1.0,0.7275886031966643,asleep
0.25,1.0,1.0918359e-05,0.0,0.5636238,1.0,1.0,5.642982598452412e-05,1.0,0.7282835302293259,asleep
0.25,1.0,1.1239487e-05,0.0,0.5704108,1.0,0.0,5.642982598452412e-05,1.0,0.7289784572619875,asleep
0.25,1.0,1.1239487e-05,0.0,0.61541045,1.0,1.0,5.642982598452412e-05,1.0,0.729673384294649,asleep
0.25,1.0,1.1881744e-05,0.0,0.55153894,1.0,1.0,2.1161184744196543e-05,1.0,0.7317581653926337,asleep
0.25,1.0,1.2202872e-05,0.0,0.5398958,1.0,1.0,2.821491299226206e-05,1.0,0.7331480194579569,asleep
0.25,1.0,1.2845128e-05,0.0,0.60528857,1.0,1.0,7.053728248065515e-05,1.0,0.7366226546212647,asleep
0.25,1.0,1.3487385e-05,0.0,0.5456306,1.0,1.0,2.821491299226206e-05,1.0,0.7394023627519111,asleep
0.25,1.0,1.3487385e-05,0.0,0.5767683,1.0,1.0,2.821491299226206e-05,1.0,0.7394023627519111,asleep
0.25,1.0,1.3487385e-05,0.0,0.5623857,1.0,1.0,5.642982598452412e-05,1.0,0.7400972897845726,asleep
0.25,1.0,1.4129641e-05,0.0,0.56485707,1.0,1.0,4.9376097736458605e-05,1.0,0.7421820708825573,asleep
