client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
-1,0,0.6164432168006897,awake,0.8136157404661645,0.8136565836298932,0.9999362204222207,0.8972297277963317,-3.903881170574941e-05,0.499988002791178,[[ 1 25134][ 7 109746]],1.0,25134.0,7.0,109746.0
-1,0,0.6164432168006897,asleep,0.8136305675819939,0.1666666666666666,3.9785160135269546e-05,7.955133049600254e-05,-9.390968424893842e-06,0.4999971141594322,[[ 109748 5][ 25134 1]],109748.0,5.0,25134.0,1.0
-1,0,0.6164432168006897,avg,0.8136231540240793,0.4901616251482799,0.499988002791178,0.4486546395634138,-2.4214890065321623e-05,0.4999925584753051,,,,,
-1,1,0.4297157526016235,awake,0.8136602218136528,0.8136602218136528,1.0,0.8972576142183853,0.0,0.5,[[ 0 25135][ 0 109753]],0.0,25135.0,0.0,109753.0
-1,1,0.4297157526016235,asleep,0.8136602218136528,0.0,0.0,0.0,0.0,0.5,[[ 109753 0][ 25135 0]],109753.0,0.0,25135.0,0.0
-1,1,0.4297157526016235,avg,0.8136602218136528,0.4068301109068264,0.5,0.4486288071091927,0.0,0.5,,,,,
-1,2,0.4355448484420776,awake,0.8180712887729079,0.8281588169599877,0.9796907601614534,0.8975741689900997,0.1330107799485712,0.5460220261917272,[[ 2824 22311][ 2229 107524]],2824.0,22311.0,2229.0,107524.0
-1,2,0.4355448484420776,asleep,0.8180712887729079,0.5588759152978429,0.1123532922220011,0.1870942096197164,0.1330107799485712,0.5460220261917273,[[ 107524 2229][ 22311 2824]],107524.0,2229.0,22311.0,2824.0
-1,2,0.4355448484420776,avg,0.8180712887729079,0.6935173661289153,0.5460220261917272,0.5423341893049081,0.1330107799485712,0.5460220261917272,,,,,
-1,3,0.445715993642807,awake,0.8302888322163573,0.8652537740212775,0.9374049000938472,0.8998854183977817,0.3489463101251966,0.6499835322032792,[[ 9113 16022][ 6870 102883]],9113.0,16022.0,6870.0,102883.0
-1,3,0.445715993642807,asleep,0.8302888322163573,0.5701683038228117,0.3625621643127114,0.4432608589911961,0.3489463101251966,0.6499835322032793,[[ 102883 6870][ 16022 9113]],102883.0,6870.0,16022.0,9113.0
-1,3,0.445715993642807,avg,0.8302888322163573,0.7177110389220446,0.6499835322032792,0.6715731386944889,0.3489463101251966,0.6499835322032792,,,,,
-1,4,0.4440149366855621,awake,0.8317418895676413,0.8689324914184007,0.9341065847858372,0.9003416206342376,0.3649443007305823,0.6594344342270145,[[ 9671 15464][ 7232 102521]],9671.0,15464.0,7232.0,102521.0
-1,4,0.4440149366855621,asleep,0.8317418895676413,0.5721469561616281,0.3847622836681917,0.4601075217660212,0.3649443007305823,0.6594344342270146,[[ 102521 7232][ 15464 9671]],102521.0,7232.0,15464.0,9671.0
-1,4,0.4440149366855621,avg,0.8317418895676413,0.7205397237900144,0.6594344342270145,0.6802245712001294,0.3649443007305823,0.6594344342270146,,,,,
-1,5,0.4355718791484833,awake,0.8314601743668821,0.8701581548879984,0.9319198564048364,0.899980641982261,0.3687783178207716,0.6623593712101763,[[ 9873 15262][ 7472 102281]],9873.0,15262.0,7472.0,102281.0
-1,5,0.4355718791484833,asleep,0.8314601743668821,0.5692130296915537,0.3927988860155162,0.4648305084745763,0.3687783178207716,0.6623593712101763,[[ 102281 7472][ 15262 9873]],102281.0,7472.0,15262.0,9873.0
-1,5,0.4355718791484833,avg,0.8314601743668821,0.719685592289776,0.6623593712101763,0.6824055752284186,0.3687783178207716,0.6623593712101763,,,,,
-1,6,0.4320381283760071,awake,0.832890991044422,0.8718617819620685,0.931528067569907,0.9007078765026408,0.3771637952163422,0.6668581256886734,[[ 10109 15026][ 7515 102238]],10109.0,15026.0,7515.0,102238.0
-1,6,0.4320381283760071,asleep,0.832890991044422,0.5735928279618702,0.4021881838074398,0.4728361280666058,0.3771637952163422,0.6668581256886733,[[ 102238 7515][ 15026 10109]],102238.0,7515.0,15026.0,10109.0
-1,6,0.4320381283760071,avg,0.832890991044422,0.7227273049619694,0.6668581256886734,0.6867720022846233,0.3771637952163422,0.6668581256886734,,,,,
