NN_type,units,epochs,batch_size,max_iterations,Users,window_size,time_step,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,5,32,200,19,4,1,0,2023-09-22 20:19:48.349838,2023-09-22 20:21:37.765513,109.41567492485046,1.823594582080841,awake,0.8136546958868361,0.8136546958868361,1.0,0.8972542543319993,0.0,0.5,0.0,0.0,25135.0,0.0,109749.0
LSTM,128,5,32,200,19,4,1,0,2023-09-22 20:19:48.349838,2023-09-22 20:21:37.765513,109.41567492485046,1.823594582080841,asleep,0.8136546958868361,0.0,0.0,0.0,0.0,0.5,0.0,109749.0,0.0,25135.0,0.0
LSTM,128,5,32,200,19,4,1,0,2023-09-22 20:19:48.349838,2023-09-22 20:21:37.765513,109.41567492485046,1.823594582080841,avg,0.8136546958868361,0.40682734794341807,0.5,0.4486271271659997,0.0,0.5,,,,,
LSTM,128,5,32,200,19,4,1,1,2023-09-22 20:21:38.577405,2023-09-22 20:23:06.657341,88.07993602752686,1.4679989337921142,awake,0.8136546958868361,0.8136546958868361,1.0,0.8972542543319993,0.0,0.5,0.0,0.0,25135.0,0.0,109749.0
LSTM,128,5,32,200,19,4,1,1,2023-09-22 20:21:38.577405,2023-09-22 20:23:06.657341,88.07993602752686,1.4679989337921142,asleep,0.8136546958868361,0.0,0.0,0.0,0.0,0.5,0.0,109749.0,0.0,25135.0,0.0
LSTM,128,5,32,200,19,4,1,1,2023-09-22 20:21:38.577405,2023-09-22 20:23:06.657341,88.07993602752686,1.4679989337921142,avg,0.8136546958868361,0.40682734794341807,0.5,0.4486271271659997,0.0,0.5,,,,,
LSTM,128,5,32,200,19,4,1,2,2023-09-22 20:23:07.495514,2023-09-22 20:24:36.180027,88.68451309204102,1.4780752182006835,awake,0.8136472821090714,0.8136719184430028,0.999954441498328,0.8972463862907973,0.00018479177367924926,0.5000567910694346,0.0,4.0,25131.0,5.0,109744.0
LSTM,128,5,32,200,19,4,1,2,2023-09-22 20:23:07.495514,2023-09-22 20:24:36.180027,88.68451309204102,1.4780752182006835,asleep,0.8136472821090714,0.4444444444444444,0.00015914064054107818,0.0003181673560292714,0.00018479177367924926,0.5000567910694345,0.0,109744.0,5.0,25131.0,4.0
LSTM,128,5,32,200,19,4,1,2,2023-09-22 20:23:07.495514,2023-09-22 20:24:36.180027,88.68451309204102,1.4780752182006835,avg,0.8136472821090714,0.6290581814437236,0.5000567910694346,0.4487822768234133,0.00018479177367924926,0.5000567910694345,,,,,
LSTM,128,5,32,200,19,4,1,3,2023-09-22 20:24:37.015381,2023-09-22 20:26:05.941335,88.92595386505127,1.4820992310841878,awake,0.8136843509978945,0.8137113875995432,0.9999362180976592,0.8972630460110786,0.0006081043405521402,0.5001869274295736,0.0,11.0,25124.0,7.0,109742.0
LSTM,128,5,32,200,19,4,1,3,2023-09-22 20:24:37.015381,2023-09-22 20:26:05.941335,88.92595386505127,1.4820992310841878,asleep,0.8136843509978945,0.6111111111111112,0.000437636761487965,0.0008746471593845663,0.0006081043405521402,0.5001869274295736,0.0,109742.0,7.0,25124.0,11.0
LSTM,128,5,32,200,19,4,1,3,2023-09-22 20:24:37.015381,2023-09-22 20:26:05.941335,88.92595386505127,1.4820992310841878,avg,0.8136843509978945,0.7124112493553272,0.5001869274295736,0.4490688465852316,0.0006081043405521402,0.5001869274295736,,,,,
LSTM,128,5,32,200,19,4,1,4,2023-09-22 20:26:06.790269,2023-09-22 20:27:35.494669,88.70440006256104,1.4784066677093506,awake,0.8136843509978945,0.8137393032464739,0.9998815478956528,0.8972580058298548,0.0009071895403878205,0.5002789478089762,0.0,17.0,25118.0,13.0,109736.0
LSTM,128,5,32,200,19,4,1,4,2023-09-22 20:26:06.790269,2023-09-22 20:27:35.494669,88.70440006256104,1.4784066677093506,asleep,0.8136843509978945,0.5666666666666667,0.0006763477222995822,0.0013510828531690838,0.0009071895403878205,0.5002789478089762,0.0,109736.0,13.0,25118.0,17.0
LSTM,128,5,32,200,19,4,1,4,2023-09-22 20:26:06.790269,2023-09-22 20:27:35.494669,88.70440006256104,1.4784066677093506,avg,0.8136843509978945,0.6902029849565703,0.5002789478089762,0.44930454434151196,0.0009071895403878205,0.5002789478089762,,,,,
LSTM,128,5,32,200,19,4,1,5,2023-09-22 20:27:36.328315,2023-09-22 20:29:05.190392,88.86207699775696,1.4810346166292827,awake,0.8137140061089528,0.813763440860215,0.9998815478956528,0.897272678956169,0.0011658505452327717,0.5003585181292467,0.0,21.0,25114.0,13.0,109736.0
LSTM,128,5,32,200,19,4,1,5,2023-09-22 20:27:36.328315,2023-09-22 20:29:05.190392,88.86207699775696,1.4810346166292827,asleep,0.8137140061089528,0.6176470588235294,0.0008354883628406604,0.0016687194564742344,0.0011658505452327717,0.5003585181292468,0.0,109736.0,13.0,25114.0,21.0
LSTM,128,5,32,200,19,4,1,5,2023-09-22 20:27:36.328315,2023-09-22 20:29:05.190392,88.86207699775696,1.4810346166292827,avg,0.8137140061089528,0.7157052498418722,0.5003585181292467,0.44947069920632166,0.0011658505452327717,0.5003585181292467,,,,,
LSTM,128,5,32,200,19,4,1,6,2023-09-22 20:29:06.020427,2023-09-22 20:30:34.961904,88.941477060318,1.4823579510053,awake,0.8137510749977759,0.8138448187623774,0.9997813191919744,0.8972817820519112,0.0020365205355966642,0.5006266850584897,0.0,37.0,25098.0,24.0,109725.0
LSTM,128,5,32,200,19,4,1,6,2023-09-22 20:29:06.020427,2023-09-22 20:30:34.961904,88.941477060318,1.4823579510053,asleep,0.8137510749977759,0.6065573770491803,0.0014720509250049731,0.002936974122876647,0.0020365205355966642,0.5006266850584897,0.0,109725.0,24.0,25098.0,37.0
LSTM,128,5,32,200,19,4,1,6,2023-09-22 20:29:06.020427,2023-09-22 20:30:34.961904,88.941477060318,1.4823579510053,avg,0.8137510749977759,0.7102010979057789,0.5006266850584897,0.45010937808739393,0.0020365205355966642,0.5006266850584897,,,,,
LSTM,128,5,32,200,19,4,1,7,2023-09-22 20:30:35.798119,2023-09-22 20:32:04.196241,88.39812183380127,1.4733020305633544,awake,0.8136991785534237,0.8138863747644554,0.9996173085859552,0.8972409760246663,0.00247932635114978,0.500763498136224,0.0,48.0,25087.0,42.0,109707.0
LSTM,128,5,32,200,19,4,1,7,2023-09-22 20:30:35.798119,2023-09-22 20:32:04.196241,88.39812183380127,1.4733020305633544,asleep,0.8136991785534237,0.5333333333333333,0.0019096876864929382,0.003805748265609515,0.00247932635114978,0.5007634981362241,0.0,109707.0,42.0,25087.0,48.0
LSTM,128,5,32,200,19,4,1,7,2023-09-22 20:30:35.798119,2023-09-22 20:32:04.196241,88.39812183380127,1.4733020305633544,avg,0.8136991785534237,0.6736098540488944,0.5007634981362241,0.45052336214513794,0.00247932635114978,0.5007634981362241,,,,,
LSTM,128,5,32,200,19,4,1,8,2023-09-22 20:32:05.031165,2023-09-22 20:33:34.293846,89.26268100738525,1.4877113501230876,awake,0.8140846949971827,0.8143637875727694,0.9992983990742512,0.8974024326878624,0.007558559036434764,0.5023346978462563,0.0,135.0,25000.0,77.0,109672.0
LSTM,128,5,32,200,19,4,1,8,2023-09-22 20:32:05.031165,2023-09-22 20:33:34.293846,89.26268100738525,1.4877113501230876,asleep,0.8140846949971827,0.6367924528301887,0.0053709966182613885,0.01065214818321695,0.007558559036434764,0.5023346978462563,0.0,109672.0,77.0,25000.0,135.0
LSTM,128,5,32,200,19,4,1,8,2023-09-22 20:32:05.031165,2023-09-22 20:33:34.293846,89.26268100738525,1.4877113501230876,avg,0.8140846949971827,0.725578120201479,0.5023346978462563,0.45402729043553963,0.007558559036434764,0.5023346978462563,,,,,
LSTM,128,5,32,200,19,4,1,9,2023-09-22 20:33:35.127551,2023-09-22 20:35:04.167548,89.0399968624115,1.4839999477068584,awake,0.8152190029951663,0.8154964256756254,0.9988974842595377,0.8979277582111557,0.0194802242553187,0.5060530787122236,0.0,332.0,24803.0,121.0,109628.0
LSTM,128,5,32,200,19,4,1,9,2023-09-22 20:33:35.127551,2023-09-22 20:35:04.167548,89.0399968624115,1.4839999477068584,asleep,0.8152190029951663,0.7328918322295805,0.01320867316490949,0.02594966390495545,0.0194802242553187,0.5060530787122236,0.0,109628.0,121.0,24803.0,332.0
