NN_type,units,epochs,batch_size,max_iterations,Users,window_size,time_step,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,3,32,200,19,4,1,0,2023-09-24 11:45:51.236207,2023-09-24 11:47:03.602789,72.36658191680908,1.2061096986134847,awake,0.8136546958868361,0.8136546958868361,1.0,0.8972542543319993,0.0,0.5,0.0,0.0,25135.0,0.0,109749.0
LSTM,128,3,32,200,19,4,1,0,2023-09-24 11:45:51.236207,2023-09-24 11:47:03.602789,72.36658191680908,1.2061096986134847,asleep,0.8136546958868361,0.0,0.0,0.0,0.0,0.5,0.0,109749.0,0.0,25135.0,0.0
LSTM,128,3,32,200,19,4,1,0,2023-09-24 11:45:51.236207,2023-09-24 11:47:03.602789,72.36658191680908,1.2061096986134847,avg,0.8136546958868361,0.40682734794341807,0.5,0.4486271271659997,0.0,0.5,,,,,
LSTM,128,3,32,200,19,4,1,1,2023-09-24 11:47:04.442836,2023-09-24 11:48:03.480367,59.03753089904785,0.9839588483174642,awake,0.8136546958868361,0.8136546958868361,1.0,0.8972542543319993,0.0,0.5,0.0,0.0,25135.0,0.0,109749.0
LSTM,128,3,32,200,19,4,1,1,2023-09-24 11:47:04.442836,2023-09-24 11:48:03.480367,59.03753089904785,0.9839588483174642,asleep,0.8136546958868361,0.0,0.0,0.0,0.0,0.5,0.0,109749.0,0.0,25135.0,0.0
LSTM,128,3,32,200,19,4,1,1,2023-09-24 11:47:04.442836,2023-09-24 11:48:03.480367,59.03753089904785,0.9839588483174642,avg,0.8136546958868361,0.40682734794341807,0.5,0.4486271271659997,0.0,0.5,,,,,
LSTM,128,3,32,200,19,4,1,2,2023-09-24 11:48:04.298312,2023-09-24 11:49:03.295353,58.99704098701477,0.9832840164502462,awake,0.8136546958868361,0.8136546958868361,1.0,0.8972542543319993,0.0,0.5,0.0,0.0,25135.0,0.0,109749.0
LSTM,128,3,32,200,19,4,1,2,2023-09-24 11:48:04.298312,2023-09-24 11:49:03.295353,58.99704098701477,0.9832840164502462,asleep,0.8136546958868361,0.0,0.0,0.0,0.0,0.5,0.0,109749.0,0.0,25135.0,0.0
LSTM,128,3,32,200,19,4,1,2,2023-09-24 11:48:04.298312,2023-09-24 11:49:03.295353,58.99704098701477,0.9832840164502462,avg,0.8136546958868361,0.40682734794341807,0.5,0.4486271271659997,0.0,0.5,,,,,
LSTM,128,3,32,200,19,4,1,3,2023-09-24 11:49:04.123555,2023-09-24 11:50:04.078720,59.95516514778137,0.9992527524630229,awake,0.8136324545535423,0.8136598530512986,0.999954441498328,0.897239050632394,5.533808409463603e-05,0.5000170059092992,0.0,2.0,25133.0,5.0,109744.0
LSTM,128,3,32,200,19,4,1,3,2023-09-24 11:49:04.123555,2023-09-24 11:50:04.078720,59.95516514778137,0.9992527524630229,asleep,0.8136324545535423,0.2857142857142857,7.957032027053909e-05,0.00015909633282952827,5.533808409463603e-05,0.5000170059092993,0.0,109744.0,5.0,25133.0,2.0
LSTM,128,3,32,200,19,4,1,3,2023-09-24 11:49:04.123555,2023-09-24 11:50:04.078720,59.95516514778137,0.9992527524630229,avg,0.8136324545535423,0.5496870693827922,0.5000170059092993,0.44869907348261173,5.533808409463603e-05,0.5000170059092992,,,,,
LSTM,128,3,32,200,19,4,1,4,2023-09-24 11:50:04.903022,2023-09-24 11:51:03.857948,58.95492601394653,0.9825821002324422,awake,0.8136398683313069,0.8136705369455937,0.9999453297979936,0.8972418783188825,0.00016996330702001572,0.5000522352192673,0.0,4.0,25131.0,6.0,109743.0
LSTM,128,3,32,200,19,4,1,4,2023-09-24 11:50:04.903022,2023-09-24 11:51:03.857948,58.95492601394653,0.9825821002324422,asleep,0.8136398683313069,0.4,0.00015914064054107818,0.00031815470272419965,0.00016996330702001572,0.5000522352192672,0.0,109743.0,6.0,25131.0,4.0
LSTM,128,3,32,200,19,4,1,4,2023-09-24 11:50:04.903022,2023-09-24 11:51:03.857948,58.95492601394653,0.9825821002324422,avg,0.8136398683313069,0.6068352684727969,0.5000522352192673,0.44878001651080335,0.00016996330702001572,0.5000522352192673,,,,,
LSTM,128,3,32,200,19,4,1,5,2023-09-24 11:51:04.667539,2023-09-24 11:52:11.421388,66.75384902954102,1.1125641504923502,awake,0.8136546958868361,0.8136826027641023,0.9999453297979936,0.8972492140903684,0.0002994015871156108,0.5000920203794026,0.0,6.0,25129.0,6.0,109743.0
LSTM,128,3,32,200,19,4,1,5,2023-09-24 11:51:04.667539,2023-09-24 11:52:11.421388,66.75384902954102,1.1125641504923502,asleep,0.8136546958868361,0.5,0.00023871096081161728,0.00047719409869964607,0.0002994015871156108,0.5000920203794026,0.0,109743.0,6.0,25129.0,6.0
LSTM,128,3,32,200,19,4,1,5,2023-09-24 11:51:04.667539,2023-09-24 11:52:11.421388,66.75384902954102,1.1125641504923502,avg,0.8136546958868361,0.6568413013820511,0.5000920203794026,0.448863204094534,0.0002994015871156108,0.5000920203794026,,,,,
LSTM,128,3,32,200,19,4,1,6,2023-09-24 11:52:12.247324,2023-09-24 11:53:11.579232,59.331907987594604,0.9888651331265768,awake,0.8136695234423653,0.8136993208173918,0.9999362180976592,0.8972557099465697,0.00047870083834766763,0.5001471422694383,0.0,9.0,25126.0,7.0,109742.0
LSTM,128,3,32,200,19,4,1,6,2023-09-24 11:52:12.247324,2023-09-24 11:53:11.579232,59.331907987594604,0.9888651331265768,asleep,0.8136695234423653,0.5625,0.0003580664412174259,0.000715677309053318,0.00047870083834766763,0.5001471422694383,0.0,109742.0,7.0,25126.0,9.0
LSTM,128,3,32,200,19,4,1,6,2023-09-24 11:52:12.247324,2023-09-24 11:53:11.579232,59.331907987594604,0.9888651331265768,avg,0.8136695234423653,0.688099660408696,0.5001471422694383,0.4489856936278115,0.00047870083834766763,0.5001471422694383,,,,,
LSTM,128,3,32,200,19,4,1,7,2023-09-24 11:53:12.409747,2023-09-24 11:54:12.380717,59.970970153808594,0.9995161692301432,awake,0.8136621096646007,0.8137072436472569,0.999908882996656,0.8972495216914952,0.0005635994689160428,0.500173259879072,0.0,11.0,25124.0,10.0,109739.0
LSTM,128,3,32,200,19,4,1,7,2023-09-24 11:53:12.409747,2023-09-24 11:54:12.380717,59.970970153808594,0.9995161692301432,asleep,0.8136621096646007,0.5238095238095238,0.000437636761487965,0.0008745428525997774,0.0005635994689160428,0.500173259879072,0.0,109739.0,10.0,25124.0,11.0
LSTM,128,3,32,200,19,4,1,7,2023-09-24 11:53:12.409747,2023-09-24 11:54:12.380717,59.970970153808594,0.9995161692301432,avg,0.8136621096646007,0.6687583837283904,0.500173259879072,0.4490620322720475,0.0005635994689160428,0.500173259879072,,,,,
LSTM,128,3,32,200,19,4,1,8,2023-09-24 11:54:13.207577,2023-09-24 11:55:12.828904,59.62132692337036,0.9936887820561727,awake,0.8136843509978945,0.8137346502936466,0.9998906595959872,0.8972588458944012,0.0008573544391443644,0.5002636110790757,0.0,16.0,25119.0,12.0,109737.0
LSTM,128,3,32,200,19,4,1,8,2023-09-24 11:54:13.207577,2023-09-24 11:55:12.828904,59.62132692337036,0.9936887820561727,asleep,0.8136843509978945,0.5714285714285714,0.0006365625621643127,0.0012717084608353537,0.0008573544391443644,0.5002636110790757,0.0,109737.0,12.0,25119.0,16.0
LSTM,128,3,32,200,19,4,1,8,2023-09-24 11:54:13.207577,2023-09-24 11:55:12.828904,59.62132692337036,0.9936887820561727,avg,0.8136843509978945,0.6925816108611089,0.5002636110790758,0.44926527717761827,0.0008573544391443644,0.5002636110790757,,,,,
LSTM,128,3,32,200,19,4,1,9,2023-09-24 11:55:13.671911,2023-09-24 11:56:12.892667,59.22075605392456,0.9870126008987427,awake,0.8136843509978945,0.8137393032464739,0.9998815478956528,0.8972580058298548,0.0009071895403878205,0.5002789478089762,0.0,17.0,25118.0,13.0,109736.0
LSTM,128,3,32,200,19,4,1,9,2023-09-24 11:55:13.671911,2023-09-24 11:56:12.892667,59.22075605392456,0.9870126008987427,asleep,0.8136843509978945,0.5666666666666667,0.0006763477222995822,0.0013510828531690838,0.0009071895403878205,0.5002789478089762,0.0,109736.0,13.0,25118.0,17.0
LSTM,128,3,32,200,19,4,1,9,2023-09-24 11:55:13.671911,2023-09-24 11:56:12.892667,59.22075605392456,0.9870126008987427,avg,0.8136843509978945,0.6902029849565703,0.5002789478089762,0.44930454434151196,0.0009071895403878205,0.5002789478089762,,,,,
LSTM,128,3,32,200,19,4,1,10,2023-09-24 11:56:13.707049,2023-09-24 11:57:12.944512,59.23746299743652,0.9872910499572753,awake,0.8136843509978945,0.813743956337318,0.9998724361953184,0.897257165751571,0.0009570196705422918,0.5002942845388766,0.0,18.0,25117.0,14.0,109735.0
LSTM,128,3,32,200,19,4,1,10,2023-09-24 11:56:13.707049,2023-09-24 11:57:12.944512,59.23746299743652,0.9872910499572753,asleep,0.8136843509978945,0.5625,0.0007161328824348518,0.001430444629872452,0.0009570196705422918,0.5002942845388766,0.0,109735.0,14.0,25117.0,18.0
LSTM,128,3,32,200,19,4,1,10,2023-09-24 11:56:13.707049,2023-09-24 11:57:12.944512,59.23746299743652,0.9872910499572753,avg,0.8136843509978945,0.6881219781686589,0.5002942845388766,0.4493438051907217,0.0009570196705422918,0.5002942845388766,,,,,
LSTM,128,3,32,200,19,4,1,11,2023-09-24 11:57:13.766339,2023-09-24 11:58:13.566425,59.80008602142334,0.9966681003570557,awake,0.8137288336644821,0.8137755102040817,0.9998815478956528,0.8972800156992932,0.0012951616983628567,0.500398303289382,0.0,23.0,25112.0,13.0,109736.0
LSTM,128,3,32,200,19,4,1,11,2023-09-24 11:57:13.766339,2023-09-24 11:58:13.566425,59.80008602142334,0.9966681003570557,asleep,0.8137288336644821,0.6388888888888888,0.0009150586831111995,0.0018274999006793532,0.0012951616983628567,0.5003983032893821,0.0,109736.0,13.0,25112.0,23.0
LSTM,128,3,32,200,19,4,1,11,2023-09-24 11:57:13.766339,2023-09-24 11:58:13.566425,59.80008602142334,0.9966681003570557,avg,0.8137288336644821,0.7263321995464853,0.500398303289382,0.44955375779998624,0.0012951616983628567,0.500398303289382,,,,,
LSTM,128,3,32,200,19,4,1,12,2023-09-24 11:58:14.395082,2023-09-24 11:59:14.192019,59.796936988830566,0.9966156164805094,awake,0.8137140061089528,0.8138099829414819,0.9997904308923088,0.8972642786175428,0.0016637496766541693,0.5005118854282511,0.0,31.0,25104.0,23.0,109726.0
LSTM,128,3,32,200,19,4,1,12,2023-09-24 11:58:14.395082,2023-09-24 11:59:14.192019,59.796936988830566,0.9966156164805094,asleep,0.8137140061089528,0.5740740740740741,0.001233339964193356,0.0024613918774068046,0.0016637496766541693,0.5005118854282511,0.0,109726.0,23.0,25104.0,31.0
LSTM,128,3,32,200,19,4,1,12,2023-09-24 11:58:14.395082,2023-09-24 11:59:14.192019,59.796936988830566,0.9966156164805094,avg,0.8137140061089528,0.693942028507778,0.5005118854282511,0.4498628352474748,0.0016637496766541693,0.5005118854282511,,,,,
LSTM,128,3,32,200,19,4,1,13,2023-09-24 11:59:15.030781,2023-09-24 12:00:14.757855,59.72707390785217,0.9954512317975363,awake,0.8137436612200113,0.813866718096312,0.999726648989968,0.8972730729756584,0.0022702898614977984,0.5006988128578247,0.0,42.0,25093.0,30.0,109719.0
LSTM,128,3,32,200,19,4,1,13,2023-09-24 11:59:15.030781,2023-09-24 12:00:14.757855,59.72707390785217,0.9954512317975363,asleep,0.8137436612200113,0.5833333333333334,0.0016709767256813208,0.0033324076645376284,0.0022702898614977984,0.5006988128578247,0.0,109719.0,30.0,25093.0,42.0
LSTM,128,3,32,200,19,4,1,13,2023-09-24 11:59:15.030781,2023-09-24 12:00:14.757855,59.72707390785217,0.9954512317975363,avg,0.8137436612200113,0.6986000257148226,0.5006988128578247,0.450302740320098,0.0022702898614977984,0.5006988128578247,,,,,
LSTM,128,3,32,200,19,4,1,14,2023-09-24 12:00:15.572371,2023-09-24 12:01:14.977555,59.40518403053284,0.9900864005088806,awake,0.8138103852198927,0.8139816140736179,0.9996081968856209,0.8972951751551982,0.0034966144736907623,0.501077223567139,0.0,64.0,25071.0,43.0,109706.0
LSTM,128,3,32,200,19,4,1,14,2023-09-24 12:00:15.572371,2023-09-24 12:01:14.977555,59.40518403053284,0.9900864005088806,asleep,0.8138103852198927,0.5981308411214953,0.002546250248657251,0.005070913556770462,0.0034966144736907623,0.501077223567139,0.0,109706.0,43.0,25071.0,64.0
LSTM,128,3,32,200,19,4,1,14,2023-09-24 12:00:15.572371,2023-09-24 12:01:14.977555,59.40518403053284,0.9900864005088806,avg,0.8138103852198927,0.7060562275975566,0.501077223567139,0.45118304435598433,0.0034966144736907623,0.501077223567139,,,,,
LSTM,128,3,32,200,19,4,1,15,2023-09-24 12:01:15.793281,2023-09-24 12:02:14.946341,59.15305995941162,0.9858843326568604,awake,0.8140402123305952,0.8142855021678447,0.9993804043772608,0.8973879604819079,0.006729283992850998,0.5020773117967465,0.0,120.0,25015.0,68.0,109681.0
LSTM,128,3,32,200,19,4,1,15,2023-09-24 12:01:15.793281,2023-09-24 12:02:14.946341,59.15305995941162,0.9858843326568604,asleep,0.8140402123305952,0.6382978723404256,0.004774219216232345,0.00947755005331122,0.006729283992850998,0.5020773117967466,0.0,109681.0,68.0,25015.0,120.0
LSTM,128,3,32,200,19,4,1,15,2023-09-24 12:01:15.793281,2023-09-24 12:02:14.946341,59.15305995941162,0.9858843326568604,avg,0.8140402123305952,0.7262916872541352,0.5020773117967466,0.45343275526760957,0.006729283992850998,0.5020773117967465,,,,,
LSTM,128,3,32,200,19,4,1,16,2023-09-24 12:02:15.762752,2023-09-24 12:03:15.234608,59.471855878829956,0.9911975979804992,awake,0.8145740043296462,0.8148098613525924,0.9992072820709073,0.89763644177052,0.012279399637896593,0.5038009754297246,0.0,211.0,24924.0,87.0,109662.0
LSTM,128,3,32,200,19,4,1,16,2023-09-24 12:02:15.762752,2023-09-24 12:03:15.234608,59.471855878829956,0.9911975979804992,asleep,0.8145740043296462,0.7080536912751678,0.008394668788541873,0.01659261589273778,0.012279399637896593,0.5038009754297246,0.0,109662.0,87.0,24924.0,211.0
LSTM,128,3,32,200,19,4,1,16,2023-09-24 12:02:15.762752,2023-09-24 12:03:15.234608,59.471855878829956,0.9911975979804992,avg,0.8145740043296462,0.76143177631388,0.5038009754297246,0.4571145288316289,0.012279399637896593,0.5038009754297246,,,,,
LSTM,128,3,32,200,19,4,1,17,2023-09-24 12:03:16.057387,2023-09-24 12:04:16.082042,60.02465486526489,1.0004109144210815,awake,0.8150410723288158,0.8152992705072243,0.998997712963216,0.8978487138961454,0.01742061584516863,0.5054069527616956,0.0,297.0,24838.0,110.0,109639.0
LSTM,128,3,32,200,19,4,1,17,2023-09-24 12:03:16.057387,2023-09-24 12:04:16.082042,60.02465486526489,1.0004109144210815,asleep,0.8150410723288158,0.7297297297297297,0.011816192560175055,0.023255813953488375,0.01742061584516863,0.5054069527616954,0.0,109639.0,110.0,24838.0,297.0
