NN_type,units,epochs,batch_size,max_iterations,Users,window_size,time_step,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MPL,16/8,3,32,200,19,-1,-1,0,2023-09-23 01:55:54.026160,2023-09-23 01:56:13.655505,19.629344940185547,0.32715574900309247,awake,0.813652808255738,0.813658840362674,0.9999908886317458,0.8972531066056246,-1.4826745782681172e-05,0.4999954443158729,0.0,0.0,25135.0,1.0,109752.0
MPL,16/8,3,32,200,19,-1,-1,0,2023-09-23 01:55:54.026160,2023-09-23 01:56:13.655505,19.629344940185547,0.32715574900309247,asleep,0.813652808255738,0.0,0.0,0.0,-1.4826745782681172e-05,0.4999954443158729,0.0,109752.0,1.0,25135.0,0.0
MPL,16/8,3,32,200,19,-1,-1,0,2023-09-23 01:55:54.026160,2023-09-23 01:56:13.655505,19.629344940185547,0.32715574900309247,avg,0.813652808255738,0.406829420181337,0.4999954443158729,0.4486265533028123,-1.4826745782681172e-05,0.4999954443158729,,,,,
MPL,16/8,3,32,200,19,-1,-1,1,2023-09-23 01:56:14.476533,2023-09-23 01:56:24.148978,9.672445058822632,0.16120741764704385,awake,0.8190869462072238,0.8242682593234248,0.9883738941076782,0.8988925119221735,0.10266990188995129,0.5341312478296497,0.0,2008.0,23127.0,1276.0,108477.0
MPL,16/8,3,32,200,19,-1,-1,1,2023-09-23 01:56:14.476533,2023-09-23 01:56:24.148978,9.672445058822632,0.16120741764704385,asleep,0.8190869462072238,0.6114494518879415,0.07988860155162125,0.14131390970829377,0.10266990188995129,0.5341312478296498,0.0,108477.0,1276.0,23127.0,2008.0
MPL,16/8,3,32,200,19,-1,-1,1,2023-09-23 01:56:14.476533,2023-09-23 01:56:24.148978,9.672445058822632,0.16120741764704385,avg,0.8190869462072238,0.7178588556056832,0.5341312478296497,0.5201032108152336,0.10266990188995129,0.5341312478296498,,,,,
MPL,16/8,3,32,200,19,-1,-1,2,2023-09-23 01:56:24.969626,2023-09-23 01:56:34.630821,9.661195039749146,0.1610199173291524,awake,0.8244766028112211,0.8404163601705305,0.9681102111104024,0.8997552734755401,0.22224603995541514,0.582702410110602,0.0,4959.0,20176.0,3500.0,106253.0
MPL,16/8,3,32,200,19,-1,-1,2,2023-09-23 01:56:24.969626,2023-09-23 01:56:34.630821,9.661195039749146,0.1610199173291524,asleep,0.8244766028112211,0.5862395082161012,0.19729460911080168,0.29523129130201825,0.22224603995541514,0.582702410110602,0.0,106253.0,3500.0,20176.0,4959.0
MPL,16/8,3,32,200,19,-1,-1,2,2023-09-23 01:56:24.969626,2023-09-23 01:56:34.630821,9.661195039749146,0.1610199173291524,avg,0.8244766028112211,0.7133279341933159,0.5827024101106021,0.5974932823887792,0.22224603995541514,0.582702410110602,,,,,
MPL,16/8,3,32,200,19,-1,-1,3,2023-09-23 01:56:35.467132,2023-09-23 01:56:45.179685,9.712553024291992,0.16187588373819986,awake,0.8260779313207994,0.8434711309594886,0.9654041347389137,0.900327991434835,0.24199424741233866,0.5915542654995544,0.0,5472.0,19663.0,3797.0,105956.0
MPL,16/8,3,32,200,19,-1,-1,3,2023-09-23 01:56:35.467132,2023-09-23 01:56:45.179685,9.712553024291992,0.16187588373819986,asleep,0.8260779313207994,0.5903549465961808,0.21770439626019494,0.31810254621555634,0.24199424741233866,0.5915542654995544,0.0,105956.0,3797.0,19663.0,5472.0
