NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,train_accuracy,train_loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,5,32,2,1,2023-10-13 01:17:30.101086,2023-10-13 01:17:41.564776,11.463690042495728,0.19106150070826214,0.38830292224884033,0.8319475054740906,awake,0.8148139910739439,0.8156021503775074,0.9980501316616706,0.8976492810987777,0.02048330275931154,0.7620172856807497,0.0,370.0,24765.0,214.0,109537.0
LSTM,128,5,32,2,1,2023-10-13 01:17:30.101086,2023-10-13 01:17:41.564776,11.463690042495728,0.19106150070826214,0.38830292224884033,0.8319475054740906,asleep,0.8148139910739439,0.6335616438356164,0.01472050925004973,0.02877250281892764,0.02048330275931154,0.7620172858620017,0.0,109537.0,214.0,24765.0,370.0
LSTM,128,5,32,2,1,2023-10-13 01:17:30.101086,2023-10-13 01:17:41.564776,11.463690042495728,0.19106150070826214,0.38830292224884033,0.8319475054740906,avg,0.8148139910739439,0.7245818971065618,0.5063853204558602,0.4632108919588527,0.02048330275931154,0.7620172857713756,,,,,
LSTM,128,15,32,2,1,2023-10-13 01:17:42.411467,2023-10-13 01:17:52.030696,9.619228839874268,0.16032048066457114,0.37580257654190063,0.8419855237007141,awake,0.8167489583796688,0.8187024474345039,0.99515266375705,0.8983450953297472,0.05164405447331932,0.7893156742385752,0.0,949.0,24186.0,532.0,109219.0
LSTM,128,15,32,2,1,2023-10-13 01:17:42.411467,2023-10-13 01:17:52.030696,9.619228839874268,0.16032048066457114,0.37580257654190063,0.8419855237007141,asleep,0.8167489583796688,0.6407832545577312,0.0377561169683708,0.07131048993086865,0.05164405447331932,0.7893156787698733,0.0,109219.0,532.0,24186.0,949.0
LSTM,128,15,32,2,1,2023-10-13 01:17:42.411467,2023-10-13 01:17:52.030696,9.619228839874268,0.16032048066457114,0.37580257654190063,0.8419855237007141,avg,0.8167489583796688,0.7297428509961176,0.5164543903627105,0.4848277926303079,0.05164405447331932,0.7893156765042242,,,,,
LSTM,128,30,32,2,1,2023-10-13 01:17:52.878402,2023-10-13 01:18:02.890318,10.011915922164917,0.1668652653694153,0.3567042350769043,0.8503571152687073,awake,0.8156517355396409,0.821434251482494,0.988264343832858,0.8971595420857595,0.07629023006915558,0.7839168541809971,0.0,1557.0,23578.0,1288.0,108463.0
LSTM,128,30,32,2,1,2023-10-13 01:17:52.878402,2023-10-13 01:18:02.890318,10.011915922164917,0.1668652653694153,0.3567042350769043,0.8503571152687073,asleep,0.8156517355396409,0.5472759226713533,0.06194549433061468,0.11129378127233737,0.07629023006915558,0.7839168433058816,0.0,108463.0,1288.0,23578.0,1557.0
LSTM,128,30,32,2,1,2023-10-13 01:17:52.878402,2023-10-13 01:18:02.890318,10.011915922164917,0.1668652653694153,0.3567042350769043,0.8503571152687073,avg,0.8156517355396409,0.6843550870769237,0.5251049190817363,0.5042266616790485,0.07629023006915558,0.7839168487434394,,,,,
LSTM,128,50,32,2,1,2023-10-13 01:18:03.743696,2023-10-13 01:18:13.445820,9.702124118804932,0.16170206864674885,0.343822717666626,0.8563136458396912,awake,0.8216049108135759,0.8397243763578984,0.9649205929786516,0.8979797765671041,0.21459781945001666,0.7825858003975461,0.0,4922.0,20213.0,3850.0,105901.0
