NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,5,32,4,1,2023-09-23 03:20:43.174082,2023-09-23 03:27:06.469001,383.29491901397705,6.388248650232951,awake,0.8136546958868361,0.8136546958868361,1.0,0.8972542543319993,0.0,0.7840090279024172,0.0,0.0,25135.0,0.0,109749.0
LSTM,128,5,32,4,1,2023-09-23 03:20:43.174082,2023-09-23 03:27:06.469001,383.29491901397705,6.388248650232951,asleep,0.8136546958868361,0.0,0.0,0.0,0.0,0.7840090215584842,0.0,109749.0,0.0,25135.0,0.0
LSTM,128,5,32,4,1,2023-09-23 03:20:43.174082,2023-09-23 03:27:06.469001,383.29491901397705,6.388248650232951,avg,0.8136546958868361,0.40682734794341807,0.5,0.4486271271659997,0.0,0.7840090247304508,,,,,
LSTM,128,15,32,4,1,2023-09-23 03:27:07.695087,2023-09-23 03:45:48.243703,1120.5486159324646,18.675810265541077,awake,0.813120903887785,0.8139324173783884,0.9986059098488369,0.8968612801198041,0.002958271407942581,0.7793379934813841,0.0,81.0,25054.0,153.0,109596.0
LSTM,128,15,32,4,1,2023-09-23 03:27:07.695087,2023-09-23 03:45:48.243703,1120.5486159324646,18.675810265541077,asleep,0.813120903887785,0.34615384615384615,0.003222597970956833,0.006385746383381293,0.002958271407942581,0.7793379884062377,0.0,109596.0,153.0,25054.0,81.0
LSTM,128,15,32,4,1,2023-09-23 03:27:07.695087,2023-09-23 03:45:48.243703,1120.5486159324646,18.675810265541077,avg,0.813120903887785,0.5800431317661172,0.5009142539098969,0.4516235132515927,0.002958271407942581,0.779337990943811,,,,,
LSTM,128,30,32,4,1,2023-09-23 03:45:49.405976,2023-09-23 04:22:59.704241,2230.298264980316,37.17163774967194,awake,0.8212241629844904,0.8284583342922238,0.9840363010141322,0.8995701934129642,0.13797217545782892,0.7944412303965243,0.0,2773.0,22362.0,1752.0,107997.0
LSTM,128,30,32,4,1,2023-09-23 03:45:49.405976,2023-09-23 04:22:59.704241,2230.298264980316,37.17163774967194,asleep,0.8212241629844904,0.612817679558011,0.11032424905510245,0.18698583951449765,0.13797217545782892,0.794441235652926,0.0,107997.0,1752.0,22362.0,2773.0
LSTM,128,30,32,4,1,2023-09-23 03:45:49.405976,2023-09-23 04:22:59.704241,2230.298264980316,37.17163774967194,avg,0.8212241629844904,0.7206380069251175,0.5471802750346173,0.543278016463731,0.13797217545782892,0.7944412330247251,,,,,
LSTM,128,50,32,4,1,2023-09-23 04:23:00.884689,2023-09-23 05:25:11.295954,3730.411264896393,62.173521081606545,awake,0.8094881527831321,0.8161846579794758,0.9884736990769848,0.894105041930233,0.025504607151710768,0.7808711435500935,0.0,703.0,24432.0,1265.0,108484.0
