NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,train_accuracy,train_loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,5,32,2,1,2023-10-12 22:18:57.068081,2023-10-12 22:19:18.131869,21.063788175582886,0.35106313625971475,0.3958422839641571,0.8310983180999756,awake,0.81711964177157,0.8170409068212814,0.9989248389536314,0.8988742856674345,0.0355021231799475,0.7671422877295762,0.0,585.0,24550.0,118.0,109633.0
LSTM,128,5,32,2,1,2023-10-12 22:18:57.068081,2023-10-12 22:19:18.131869,21.063788175582886,0.35106313625971475,0.3958422839641571,0.8310983180999756,asleep,0.81711964177157,0.8321479374110953,0.023274318679132683,0.0452821425806951,0.0355021231799475,0.7671422895420954,0.0,109633.0,118.0,24550.0,585.0
LSTM,128,5,32,2,1,2023-10-12 22:18:57.068081,2023-10-12 22:19:18.131869,21.063788175582886,0.35106313625971475,0.3958422839641571,0.8310983180999756,avg,0.81711964177157,0.8245944221161883,0.511099578816382,0.4720782141240648,0.0355021231799475,0.7671422886358358,,,,,
LSTM,128,15,32,2,1,2023-10-12 22:19:18.995156,2023-10-12 22:19:28.606732,9.611575841903687,0.16019293069839477,0.3692670464515686,0.8461651802062988,awake,0.8210785403970761,0.8290000537977359,0.9828338693952675,0.8993863291476979,0.1419530138110784,0.7978733011957115,0.0,2885.0,22250.0,1884.0,107867.0
LSTM,128,15,32,2,1,2023-10-12 22:19:18.995156,2023-10-12 22:19:28.606732,9.611575841903687,0.16019293069839477,0.3692670464515686,0.8461651802062988,asleep,0.8210785403970761,0.6049486265464458,0.11478018699025264,0.19295077581594436,0.1419530138110784,0.797873307358277,0.0,107867.0,1884.0,22250.0,2885.0
LSTM,128,15,32,2,1,2023-10-12 22:19:18.995156,2023-10-12 22:19:28.606732,9.611575841903687,0.16019293069839477,0.3692670464515686,0.8461651802062988,avg,0.8210785403970761,0.7169743401720908,0.5488070281927601,0.5461685524818212,0.1419530138110784,0.7978733042769943,,,,,
LSTM,128,30,32,2,1,2023-10-12 22:19:29.464454,2023-10-12 22:19:39.419814,9.955360174179077,0.1659226695696513,0.34728068113327026,0.8571112751960754,awake,0.820203727592189,0.8390153768071119,0.9639912164809432,0.8971719313122749,0.2086720093746921,0.7978225044373508,0.0,4835.0,20300.0,3952.0,105799.0
LSTM,128,30,32,2,1,2023-10-12 22:19:29.464454,2023-10-12 22:19:39.419814,9.955360174179077,0.1659226695696513,0.34728068113327026,0.8571112751960754,asleep,0.820203727592189,0.5502446796403778,0.19236124925402825,0.28506573904840515,0.2086720093746921,0.7978225028060835,0.0,105799.0,3952.0,20300.0,4835.0
LSTM,128,30,32,2,1,2023-10-12 22:19:29.464454,2023-10-12 22:19:39.419814,9.955360174179077,0.1659226695696513,0.34728068113327026,0.8571112751960754,avg,0.820203727592189,0.6946300282237449,0.5781762328674858,0.59111883518034,0.2086720093746921,0.7978225036217171,,,,,
LSTM,128,50,32,2,1,2023-10-12 22:19:40.296906,2023-10-12 22:19:50.393042,10.096136093139648,0.1682689348856608,0.3323143422603607,0.8643171191215515,awake,0.8192102961018934,0.8341802181282932,0.9707793095279315,0.8973108635050574,0.1769399195926903,0.7921131401996313,0.0,3956.0,21179.0,3207.0,106544.0
LSTM,128,50,32,2,1,2023-10-12 22:19:40.296906,2023-10-12 22:19:50.393042,10.096136093139648,0.1682689348856608,0.3323143422603607,0.8643171191215515,asleep,0.8192102961018934,0.5522825631718554,0.1573900934951263,0.24496872871385222,0.1769399195926903,0.79211318714388,0.0,106544.0,3207.0,21179.0,3956.0
LSTM,128,50,32,2,1,2023-10-12 22:19:40.296906,2023-10-12 22:19:50.393042,10.096136093139648,0.1682689348856608,0.3323143422603607,0.8643171191215515,avg,0.8192102961018934,0.6932313906500743,0.5640847015115289,0.5711397961094549,0.1769399195926903,0.7921131636717557,,,,,
LSTM,128,80,32,2,1,2023-10-12 22:19:51.266259,2023-10-12 22:20:00.994274,9.728014945983887,0.16213358243306478,0.3220249116420746,0.8690833449363708,awake,0.8218421481843927,0.839878195774916,0.9650208198558555,0.8981111275995844,0.2158028465063222,0.8013784627620737,0.0,4943.0,20192.0,3839.0,105912.0
LSTM,128,80,32,2,1,2023-10-12 22:19:51.266259,2023-10-12 22:20:00.994274,9.728014945983887,0.16213358243306478,0.3220249116420746,0.8690833449363708,asleep,0.8218421481843927,0.562855841493965,0.19665804654863736,0.2914762508476575,0.2158028465063222,0.8013785184064148,0.0,105912.0,3839.0,20192.0,4943.0
LSTM,128,80,32,2,1,2023-10-12 22:19:51.266259,2023-10-12 22:20:00.994274,9.728014945983887,0.16213358243306478,0.3220249116420746,0.8690833449363708,avg,0.8218421481843927,0.7013670186344405,0.5808394332022464,0.594793689223621,0.2158028465063222,0.8013784905842443,,,,,
LSTM,128,100,32,2,1,2023-10-12 22:20:01.868173,2023-10-12 22:20:12.176586,10.308413028717041,0.1718068838119507,0.31426870822906494,0.8699545860290527,awake,0.8085642690864878,0.8335784294242494,0.9554810434529071,0.8903766471946746,0.16255207450767228,0.7645833116019827,0.0,4199.0,20936.0,4886.0,104865.0
LSTM,128,100,32,2,1,2023-10-12 22:20:01.868173,2023-10-12 22:20:12.176586,10.308413028717041,0.1718068838119507,0.31426870822906494,0.8699545860290527,asleep,0.8085642690864878,0.46219042377545405,0.16705788740799682,0.24541203974284048,0.16255207450767228,0.7645832430887548,0.0,104865.0,4886.0,20936.0,4199.0
LSTM,128,100,32,2,1,2023-10-12 22:20:01.868173,2023-10-12 22:20:12.176586,10.308413028717041,0.1718068838119507,0.31426870822906494,0.8699545860290527,avg,0.8085642690864878,0.6478844265998518,0.561269465430452,0.5678943434687576,0.16255207450767228,0.7645832773453687,,,,,
LSTM,128,120,32,2,1,2023-10-12 22:20:13.062770,2023-10-12 22:20:23.107688,10.044918060302734,0.16741530100504556,0.31757432222366333,0.870357096195221,awake,0.8160298325993802,0.8394724220623501,0.9568751081994697,0.8943372606461119,0.2065269443090827,0.7643975256596403,0.0,5053.0,20082.0,4733.0,105018.0
LSTM,128,120,32,2,1,2023-10-12 22:20:13.062770,2023-10-12 22:20:23.107688,10.044918060302734,0.16741530100504556,0.31757432222366333,0.870357096195221,asleep,0.8160298325993802,0.5163498875945228,0.201034414163517,0.2893960654047708,0.2065269443090827,0.7643975871040429,0.0,105018.0,4733.0,20082.0,5053.0
LSTM,128,120,32,2,1,2023-10-12 22:20:13.062770,2023-10-12 22:20:23.107688,10.044918060302734,0.16741530100504556,0.31757432222366333,0.870357096195221,avg,0.8160298325993802,0.6779111548284364,0.5789547611814934,0.5918666630254413,0.2065269443090827,0.7643975563818416,,,,,
LSTM,128,150,32,2,1,2023-10-12 22:20:23.966850,2023-10-12 22:20:33.669739,9.70288896560669,0.16171481609344482,0.3208043873310089,0.8644030094146729,awake,0.8162596563023591,0.831853084307798,0.9703146212790772,0.8957648147369306,0.15823141968878396,0.7718865548838796,0.0,3609.0,21526.0,3258.0,106493.0
LSTM,128,150,32,2,1,2023-10-12 22:20:23.966850,2023-10-12 22:20:33.669739,9.70288896560669,0.16171481609344482,0.3208043873310089,0.8644030094146729,asleep,0.8162596563023591,0.5255570117955439,0.1435846429281878,0.22554840322479847,0.15823141968878396,0.7718863990072238,0.0,106493.0,3258.0,21526.0,3609.0
LSTM,128,150,32,2,1,2023-10-12 22:20:23.966850,2023-10-12 22:20:33.669739,9.70288896560669,0.16171481609344482,0.3208043873310089,0.8644030094146729,avg,0.8162596563023591,0.678705048051671,0.5569496321036325,0.5606566089808646,0.15823141968878396,0.7718864769455517,,,,,
LSTM,128,200,32,2,1,2023-10-12 22:20:34.510766,2023-10-12 22:20:44.274508,9.763741970062256,0.16272903283437093,0.29199764132499695,0.8786795735359192,awake,0.8215900834778999,0.8487253369798788,0.950068792083899,0.8965422364761163,0.26365290765154703,0.7821546975867179,0.0,6550.0,18585.0,5480.0,104271.0
LSTM,128,200,32,2,1,2023-10-12 22:20:34.510766,2023-10-12 22:20:44.274508,9.763741970062256,0.16272903283437093,0.29199764132499695,0.8786795735359192,asleep,0.8215900834778999,0.544472152950956,0.2605927988860155,0.35248217408852417,0.26365290765154703,0.7821538549465165,0.0,104271.0,5480.0,18585.0,6550.0
LSTM,128,200,32,2,1,2023-10-12 22:20:34.510766,2023-10-12 22:20:44.274508,9.763741970062256,0.16272903283437093,0.29199764132499695,0.8786795735359192,avg,0.8215900834778999,0.6965987449654174,0.6053307954849573,0.6245122052823202,0.26365290765154703,0.7821542762666172,,,,,
