NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,5,32,4,1,2023-09-24 22:16:37.048984,2023-09-24 22:23:00.650875,383.601891040802,6.393364850680033,awake,0.8165386554372646,0.8169364881693649,0.9982049950341233,0.8985195817100677,0.0343470287807951,0.7780617643612682,0.0,586.0,24549.0,197.0,109552.0
LSTM,128,5,32,4,1,2023-09-24 22:16:37.048984,2023-09-24 22:23:00.650875,383.601891040802,6.393364850680033,asleep,0.8165386554372646,0.7484035759897829,0.023314103839267953,0.045219538544640794,0.0343470287807951,0.7780617701614354,0.0,109552.0,197.0,24549.0,586.0
LSTM,128,5,32,4,1,2023-09-24 22:16:37.048984,2023-09-24 22:23:00.650875,383.601891040802,6.393364850680033,avg,0.8165386554372646,0.7826700320795739,0.5107595494366957,0.47186956012735426,0.0343470287807951,0.7780617672613518,,,,,
LSTM,128,15,32,4,1,2023-09-24 22:23:01.806388,2023-09-24 22:41:49.310011,1127.503623008728,18.791727050145468,awake,0.8148112452181133,0.8151957284787911,0.9988337023571969,0.8977196883150916,0.016321194852539467,0.8077911579360311,0.0,284.0,24851.0,128.0,109621.0
LSTM,128,15,32,4,1,2023-09-24 22:23:01.806388,2023-09-24 22:41:49.310011,1127.503623008728,18.791727050145468,asleep,0.8148112452181133,0.6893203883495146,0.01129898547841655,0.02223353035581477,0.016321194852539467,0.8077911651862401,0.0,109621.0,128.0,24851.0,284.0
LSTM,128,15,32,4,1,2023-09-24 22:23:01.806388,2023-09-24 22:41:49.310011,1127.503623008728,18.791727050145468,avg,0.8148112452181133,0.7522580584141528,0.5050663439178067,0.4599766093354532,0.016321194852539467,0.8077911615611355,,,,,
LSTM,128,30,32,4,1,2023-09-24 22:41:50.486769,2023-09-24 23:19:27.842428,2257.355659008026,37.62259431680044,awake,0.8216245069837786,0.8287259753711589,0.9841729765191483,0.8997850752236717,0.14036522558549314,0.7942799948080528,0.0,2812.0,22323.0,1737.0,108012.0
LSTM,128,30,32,4,1,2023-09-24 22:41:50.486769,2023-09-24 23:19:27.842428,2257.355659008026,37.62259431680044,asleep,0.8216245069837786,0.6181578368872279,0.11187587030037796,0.1894623366123164,0.14036522558549314,0.794279998251902,0.0,108012.0,1737.0,22323.0,2812.0
LSTM,128,30,32,4,1,2023-09-24 22:41:50.486769,2023-09-24 23:19:27.842428,2257.355659008026,37.62259431680044,avg,0.8216245069837786,0.7234419061291935,0.5480244234097631,0.544623705917994,0.14036522558549314,0.7942799965299774,,,,,
LSTM,128,50,32,4,1,2023-09-24 23:19:29.028617,2023-09-25 00:22:10.235775,3761.207158088684,62.68678596814473,awake,0.8147667625515258,0.8218266865109498,0.9861411037913785,0.8965171615425714,0.07931392958644212,0.7959838534072384,0.0,1671.0,23464.0,1521.0,108228.0
LSTM,128,50,32,4,1,2023-09-24 23:19:29.028617,2023-09-25 00:22:10.235775,3761.207158088684,62.68678596814473,asleep,0.8147667625515258,0.5234962406015038,0.06648100258603541,0.11797931302291101,0.07931392958644212,0.795983856307322,0.0,108228.0,1521.0,23464.0,1671.0
LSTM,128,50,32,4,1,2023-09-24 23:19:29.028617,2023-09-25 00:22:10.235775,3761.207158088684,62.68678596814473,avg,0.8147667625515258,0.6726614635562268,0.526311053188707,0.5072482372827413,0.07931392958644212,0.7959838548572802,,,,,
LSTM,128,80,32,4,1,2023-09-25 00:22:11.409708,2023-09-25 02:02:48.477249,6037.067540884018,100.61779234806697,awake,0.8196746834316895,0.8282888062225229,0.9819406099372204,0.8985937454399914,0.13536758880843835,0.7630330802591645,0.0,2794.0,22341.0,1982.0,107767.0
LSTM,128,80,32,4,1,2023-09-25 00:22:11.409708,2023-09-25 02:02:48.477249,6037.067540884018,100.61779234806697,asleep,0.8196746834316895,0.5850083752093802,0.1111597374179431,0.18682090200929422,0.13536758880843835,0.763033063946194,0.0,107767.0,1982.0,22341.0,2794.0
LSTM,128,80,32,4,1,2023-09-25 00:22:11.409708,2023-09-25 02:02:48.477249,6037.067540884018,100.61779234806697,avg,0.8196746834316895,0.7066485907159515,0.5465501736775817,0.5427073237246428,0.13536758880843835,0.7630330721026792,,,,,
LSTM,128,100,32,4,1,2023-09-25 02:02:49.693900,2023-09-25 04:08:34.174443,7544.480542898178,125.7413423816363,awake,0.8230701936478753,0.8275564844620055,0.9885374809793256,0.9009121973701146,0.13249706424570407,0.7917164533543666,0.0,2528.0,22607.0,1258.0,108491.0
