activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.25,0.0,1.4770124e-05,0.89533734,0.8271603,0.0,1.0,0.0,0.8333333333333334,0.1911049339819319,asleep
0.25,0.0,1.5091214e-05,0.8950397,0.8271603,0.0,1.0,0.0,0.8333333333333334,0.1931897150799166,asleep
0.5,0.0,0.0,0.0,0.79356796,1.0,0.0,0.0,0.8333333333333334,0.1223071577484364,awake
0.25,0.0,2.2476274e-06,0.90376985,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1341209173036831,asleep
0.25,0.0,2.5687173e-06,0.9034722,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1341209173036831,asleep
0.25,0.0,2.8898069e-06,0.9031746,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1362056984016678,asleep
0.25,0.0,3.531986e-06,0.9027778,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1389854065323141,asleep
0.25,0.0,3.8530757e-06,0.9027778,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1410701876302988,asleep
0.25,0.0,3.8530757e-06,0.9024802,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1410701876302988,asleep
0.25,0.0,4.1741655e-06,0.9024802,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1424600416956219,asleep
0.25,0.0,4.495255e-06,0.9022817,0.7978123,1.0,1.0,0.0,0.8333333333333334,0.1431549687282835,asleep
0.25,0.0,4.8163447e-06,0.9021825,0.7978123,1.0,1.0,0.0,0.8333333333333334,0.1452397498262682,asleep
0.25,0.0,4.8163447e-06,0.90188485,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1452397498262682,asleep
0.25,0.0,5.458524e-06,0.90178573,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1480194579569145,asleep
0.25,0.0,5.458524e-06,0.90148807,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1480194579569145,asleep
0.25,0.0,5.7796137e-06,0.90148807,0.8197394,1.0,1.0,0.0,0.8333333333333334,0.1501042390548992,asleep
0.25,0.0,6.421793e-06,0.9008929,0.8271603,1.0,1.0,0.0,0.8333333333333334,0.1521890201528839,asleep
0.25,0.0,6.421793e-06,0.9007937,0.7597826,1.0,1.0,0.0,0.8333333333333334,0.1528839471855455,asleep
0.25,0.0,7.063972e-06,0.90049607,0.7597826,1.0,1.0,0.0,0.8333333333333334,0.1549687282835302,asleep
0.25,0.0,7.063972e-06,0.9003968,0.81328523,1.0,1.0,0.0,0.8333333333333334,0.1556636553161918,asleep
0.25,0.0,7.385062e-06,0.9001984,0.81328523,1.0,1.0,0.0,0.8333333333333334,0.1570535093815149,asleep
0.25,0.0,7.385062e-06,0.9001984,0.81328523,1.0,1.0,0.0,0.8333333333333334,0.1570535093815149,asleep
0.5,0.0,7.385062e-06,0.9000993,0.5188569,1.0,1.0,0.0,0.8333333333333334,0.1577484364141765,asleep
0.25,0.0,7.706151e-06,0.9,0.5188569,0.0,1.0,0.0,0.8333333333333334,0.158443363446838,asleep
0.25,0.0,7.706151e-06,0.9,0.5188569,0.0,1.0,0.0,0.8333333333333334,0.158443363446838,asleep
0.25,0.0,7.706151e-06,0.9,0.8271603,0.0,1.0,0.0,0.8333333333333334,0.158443363446838,asleep
0.25,0.0,7.706151e-06,0.9,0.8271603,0.0,1.0,0.0,0.8333333333333334,0.158443363446838,asleep
0.25,0.0,8.348331e-06,0.8996032,0.8271603,0.0,1.0,0.0,0.8333333333333334,0.1612230715774843,asleep
0.25,0.0,8.348331e-06,0.8996032,0.8271603,0.0,1.0,0.0,0.8333333333333334,0.1612230715774843,asleep
0.25,0.0,8.99051e-06,0.89920634,0.8197394,0.0,1.0,0.0,0.8333333333333334,0.1640027797081306,asleep
0.25,0.0,8.99051e-06,0.89920634,0.8197394,0.0,1.0,0.0,0.8333333333333334,0.1640027797081306,asleep
0.25,0.0,9.632689e-06,0.89871025,0.8197394,0.0,1.0,0.0,0.8333333333333334,0.1674774148714385,asleep
0.25,0.0,9.632689e-06,0.89871025,0.8197394,0.0,1.0,0.0,0.8333333333333334,0.1674774148714385,asleep
0.25,0.0,9.632689e-06,0.89871025,0.7978123,0.0,1.0,0.0,0.8333333333333334,0.1674774148714385,asleep
