activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class,outside_range
Unknown,Other,0,False,1526308977,0.0,0,0,locked,0,Monday,942,2018-05-14 15:42:57+00:00,awake,0
Exercise,Other,0,False,1526309195,592140000.0,19600,0,locked,4,Monday,946,2018-05-14 15:46:35+00:00,awake,0
Exercise,Other,0,False,1526309225,592080000.0,32767,8,not locked,9078,Monday,947,2018-05-14 15:47:05+00:00,awake,0
Unknown,Other,0,False,1526309576,591780000.0,32767,0,locked,0,Monday,952,2018-05-14 15:52:56+00:00,awake,0
Exercise,Other,0,False,1526310001,591300000.0,32767,0,locked,0,Monday,960,2018-05-14 16:00:01+00:00,awake,0
Exercise,Other,0,False,1526310360,590940000.0,32767,0,locked,0,Monday,966,2018-05-14 16:06:00+00:00,awake,0
Exercise,Other,0,False,1526310390,590940000.0,32767,0,locked,0,Monday,966,2018-05-14 16:06:30+00:00,awake,0
Exercise,Other,0,False,1526310662,590640000.0,32767,0,locked,0,Monday,971,2018-05-14 16:11:02+00:00,awake,0
Still,Other,0,False,1526310692,590640000.0,12640,0,locked,0,Monday,971,2018-05-14 16:11:32+00:00,awake,0
Unknown,Other,0,False,1526310907,590400000.0,18480,8,not locked,91,Monday,975,2018-05-14 16:15:07+00:00,awake,0
Exercise,Other,0,False,1526310967,590340000.0,32767,0,locked,0,Monday,976,2018-05-14 16:16:07+00:00,awake,0
Exercise,Other,0,False,1526311034,590280000.0,32767,0,locked,0,Monday,977,2018-05-14 16:17:14+00:00,awake,0
Exercise,Other,0,False,1526311067,590280000.0,32767,0,locked,0,Monday,977,2018-05-14 16:17:47+00:00,awake,0
Exercise,Other,0,False,1526311217,590100000.0,30970,8,not locked,87,Monday,980,2018-05-14 16:20:17+00:00,awake,0
Unknown,Other,0,False,1526311277,590040000.0,25754,8,not locked,14,Monday,981,2018-05-14 16:21:17+00:00,awake,0
Exercise,Other,0,False,1526311307,590040000.0,25754,8,not locked,58,Monday,981,2018-05-14 16:21:47+00:00,awake,0
Unknown,Other,0,False,1526311337,589980000.0,10171,8,not locked,14,Monday,982,2018-05-14 16:22:17+00:00,awake,0
Unknown,Other,0,False,1526650290,593040000.0,0,0,not locked,2,Friday,871,2018-05-18 14:31:30+00:00,awake,0
Unknown,House,0,False,1526650320,592980000.0,18960,0,not locked,2,Friday,872,2018-05-18 14:32:00+00:00,awake,0
Unknown,House,0,False,1526650350,592980000.0,18960,0,not locked,3,Friday,872,2018-05-18 14:32:30+00:00,awake,0
Still,House,0,False,1526652933,590400000.0,11083,8,not locked,74,Friday,915,2018-05-18 15:15:33+00:00,awake,0
Still,House,0,False,1526653054,590280000.0,13268,8,not locked,18,Friday,917,2018-05-18 15:17:34+00:00,awake,0
Still,House,0,False,1526653144,590160000.0,0,0,not locked,2,Friday,919,2018-05-18 15:19:04+00:00,awake,0
Still,House,0,False,1526653174,590160000.0,0,0,not locked,1,Friday,919,2018-05-18 15:19:34+00:00,awake,0
Unknown,House,0,False,1526650440,592860000.0,6836,0,not locked,4,Friday,874,2018-05-18 14:34:00+00:00,awake,0
Still,House,0,False,1526650500,592800000.0,6824,0,not locked,2,Friday,875,2018-05-18 14:35:00+00:00,awake,0
