activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21681723419041002,2018-05-15 05:12:33+00:00,asleep
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21681723419041002,2018-05-15 05:12:33+00:00,asleep
0.25,0.0,3.2116574e-07,0.0,0.6633586,0.0,0.0,0.0,0.0,0.21751216122307157,2018-05-15 05:13:03+00:00,asleep
0.25,0.0,3.2116574e-07,0.0,0.6633586,0.0,0.0,0.0,0.0,0.21751216122307157,2018-05-15 05:13:33+00:00,asleep
0.25,0.0,3.2116574e-07,0.0,0.5442787,0.0,0.0,0.0,0.0,0.21820708825573315,2018-05-15 05:14:03+00:00,asleep
0.25,0.0,3.2116574e-07,0.0,0.5442787,0.0,0.0,0.0,0.0,0.21820708825573315,2018-05-15 05:14:33+00:00,asleep
0.25,0.0,6.423315e-07,0.0,0.51885206,0.0,1.0,0.0,0.0,0.21890201528839473,2018-05-15 05:15:03+00:00,asleep
0.0,0.0,6.423315e-07,0.0,0.51885206,0.0,0.0,0.0,0.0,0.21890201528839473,2018-05-15 05:15:33+00:00,asleep
0.25,0.0,6.423315e-07,0.0,0.6666521,0.0,0.0,0.0,0.0,0.21959694232105628,2018-05-15 05:16:03+00:00,asleep
0.25,0.0,6.423315e-07,0.0,0.6666521,0.0,0.0,0.0,0.0,0.21959694232105628,2018-05-15 05:16:33+00:00,asleep
0.25,0.0,9.634973e-07,0.0,0.5190804,0.0,0.0,0.0,0.0,0.22098679638637944,2018-05-15 05:18:04+00:00,asleep
0.0,0.0,9.634973e-07,0.02797619,0.0,0.0,0.0,0.0,0.0,0.22098679638637944,2018-05-15 05:18:38+00:00,asleep
0.25,0.0,9.634973e-07,0.027876984,0.69341034,0.0,0.0,0.0,0.0,0.221681723419041,2018-05-15 05:19:08+00:00,asleep
0.25,0.0,1.284663e-06,0.027876984,0.69341034,0.0,0.0,0.0,0.0,0.221681723419041,2018-05-15 05:19:38+00:00,asleep
0.25,0.0,1.284663e-06,0.027777778,0.51907235,0.0,1.0,0.0,0.0,0.22237665045170257,2018-05-15 05:20:45+00:00,asleep
0.25,0.0,1.6058287e-06,0.027678574,0.60593367,0.0,1.0,0.0,0.0,0.22307157748436415,2018-05-15 05:21:46+00:00,asleep
0.25,0.0,1.6058287e-06,0.027678574,0.7469684,0.0,1.0,0.0,0.0,0.2237665045170257,2018-05-15 05:22:16+00:00,asleep
0.25,0.0,1.6058287e-06,0.027579367,0.7469684,0.0,1.0,0.0,0.0,0.2237665045170257,2018-05-15 05:22:46+00:00,asleep
0.25,0.0,1.6058287e-06,0.027579367,0.7537774,0.0,1.0,0.0,0.0,0.22446143154968728,2018-05-15 05:23:16+00:00,asleep
0.25,0.0,1.9269946e-06,0.02748016,0.7537774,0.0,1.0,0.0,0.0,0.22446143154968728,2018-05-15 05:23:46+00:00,asleep
0.25,0.0,1.9269946e-06,0.02748016,0.7541436,0.0,1.0,0.0,0.0,0.22515635858234886,2018-05-15 05:24:16+00:00,asleep
0.25,0.0,1.9269946e-06,0.027380954,0.7541436,0.0,1.0,0.0,0.0,0.22515635858234886,2018-05-15 05:24:46+00:00,asleep
0.25,0.0,1.9269946e-06,0.027380954,0.75639975,0.0,1.0,0.0,0.0,0.22585128561501042,2018-05-15 05:25:16+00:00,asleep
0.25,0.0,2.2481602e-06,0.027281748,0.75639975,0.0,1.0,0.0,0.0,0.22585128561501042,2018-05-15 05:25:46+00:00,asleep
0.25,0.0,2.2481602e-06,0.027281748,0.73013383,0.0,1.0,0.0,0.0,0.226546212647672,2018-05-15 05:26:17+00:00,asleep
0.25,0.0,2.2481602e-06,0.027182542,0.73013383,0.0,1.0,0.0,0.0,0.226546212647672,2018-05-15 05:26:47+00:00,asleep
0.25,0.0,2.2481602e-06,0.027182542,0.7512865,0.0,1.0,0.0,0.0,0.22724113968033358,2018-05-15 05:27:17+00:00,asleep
0.25,0.0,2.569326e-06,0.027083335,0.7512865,0.0,1.0,0.0,0.0,0.22724113968033358,2018-05-15 05:27:47+00:00,asleep
