activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.21047667,0.0,0.0,1.0,0.0,0.0,1.0,0.857539958304378,awake
0.0,0.0,0.21047667,0.0,0.0,1.0,0.0,0.0,1.0,0.857539958304378,awake
1.0,0.5,0.21047667,0.0,0.5387351,1.0,0.0,0.0,1.0,0.8582348853370396,awake
0.25,0.5,0.21047667,0.0,0.5347998,1.0,0.0,0.0,1.0,0.8589298123697012,awake
0.75,0.5,0.21047692,0.0,0.5192451,0.0,1.0,0.0,1.0,0.8596247394023627,awake
0.75,0.5,0.21047692,0.0,0.5192451,0.0,1.0,0.0,1.0,0.8596247394023627,awake
0.75,0.5,0.21047692,0.0,0.5418001,0.0,1.0,0.0,1.0,0.8603196664350243,awake
0.75,0.5,0.21047692,0.0,0.5418001,0.0,1.0,0.0,1.0,0.8603196664350243,awake
0.25,0.5,0.21047717,0.0,0.58571863,0.0,1.0,0.0,1.0,0.8610145934676859,awake
0.25,0.5,0.21047717,0.0,0.5207957,0.0,1.0,0.0,1.0,0.8617095205003474,awake
0.75,0.5,0.21047743,0.0,0.5207957,0.0,1.0,0.0,1.0,0.8617095205003474,awake
0.75,0.5,0.21047743,0.0,0.51962334,0.0,1.0,0.0,1.0,0.862404447533009,awake
0.75,0.5,0.21047743,0.0,0.51962334,0.0,1.0,0.0,1.0,0.862404447533009,awake
0.75,0.5,0.21047743,0.0,0.523727,0.0,1.0,0.0,1.0,0.8630993745656707,awake
0.75,0.5,0.21047768,0.0,0.523727,0.0,1.0,0.0,1.0,0.8630993745656707,awake
0.75,0.5,0.21047768,0.0,0.5164163,0.0,1.0,0.0,1.0,0.8637943015983321,awake
0.75,0.5,0.21047768,0.0,0.53367114,0.0,1.0,0.0,1.0,0.8644892286309938,awake
0.75,0.0,0.21047793,0.0,0.52003896,0.0,1.0,0.0,1.0,0.8651841556636554,awake
0.75,0.0,0.21047793,0.0,0.51950127,0.0,1.0,0.0,1.0,0.8658790826963169,awake
0.75,0.0,0.21047793,0.0,0.51950127,0.0,1.0,0.0,1.0,0.8658790826963169,awake
0.75,0.0,0.21047819,0.0,0.5196673,0.0,1.0,0.0,1.0,0.8665740097289785,awake
0.75,0.0,0.21047819,0.0,0.5196396,0.0,1.0,0.0,1.0,0.8672689367616401,awake
0.75,0.0,0.21047819,0.0,0.5196396,0.0,1.0,0.0,1.0,0.8672689367616401,awake
0.75,0.0,0.21047844,0.0,0.5218974,0.0,1.0,0.0,1.0,0.8679638637943016,awake
0.75,0.0,0.21047844,0.0,0.5246254,0.0,1.0,0.0,1.0,0.8686587908269632,awake
0.75,0.0,0.2104787,0.0,0.53681135,0.0,1.0,0.0,1.0,0.8693537178596248,awake
0.75,0.0,0.2104787,0.0,0.53681135,0.0,1.0,0.0,1.0,0.8700486448922863,awake
0.75,0.0,0.2104787,0.0,0.5468283,0.0,1.0,0.0,1.0,0.8700486448922863,awake
0.75,0.0,0.21047895,0.0,0.5468283,0.0,1.0,0.0,1.0,0.8707435719249479,awake
0.75,0.0,0.21047895,0.0,0.5194168,0.0,1.0,0.0,1.0,0.8714384989576095,awake
0.75,0.0,0.21047895,0.0,0.516424,0.0,1.0,0.0,1.0,0.872133425990271,awake
0.75,0.0,0.2104792,0.0,0.516424,0.0,1.0,0.0,1.0,0.872133425990271,awake
0.75,0.0,0.2104792,0.0,0.5427258,0.0,1.0,0.0,1.0,0.8728283530229326,awake
0.75,0.0,0.2104792,0.0,0.5427258,0.0,1.0,0.0,1.0,0.8728283530229326,awake
0.75,0.0,0.2104792,0.0,0.52647066,0.0,1.0,0.0,1.0,0.8735232800555942,awake
0.75,0.0,0.2104792,0.0,0.52647066,0.0,1.0,0.0,1.0,0.8735232800555942,awake
0.75,0.0,0.21047945,0.0,0.519386,0.0,1.0,0.0,1.0,0.8742182070882557,awake
0.75,0.0,0.21047945,0.0,0.519386,0.0,1.0,0.0,1.0,0.8742182070882557,awake
0.75,0.0,0.21047945,0.0,0.5404927,0.0,1.0,0.0,1.0,0.8749131341209173,awake
0.75,0.0,0.21047945,0.0,0.5404927,0.0,1.0,0.0,1.0,0.8749131341209173,awake
0.75,0.0,0.2104797,0.0,0.5382584,0.0,1.0,0.0,1.0,0.8756080611535789,awake
0.25,0.0,0.2104797,0.0,0.5382584,0.0,1.0,0.0,1.0,0.8763029881862404,awake
0.25,0.0,0.2104797,0.0,0.54300433,0.0,1.0,0.0,1.0,0.8763029881862404,awake
0.75,0.0,0.21047996,0.0,0.54300433,0.0,1.0,0.0,1.0,0.876997915218902,awake
0.0,0.0,0.21047996,0.0,0.55641454,0.0,1.0,0.0,1.0,0.8776928422515636,awake
0.25,0.0,0.21047996,0.0,0.55641454,0.0,1.0,0.0,1.0,0.8776928422515636,awake
0.25,0.0,0.21047996,0.0,0.53216094,0.0,1.0,0.0,1.0,0.8783877692842251,awake
0.75,0.0,0.21048021,0.0,0.53216094,0.0,1.0,0.0,1.0,0.8783877692842251,awake
0.75,0.0,0.21048021,0.0,0.5386059,0.0,1.0,0.0,1.0,0.8790826963168867,awake
0.75,0.0,0.21048021,0.0,0.5402575,0.0,1.0,0.0,1.0,0.8797776233495483,awake
0.75,0.0,0.21048047,0.0,0.5209494,0.0,1.0,0.0,1.0,0.8804725503822098,awake
0.75,0.0,0.21048047,0.0,0.5209494,0.0,1.0,0.0,1.0,0.8811674774148714,awake
0.75,0.0,0.21048072,0.0,0.5489892,0.0,1.0,0.0,1.0,0.8811674774148714,awake
