activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.25,1.0,0.0,1.6534392e-09,0.61158687,1.0,0.0,0.0,1.0,0.5385684503127172,2018-05-14 12:55:11+00:00,asleep
0.25,1.0,3.211185e-07,1.6534392e-09,0.65239084,1.0,0.0,0.0,1.0,0.5399583043780403,2018-05-14 12:57:41+00:00,asleep
0.25,1.0,6.42237e-07,1.6534392e-09,0.6645229,1.0,0.0,0.0,1.0,0.5406532314107019,2018-05-14 12:58:11+00:00,asleep
0.25,1.0,6.42237e-07,1.6534392e-09,0.6645229,1.0,0.0,0.0,1.0,0.5406532314107019,2018-05-14 12:58:41+00:00,asleep
0.25,1.0,6.42237e-07,1.6534392e-09,0.515992,1.0,0.0,0.0,1.0,0.5413481584433635,2018-05-14 12:59:41+00:00,asleep
0.25,1.0,9.633555e-07,1.6534392e-09,0.6516862,1.0,0.0,0.0,1.0,0.542043085476025,2018-05-14 13:00:11+00:00,awake
0.25,1.0,9.633555e-07,1.6534392e-09,0.6228459,1.0,0.0,0.0,1.0,0.5427380125086866,2018-05-14 13:01:12+00:00,awake
0.25,1.0,9.633555e-07,1.6534392e-09,0.6228459,1.0,0.0,0.0,1.0,0.5427380125086866,2018-05-14 13:01:42+00:00,awake
0.25,1.0,1.284474e-06,1.6534392e-09,0.6532017,1.0,0.0,0.0,1.0,0.5434329395413482,2018-05-14 13:02:12+00:00,awake
0.25,1.0,1.6055926e-06,1.6534392e-09,0.515992,1.0,0.0,0.0,1.0,0.5462126476719944,2018-05-14 13:06:12+00:00,awake
0.0,1.0,1.926711e-06,1.6534392e-09,0.66213465,1.0,0.0,0.0,1.0,0.546907574704656,2018-05-14 13:07:45+00:00,awake
0.25,1.0,2.568948e-06,1.6534392e-09,0.6009429,1.0,0.0,0.0,1.0,0.5496872828353023,2018-05-14 13:11:16+00:00,awake
0.25,1.0,2.568948e-06,1.6534392e-09,0.6009429,1.0,0.0,0.0,1.0,0.5496872828353023,2018-05-14 13:11:46+00:00,awake
0.5,1.0,2.568948e-06,1.6534392e-09,0.5335933,1.0,0.0,0.0,1.0,0.5503822098679638,2018-05-14 13:12:16+00:00,awake
0.25,1.0,2.568948e-06,1.6534392e-09,0.5335933,1.0,0.0,0.0,1.0,0.5503822098679638,2018-05-14 13:12:46+00:00,awake
0.25,1.0,2.8900668e-06,1.6534392e-09,0.6953957,1.0,0.0,0.0,1.0,0.5510771369006254,2018-05-14 13:13:16+00:00,awake
0.25,1.0,2.8900668e-06,1.6534392e-09,0.6953957,1.0,0.0,0.0,1.0,0.5510771369006254,2018-05-14 13:13:46+00:00,awake
0.25,1.0,2.8900668e-06,1.6534392e-09,0.6535395,1.0,0.0,0.0,1.0,0.551772063933287,2018-05-14 13:14:16+00:00,awake
0.25,1.0,2.8900668e-06,1.6534392e-09,0.6535395,1.0,0.0,0.0,1.0,0.551772063933287,2018-05-14 13:14:46+00:00,awake
0.25,1.0,3.2111852e-06,1.6534392e-09,0.69919485,1.0,0.0,0.0,1.0,0.5524669909659485,2018-05-14 13:15:16+00:00,awake
0.25,1.0,3.2111852e-06,1.6534392e-09,0.69919485,1.0,0.0,0.0,1.0,0.5524669909659485,2018-05-14 13:15:46+00:00,awake
0.0,1.0,3.2111852e-06,1.6534392e-09,0.67318,1.0,0.0,0.0,1.0,0.5531619179986101,2018-05-14 13:16:16+00:00,awake
0.25,1.0,3.2111852e-06,1.6534392e-09,0.67318,1.0,0.0,0.0,1.0,0.5531619179986101,2018-05-14 13:16:46+00:00,awake
0.25,1.0,3.5323037e-06,1.6534392e-09,0.67021364,1.0,0.0,0.0,1.0,0.5538568450312717,2018-05-14 13:17:17+00:00,awake
0.25,1.0,3.5323037e-06,1.6534392e-09,0.67021364,1.0,0.0,0.0,1.0,0.5538568450312717,2018-05-14 13:17:47+00:00,awake
0.25,1.0,3.5323037e-06,1.6534392e-09,0.6793364,1.0,0.0,0.0,1.0,0.5545517720639332,2018-05-14 13:18:17+00:00,awake
0.25,1.0,3.5323037e-06,1.6534392e-09,0.6793364,1.0,0.0,0.0,1.0,0.5545517720639332,2018-05-14 13:18:47+00:00,awake
0.25,1.0,3.853422e-06,1.6534392e-09,0.6405003,1.0,0.0,0.0,1.0,0.5552466990965949,2018-05-14 13:19:17+00:00,awake
0.25,1.0,3.853422e-06,1.6534392e-09,0.6405003,1.0,0.0,0.0,1.0,0.5552466990965949,2018-05-14 13:19:47+00:00,awake
