activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.25,1.0,0.0,1.6534392e-09,0.61158687,1.0,0.0,0.0,1.0,0.5385684503127172,asleep
0.25,1.0,3.211185e-07,1.6534392e-09,0.65239084,1.0,0.0,0.0,1.0,0.5399583043780403,asleep
0.25,1.0,6.42237e-07,1.6534392e-09,0.6645229,1.0,0.0,0.0,1.0,0.5406532314107019,asleep
0.25,1.0,6.42237e-07,1.6534392e-09,0.6645229,1.0,0.0,0.0,1.0,0.5406532314107019,asleep
0.25,1.0,6.42237e-07,1.6534392e-09,0.515992,1.0,0.0,0.0,1.0,0.5413481584433635,asleep
0.25,1.0,9.633555e-07,1.6534392e-09,0.6516862,1.0,0.0,0.0,1.0,0.542043085476025,awake
0.25,1.0,9.633555e-07,1.6534392e-09,0.6228459,1.0,0.0,0.0,1.0,0.5427380125086866,awake
0.25,1.0,9.633555e-07,1.6534392e-09,0.6228459,1.0,0.0,0.0,1.0,0.5427380125086866,awake
0.25,1.0,1.284474e-06,1.6534392e-09,0.6532017,1.0,0.0,0.0,1.0,0.5434329395413482,awake
0.25,1.0,1.6055926e-06,1.6534392e-09,0.515992,1.0,0.0,0.0,1.0,0.5462126476719944,awake
0.0,1.0,1.926711e-06,1.6534392e-09,0.66213465,1.0,0.0,0.0,1.0,0.546907574704656,awake
0.25,1.0,2.568948e-06,1.6534392e-09,0.6009429,1.0,0.0,0.0,1.0,0.5496872828353023,awake
0.25,1.0,2.568948e-06,1.6534392e-09,0.6009429,1.0,0.0,0.0,1.0,0.5496872828353023,awake
0.5,1.0,2.568948e-06,1.6534392e-09,0.5335933,1.0,0.0,0.0,1.0,0.5503822098679638,awake
0.25,1.0,2.568948e-06,1.6534392e-09,0.5335933,1.0,0.0,0.0,1.0,0.5503822098679638,awake
0.25,1.0,2.8900668e-06,1.6534392e-09,0.6953957,1.0,0.0,0.0,1.0,0.5510771369006254,awake
0.25,1.0,2.8900668e-06,1.6534392e-09,0.6953957,1.0,0.0,0.0,1.0,0.5510771369006254,awake
0.25,1.0,2.8900668e-06,1.6534392e-09,0.6535395,1.0,0.0,0.0,1.0,0.551772063933287,awake
0.25,1.0,2.8900668e-06,1.6534392e-09,0.6535395,1.0,0.0,0.0,1.0,0.551772063933287,awake
0.25,1.0,3.2111852e-06,1.6534392e-09,0.69919485,1.0,0.0,0.0,1.0,0.5524669909659485,awake
0.25,1.0,3.2111852e-06,1.6534392e-09,0.69919485,1.0,0.0,0.0,1.0,0.5524669909659485,awake
