activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.0,0.0,0.0,1.6534392e-09,0.0,0.0,0.0,0.17358490566037735,0.3333333333333333,0.6212797619047619,2018-05-17 15:30:32+00:00,awake
0.0,0.0,0.0,1.6534392e-09,0.0,0.0,0.0,0.17358490566037735,0.3333333333333333,0.6212797619047619,2018-05-17 15:30:32+00:00,awake
0.0,0.0,0.0,1.6534392e-09,0.0,0.0,0.0,0.7547169811320755,0.3333333333333333,0.6220238095238095,2018-05-17 15:31:12+00:00,awake
0.25,0.5,3.21335e-07,0.9651786,0.54525775,1.0,0.0,0.5245283018867924,0.3333333333333333,0.6220238095238095,2018-05-17 15:31:42+00:00,awake
0.0,0.5,3.21335e-07,0.96507937,0.54525775,1.0,0.0,1.0,0.3333333333333333,0.6227678571428571,2018-05-17 15:32:13+00:00,awake
0.0,0.5,3.21335e-07,0.9649801,0.5294047,1.0,0.0,0.6377358490566037,0.3333333333333333,0.6235119047619048,2018-05-17 15:33:13+00:00,awake
0.0,0.0,3.21335e-07,1.6534392e-09,0.0,0.0,0.0,0.5811320754716981,0.3333333333333333,0.6235119047619048,2018-05-17 15:33:24+00:00,awake
0.75,1.0,6.4267e-07,0.96488094,0.5254688,1.0,0.0,0.9132075471698113,0.3333333333333333,0.6242559523809523,2018-05-17 15:34:24+00:00,awake
0.0,0.0,0.0008071935,1.6534392e-09,0.0,0.0,0.0,0.06792452830188679,1.0,0.3236607142857143,2018-05-21 08:50:09+00:00,awake
0.25,0.0,0.0008075149,0.027777778,0.660604,1.0,0.0,0.052830188679245285,1.0,0.3236607142857143,2018-05-21 08:50:39+00:00,awake
0.25,0.0,0.0008075149,0.027678574,0.660604,1.0,0.0,0.06037735849056604,1.0,0.3244047619047619,2018-05-21 08:51:09+00:00,awake
0.25,1.0,0.004215915,0.0,0.54008496,1.0,0.0,0.0,0.0,0.018601190476190476,2018-06-06 02:00:17+00:00,awake
0.25,1.0,0.004215915,0.0,0.54008496,1.0,0.0,0.0,0.0,0.018601190476190476,2018-06-06 02:00:47+00:00,awake
0.25,1.0,0.0042162365,0.0,0.5692501,1.0,0.0,0.0,0.0,0.019345238095238096,2018-06-06 02:01:17+00:00,awake
0.0,0.0,0.0042162365,0.0,0.0,1.0,0.0,0.0,0.0,0.019345238095238096,2018-06-06 02:01:28+00:00,awake
0.0,0.0,0.0042162365,0.0,0.0,1.0,0.0,0.0,0.0,0.019345238095238096,2018-06-06 02:01:40+00:00,awake
0.0,1.0,0.0042162365,0.0,0.56809425,1.0,0.0,0.0,0.0,0.020089285714285716,2018-06-06 02:02:10+00:00,awake
0.0,0.0,0.004216558,0.0,0.0,1.0,0.0,0.0,0.0,0.020833333333333332,2018-06-06 02:03:02+00:00,awake
0.25,1.0,0.004216558,0.0,0.59998745,1.0,0.0,0.0,0.0,0.020833333333333332,2018-06-06 02:03:32+00:00,awake
0.25,1.0,0.0042172004,0.0,0.6021057,1.0,1.0,0.0,0.0,0.023809523809523808,2018-06-06 02:07:57+00:00,awake
0.25,1.0,0.0042172004,0.0,0.6021057,1.0,1.0,0.0,0.0,0.024553571428571428,2018-06-06 02:08:27+00:00,awake
0.25,1.0,0.0042172004,0.0,0.6248962,1.0,1.0,0.0,0.0,0.024553571428571428,2018-06-06 02:08:57+00:00,awake
0.25,1.0,0.0042175218,0.0,0.6248962,1.0,1.0,0.0,0.0,0.025297619047619048,2018-06-06 02:09:27+00:00,awake
0.25,1.0,0.0042175218,0.0,0.63490796,1.0,1.0,0.0,0.0,0.025297619047619048,2018-06-06 02:09:57+00:00,awake
0.25,1.0,0.0042175218,0.0,0.62510055,1.0,1.0,0.0,0.0,0.026041666666666668,2018-06-06 02:10:57+00:00,awake
0.25,1.0,0.0042175218,0.0,0.62510055,1.0,1.0,0.0,0.0,0.026785714285714284,2018-06-06 02:11:27+00:00,awake
0.25,1.0,0.004217843,0.0,0.6478504,1.0,1.0,0.0,0.0,0.026785714285714284,2018-06-06 02:11:57+00:00,awake
0.25,1.0,0.004217843,0.0,0.6478504,1.0,1.0,0.0,0.0,0.027529761904761904,2018-06-06 02:12:27+00:00,awake
0.25,1.0,0.004217843,0.0,0.66549903,1.0,1.0,0.0,0.0,0.027529761904761904,2018-06-06 02:12:58+00:00,awake
0.25,1.0,0.004218486,0.0,0.6374675,1.0,1.0,0.0,0.0,0.02976190476190476,2018-06-06 02:15:53+00:00,awake
0.0,1.0,0.0042188074,0.0,0.53409463,1.0,0.0,0.0,0.0,0.031994047619047616,2018-06-06 02:18:16+00:00,awake
0.25,1.0,0.0042191288,0.0,0.515992,1.0,1.0,0.0,0.0,0.03422619047619048,2018-06-06 02:21:36+00:00,awake
0.25,1.0,0.00421945,0.0,0.64461243,1.0,1.0,0.0,0.0,0.036458333333333336,2018-06-06 02:24:05+00:00,awake
0.25,1.0,0.004220414,0.0,0.64461243,1.0,1.0,0.0,0.0,0.04017857142857143,2018-06-06 02:29:25+00:00,awake
0.25,1.0,0.0042207353,0.0,0.5767683,1.0,0.0,0.0,0.0,0.041666666666666664,2018-06-06 02:31:29+00:00,awake
0.25,1.0,0.0042207353,0.0,0.644876,1.0,0.0,0.0,0.0,0.041666666666666664,2018-06-06 02:31:59+00:00,awake
0.0,0.0,0.0042123804,0.0,0.56482863,1.0,0.0,0.0,0.0,0.0,2018-06-06 01:35:19+00:00,awake
0.25,0.0,0.0042127017,0.0,0.5867099,1.0,0.0,0.0,0.0,0.001488095238095238,2018-06-06 01:37:27+00:00,awake
0.25,0.0,0.0042127017,0.0,0.5175442,1.0,0.0,0.0,0.0,0.001488095238095238,2018-06-06 01:37:58+00:00,awake
0.25,0.0,0.0042127017,0.0,0.5175442,1.0,0.0,0.0,0.0,0.002232142857142857,2018-06-06 01:38:28+00:00,awake
0.25,0.0,0.0042127017,0.0,0.57398725,1.0,0.0,0.0,0.0,0.002232142857142857,2018-06-06 01:38:58+00:00,awake
0.0,0.0,0.0042127017,0.0,0.57398725,1.0,0.0,0.0,0.0,0.002976190476190476,2018-06-06 01:39:28+00:00,awake
0.0,0.0,0.0042130235,0.0,0.0,1.0,0.0,0.0,0.0,0.002976190476190476,2018-06-06 01:39:36+00:00,awake
0.75,0.0,0.0042130235,0.0,0.5794962,1.0,0.0,0.0,0.0,0.004464285714285714,2018-06-06 01:41:06+00:00,awake
0.25,0.0,0.004213345,0.0,0.6395051,1.0,0.0,0.0,0.0,0.005208333333333333,2018-06-06 01:42:36+00:00,awake
0.25,0.0,0.004213345,0.0,0.57274085,1.0,0.0,0.0,0.0,0.005952380952380952,2018-06-06 01:43:07+00:00,awake
0.25,0.0,0.004213345,0.0,0.57274085,1.0,0.0,0.0,0.0,0.005952380952380952,2018-06-06 01:43:37+00:00,awake
0.25,1.0,0.004213666,0.0,0.5840854,1.0,0.0,0.0,0.0,0.006696428571428571,2018-06-06 01:44:37+00:00,awake
0.0,0.0,0.004213666,0.0,0.0,1.0,0.0,0.0,0.0,0.00744047619047619,2018-06-06 01:45:07+00:00,awake
0.0,0.0,0.004213666,0.0,0.0,1.0,0.0,0.0,0.0,0.00744047619047619,2018-06-06 01:45:45+00:00,awake
0.25,1.0,0.0042139874,0.0,0.6085623,1.0,0.0,0.0,0.0,0.00818452380952381,2018-06-06 01:46:45+00:00,awake
0.0,1.0,0.0042143087,0.0,0.5618105,1.0,0.0,0.0,0.0,0.009672619047619048,2018-06-06 01:48:15+00:00,awake
0.0,1.0,0.0042143087,0.0,0.6178852,1.0,0.0,0.0,0.0,0.010416666666666666,2018-06-06 01:49:45+00:00,awake
0.25,1.0,0.00421463,0.0,0.6169962,1.0,0.0,0.0,0.0,0.011160714285714286,2018-06-06 01:50:15+00:00,awake
0.25,1.0,0.00421463,0.0,0.6169962,1.0,0.0,0.0,0.0,0.011160714285714286,2018-06-06 01:50:45+00:00,awake
0.0,1.0,0.00421463,0.0,0.5404406,1.0,0.0,0.0,0.0,0.011904761904761904,2018-06-06 01:51:52+00:00,awake
0.25,1.0,0.0042149513,0.0,0.515992,1.0,0.0,0.0,0.0,0.012648809523809524,2018-06-06 01:52:22+00:00,awake
0.0,1.0,0.0042149513,0.0,0.515992,1.0,0.0,0.0,0.0,0.012648809523809524,2018-06-06 01:52:52+00:00,awake
0.25,1.0,0.0042149513,0.0,0.59220463,1.0,0.0,0.0,0.0,0.013392857142857142,2018-06-06 01:53:22+00:00,awake
0.0,0.0,0.0042149513,0.0,0.0,1.0,0.0,0.0,0.0,0.013392857142857142,2018-06-06 01:53:46+00:00,awake
0.25,1.0,0.0042149513,0.0,0.54338425,1.0,0.0,0.0,0.0,0.014136904761904762,2018-06-06 01:54:16+00:00,awake
0.25,1.0,0.0042152726,0.0,0.54338425,1.0,0.0,0.0,0.0,0.014136904761904762,2018-06-06 01:54:46+00:00,awake
0.25,1.0,0.0042152726,0.0,0.5241501,1.0,0.0,0.0,0.0,0.01488095238095238,2018-06-06 01:55:16+00:00,awake
0.25,1.0,0.0042152726,0.0,0.5241501,0.0,1.0,0.0,0.0,0.01488095238095238,2018-06-06 01:55:46+00:00,awake
