activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.25,0.0,0.0,0.9388889,0.7036402,1.0,0.0,0.0,1.0,0.8492008339124392,2018-05-14 20:22:26+00:00,awake
0.25,0.0,0.0,0.9388889,0.7036402,1.0,0.0,0.0,1.0,0.8492008339124392,2018-05-14 20:22:56+00:00,awake
0.25,0.0,0.0,0.9387896,0.68011606,1.0,0.0,0.0,1.0,0.8498957609451008,2018-05-14 20:23:26+00:00,awake
0.25,0.0,3.2114016e-07,0.9387896,0.68011606,1.0,0.0,0.0,1.0,0.8498957609451008,2018-05-14 20:23:57+00:00,awake
0.25,0.0,3.2114016e-07,0.9386905,0.67691314,1.0,0.0,0.0,1.0,0.8505906879777624,2018-05-14 20:24:27+00:00,awake
0.25,0.0,3.2114016e-07,0.9386905,0.67691314,1.0,0.0,0.0,1.0,0.8505906879777624,2018-05-14 20:24:57+00:00,awake
0.25,0.0,3.2114016e-07,0.9385913,0.69699675,1.0,0.0,0.0,1.0,0.8512856150104239,2018-05-14 20:25:27+00:00,awake
0.25,0.0,6.422803e-07,0.9385913,0.69699675,1.0,0.0,0.0,1.0,0.8512856150104239,2018-05-14 20:25:57+00:00,awake
0.25,0.0,6.422803e-07,0.93849206,0.69705486,1.0,0.0,0.0,1.0,0.8519805420430855,2018-05-14 20:26:27+00:00,awake
0.25,0.0,6.422803e-07,0.93849206,0.69705486,1.0,0.0,0.0,1.0,0.8519805420430855,2018-05-14 20:26:57+00:00,awake
0.25,1.0,6.422803e-07,0.9383928,0.619128,1.0,0.0,0.0,1.0,0.8526754690757471,2018-05-14 20:27:27+00:00,awake
0.25,1.0,6.422803e-07,0.9383928,0.619128,1.0,0.0,0.0,1.0,0.8526754690757471,2018-05-14 20:27:57+00:00,awake
0.25,1.0,9.634206e-07,0.93829364,0.694173,1.0,0.0,0.0,1.0,0.8533703961084086,2018-05-14 20:28:27+00:00,awake
0.25,1.0,9.634206e-07,0.93829364,0.694173,0.0,0.0,0.0,1.0,0.8533703961084086,2018-05-14 20:28:57+00:00,awake
0.25,1.0,9.634206e-07,0.9381945,0.5398419,1.0,0.0,0.0,1.0,0.8540653231410702,2018-05-14 20:29:27+00:00,awake
0.25,1.0,9.634206e-07,0.9381945,0.5398419,1.0,1.0,0.0,1.0,0.8540653231410702,2018-05-14 20:29:58+00:00,awake
0.25,1.0,1.2845607e-06,0.9380952,0.5864838,1.0,0.0,0.0,1.0,0.8547602501737318,2018-05-14 20:30:28+00:00,awake
0.25,1.0,1.2845607e-06,0.9380952,0.5864838,1.0,0.0,0.0,1.0,0.8547602501737318,2018-05-14 20:30:58+00:00,awake
0.25,1.0,1.2845607e-06,0.937996,0.68702734,1.0,0.0,0.0,1.0,0.8554551772063933,2018-05-14 20:31:28+00:00,awake
0.25,1.0,1.2845607e-06,0.937996,0.68702734,1.0,0.0,0.0,1.0,0.8554551772063933,2018-05-14 20:31:58+00:00,awake
0.25,1.0,1.6057008e-06,0.93789685,0.55654466,1.0,0.0,0.0,1.0,0.8561501042390549,2018-05-14 20:32:28+00:00,awake
0.25,1.0,1.6057008e-06,0.93789685,0.55654466,1.0,0.0,0.0,1.0,0.8561501042390549,2018-05-14 20:32:58+00:00,awake
0.5,1.0,1.6057008e-06,0.93779767,0.6564559,1.0,0.0,0.0,1.0,0.8568450312717165,2018-05-14 20:33:28+00:00,awake
0.25,1.0,1.6057008e-06,0.93779767,0.6564559,1.0,0.0,0.0,1.0,0.8568450312717165,2018-05-14 20:33:58+00:00,awake
0.0,1.0,1.9268412e-06,0.9376984,0.6881815,1.0,0.0,0.0,1.0,0.857539958304378,2018-05-14 20:34:28+00:00,awake
0.25,1.0,1.9268412e-06,0.9376984,0.6881815,1.0,0.0,0.0,1.0,0.857539958304378,2018-05-14 20:34:59+00:00,awake
0.25,1.0,1.9268412e-06,0.9375992,0.55484253,1.0,0.0,0.0,1.0,0.8582348853370396,2018-05-14 20:35:29+00:00,awake
0.25,1.0,1.9268412e-06,0.9375992,0.55484253,1.0,0.0,0.0,1.0,0.8582348853370396,2018-05-14 20:35:59+00:00,awake
