activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.001037071434099528,0.5,0.5865184155663655,2018-05-11 14:04:15+00:00,asleep
0.25,0.5,6.418265e-07,0.0,0.515992,1.0,0.0,0.00047983902174754276,0.5,0.5892981236970118,2018-05-11 14:08:46+00:00,asleep
0.0,0.0,6.418265e-07,0.0,0.0,1.0,0.0,0.001981270799473725,0.5,0.5899930507296733,2018-05-11 14:09:40+00:00,asleep
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001037071434099528,0.5,0.5865184155663655,2018-05-11 14:04:46+00:00,asleep
0.25,0.5,0.0,0.0,0.5329732,1.0,0.0,0.0011299435028248588,0.5,0.5872133425990271,2018-05-11 14:05:16+00:00,asleep
0.25,0.5,0.0,0.0,0.5329732,1.0,0.0,0.005402058664190078,0.5,0.5872133425990271,2018-05-11 14:05:46+00:00,asleep
0.25,0.5,3.2091324e-07,0.0,0.5628157,1.0,0.0,0.00047983902174754276,0.5,0.5879082696316886,2018-05-11 14:06:16+00:00,asleep
0.25,0.5,3.2091324e-07,0.0,0.5628157,1.0,0.0,0.00047983902174754276,0.5,0.5879082696316886,2018-05-11 14:06:16+00:00,asleep
0.25,0.5,3.2091324e-07,0.0,0.5628157,1.0,0.0,0.00047983902174754276,0.5,0.5879082696316886,2018-05-11 14:06:46+00:00,asleep
0.25,0.5,3.2091324e-07,0.0,0.58972806,1.0,0.0,0.00047983902174754276,0.5,0.5886031966643502,2018-05-11 14:07:16+00:00,asleep
0.25,0.5,3.2091324e-07,0.0,0.58972806,1.0,0.0,0.00047983902174754276,0.5,0.5886031966643502,2018-05-11 14:07:46+00:00,asleep
0.25,0.5,6.418265e-07,0.0,0.515992,1.0,0.0,0.00047983902174754276,0.5,0.5892981236970118,2018-05-11 14:08:16+00:00,asleep
0.0,0.0,6.418265e-07,0.0,0.5491366,1.0,0.0,0.0018110053401439517,0.5,0.590687977762335,2018-05-11 14:10:10+00:00,asleep
0.0,0.0,9.627397e-07,0.0,0.5491366,1.0,0.0,0.0018110053401439517,0.5,0.590687977762335,2018-05-11 14:10:40+00:00,asleep
0.0,0.0,9.627397e-07,0.0,0.6259541,1.0,0.0,0.0018110053401439517,0.5,0.5913829047949966,2018-05-11 14:11:10+00:00,asleep
0.0,0.0,9.627397e-07,0.0,0.0,1.0,0.0,0.0007894125841653122,0.5,0.5913829047949966,2018-05-11 14:11:25+00:00,asleep
0.0,0.0,9.627397e-07,0.0,0.0,1.0,0.0,0.0011144648247039704,0.5,0.592077831827658,2018-05-11 14:12:07+00:00,asleep
0.0,0.0,9.627397e-07,0.0,0.0,1.0,0.0,0.0009906353997368624,0.5,0.592077831827658,2018-05-11 14:12:16+00:00,asleep
0.25,0.5,1.283653e-06,0.0,0.6406308,1.0,0.0,0.0012382942496710781,0.5,0.592077831827658,2018-05-11 14:12:46+00:00,asleep
0.0,0.0,1.283653e-06,0.0,0.0,1.0,0.0,0.0011918582153084127,0.5,0.5927727588603197,2018-05-11 14:13:34+00:00,asleep
0.0,0.0,1.283653e-06,0.0,0.0,1.0,0.0,0.001207336893429301,0.5,0.5927727588603197,2018-05-11 14:13:46+00:00,asleep
0.0,0.0,1.9254794e-06,0.0,0.0,1.0,0.0,0.017336119495395094,0.5,0.5962473940236275,2018-05-11 14:18:10+00:00,asleep
0.0,0.0,1.9254794e-06,0.0,0.0,1.0,0.0,0.017011067254856436,0.5,0.5962473940236275,2018-05-11 14:18:24+00:00,asleep
0.25,0.5,1.9254794e-06,0.0,0.6306397,1.0,0.0,0.020292547016484794,0.5,0.5962473940236275,2018-05-11 14:18:53+00:00,asleep
0.25,0.5,2.2463928e-06,0.0,0.6306397,1.0,0.0,0.019565049144803035,0.5,0.5969423210562891,2018-05-11 14:19:24+00:00,asleep
0.0,0.0,2.2463928e-06,0.0,0.0,1.0,0.0,0.02125222505997988,0.5,0.5969423210562891,2018-05-11 14:19:42+00:00,asleep
0.0,1.0,2.2463928e-06,0.0,0.6420123,1.0,0.0,0.01941026236359415,0.5,0.5976372480889507,2018-05-11 14:20:12+00:00,asleep
0.0,0.0,2.2463928e-06,0.0,0.0,1.0,0.0,0.012413899852952558,0.5,0.5976372480889507,2018-05-11 14:20:39+00:00,asleep
0.0,0.0,2.567306e-06,0.0,0.0,1.0,0.0,0.03891339679591363,0.5,0.5983321751216122,2018-05-11 14:21:27+00:00,asleep
0.0,0.0,2.567306e-06,0.0,0.0,1.0,0.0,0.01778500116090086,0.5,0.5983321751216122,2018-05-11 14:21:51+00:00,asleep
0.75,1.0,2.567306e-06,0.0,0.66144854,1.0,0.0,0.01848154167634084,0.5,0.5990271021542738,2018-05-11 14:22:21+00:00,asleep
0.75,1.0,2.567306e-06,0.0,0.66144854,1.0,0.0,0.0128937388747001,0.5,0.5990271021542738,2018-05-11 14:22:52+00:00,asleep
0.75,1.0,2.567306e-06,0.0,0.66144854,1.0,0.0,0.0128937388747001,0.5,0.5990271021542738,2018-05-11 14:22:52+00:00,asleep
0.0,0.0,3.2091325e-06,0.0,0.0,1.0,0.0,1.0,0.5,0.6018068102849201,2018-05-11 14:26:25+00:00,asleep
0.0,0.0,3.2091325e-06,0.0,0.0,1.0,0.0,0.9439671852023838,0.5,0.6018068102849201,2018-05-11 14:26:40+00:00,asleep
0.0,0.0,3.850959e-06,0.0,0.0,1.0,0.0,0.01643835616438356,0.5,0.6038915913829048,2018-05-11 14:29:52+00:00,asleep
0.0,0.0,3.850959e-06,0.0,0.0,1.0,0.0,0.03753579444315455,0.5,0.6045865184155663,2018-05-11 14:30:08+00:00,asleep
0.0,1.0,3.850959e-06,0.0,0.5269387,1.0,0.0,0.03739648634006656,0.5,0.6045865184155663,2018-05-11 14:30:38+00:00,asleep
0.0,1.0,3.850959e-06,0.0,0.5269387,1.0,0.0,0.04374274436963083,0.5,0.6052814454482279,2018-05-11 14:31:08+00:00,asleep
0.0,0.0,3.850959e-06,0.0,0.0,1.0,0.0,0.04313907592291618,0.5,0.6052814454482279,2018-05-11 14:31:24+00:00,asleep
