activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.0,1.0,0.0,0.9061508,0.6555654,1.0,0.0,0.0,1.0,0.11535788742182071,2018-05-15 02:46:57+00:00,awake
0.25,1.0,0.0,0.90605164,0.5672958,1.0,0.0,0.0,1.0,0.11605281445448228,2018-05-15 02:47:27+00:00,awake
0.25,1.0,3.2115875e-07,0.90605164,0.5672958,1.0,0.0,0.0,1.0,0.11605281445448228,2018-05-15 02:47:57+00:00,awake
0.25,1.0,3.2115875e-07,0.9059524,0.660604,1.0,0.0,0.0,1.0,0.11674774148714386,2018-05-15 02:48:28+00:00,awake
0.25,1.0,3.2115875e-07,0.9059524,0.660604,1.0,0.0,0.0,1.0,0.11674774148714386,2018-05-15 02:48:57+00:00,awake
0.0,1.0,3.2115875e-07,0.9058531,0.57315606,1.0,0.0,0.0,1.0,0.11744266851980542,2018-05-15 02:49:27+00:00,awake
0.0,1.0,9.634762e-07,0.9054563,0.55172217,1.0,0.0,0.0,1.0,0.1202223766504517,2018-05-15 02:53:58+00:00,awake
0.25,1.0,1.284635e-06,0.9053571,0.6989525,1.0,0.0,0.0,1.0,0.12091730368311328,2018-05-15 02:54:28+00:00,awake
0.0,1.0,1.284635e-06,0.9053571,0.6989525,1.0,0.0,0.0,1.0,0.12091730368311328,2018-05-15 02:54:58+00:00,awake
0.25,1.0,1.284635e-06,0.905258,0.6055824,1.0,0.0,0.0,1.0,0.12161223071577484,2018-05-15 02:55:28+00:00,awake
0.25,1.0,1.284635e-06,0.90515876,0.6055824,1.0,1.0,0.0,1.0,0.12230715774843641,2018-05-15 02:56:02+00:00,awake
0.25,1.0,1.6057937e-06,0.90515876,0.6335464,1.0,1.0,0.0,1.0,0.12230715774843641,2018-05-15 02:56:32+00:00,awake
0.25,1.0,1.6057937e-06,0.90505946,0.6335464,1.0,1.0,0.0,1.0,0.12300208478109799,2018-05-15 02:57:09+00:00,awake
0.25,1.0,1.9269523e-06,0.90496033,0.5889578,1.0,1.0,0.0,1.0,0.12369701181375956,2018-05-15 02:58:32+00:00,awake
0.25,1.0,1.9269523e-06,0.90486115,0.5584389,1.0,1.0,0.0,1.0,0.12439193884642112,2018-05-15 02:59:03+00:00,awake
0.25,1.0,2.2481113e-06,0.90466267,0.59755474,1.0,1.0,0.0,1.0,0.12578179291174427,2018-05-15 03:01:16+00:00,awake
0.25,1.0,2.56927e-06,0.90436506,0.5812362,1.0,0.0,0.0,1.0,0.12786657400972898,2018-05-15 03:04:37+00:00,awake
0.25,1.0,2.8904287e-06,0.90416664,0.5641966,0.0,1.0,0.0,1.0,0.1292564280750521,2018-05-15 03:06:54+00:00,awake
0.5,1.0,3.2115875e-06,0.90416664,0.5641966,1.0,1.0,0.0,1.0,0.1299513551077137,2018-05-15 03:07:22+00:00,awake
0.25,1.0,3.2115875e-06,0.9040675,0.5809606,1.0,0.0,0.0,1.0,0.1299513551077137,2018-05-15 03:07:53+00:00,awake
0.25,1.0,3.2115875e-06,0.9040675,0.5809606,1.0,0.0,0.0,1.0,0.13064628214037527,2018-05-15 03:08:23+00:00,awake
0.25,1.0,3.8539047e-06,0.90367067,0.6175558,1.0,1.0,0.0,1.0,0.13273106323835998,2018-05-15 03:11:27+00:00,awake
0.25,1.0,3.8539047e-06,0.90367067,0.5549653,1.0,1.0,0.0,1.0,0.13342599027102153,2018-05-15 03:12:10+00:00,awake
0.25,1.0,4.1750636e-06,0.90367067,0.5549653,1.0,1.0,0.0,1.0,0.1341209173036831,2018-05-15 03:13:41+00:00,awake
0.25,1.0,4.1750636e-06,0.9034722,0.6564559,1.0,1.0,0.0,1.0,0.1348158443363447,2018-05-15 03:14:36+00:00,awake
0.25,1.0,4.4962226e-06,0.903373,0.7002384,1.0,1.0,0.0,1.0,0.13551077136900624,2018-05-15 03:15:30+00:00,awake
0.25,1.0,4.817381e-06,0.9032739,0.7002384,1.0,1.0,0.0,1.0,0.1369006254343294,2018-05-15 03:17:49+00:00,awake
0.25,1.0,4.817381e-06,0.90307534,0.605042,1.0,1.0,0.0,1.0,0.13759555246699096,2018-05-15 03:18:22+00:00,awake
0.25,1.0,5.13854e-06,0.9029762,0.605042,1.0,1.0,0.0,1.0,0.13898540653231412,2018-05-15 03:20:49+00:00,awake
0.25,1.0,5.13854e-06,0.9027778,0.67169213,1.0,1.0,0.0,1.0,0.13968033356497567,2018-05-15 03:21:19+00:00,awake
0.25,1.0,6.7443334e-06,0.90188485,0.6818413,1.0,1.0,0.0,1.0,0.1459346768589298,2018-05-15 03:30:28+00:00,awake
0.25,1.0,6.7443334e-06,0.90178573,0.57287407,1.0,1.0,0.0,1.0,0.14662960389159138,2018-05-15 03:31:01+00:00,awake
0.25,1.0,6.423175e-06,0.90198416,0.6818413,1.0,1.0,0.0,1.0,0.14523974982626825,2018-05-15 03:29:23+00:00,awake
0.25,1.0,7.0654924e-06,0.9015873,0.57287407,1.0,1.0,0.0,1.0,0.1480194579569145,2018-05-15 03:33:35+00:00,awake
0.25,1.0,7.0654924e-06,0.90148807,0.69433796,1.0,1.0,0.0,1.0,0.1487143849895761,2018-05-15 03:34:05+00:00,awake
0.25,1.0,7.707809e-06,0.9010912,0.69433796,1.0,1.0,0.0,1.0,0.15149409312022238,2018-05-15 03:38:06+00:00,awake
0.25,1.0,7.707809e-06,0.90099204,0.64817524,1.0,1.0,0.0,1.0,0.15149409312022238,2018-05-15 03:38:37+00:00,awake
0.25,1.0,8.350127e-06,0.90059525,0.6634768,1.0,1.0,0.0,1.0,0.15427380125086865,2018-05-15 03:42:59+00:00,awake
0.25,1.0,8.992445e-06,0.9001984,0.6634768,1.0,1.0,0.0,1.0,0.15774843641417652,2018-05-15 03:47:21+00:00,awake
0.25,1.0,9.313603e-06,0.9000993,0.7135326,1.0,1.0,0.0,1.0,0.15774843641417652,2018-05-15 03:47:52+00:00,awake
0.25,1.0,9.955921e-06,0.8996032,0.7135326,1.0,1.0,0.0,1.0,0.16191799861014594,2018-05-15 03:53:07+00:00,awake
0.25,1.0,9.955921e-06,0.8995039,0.550414,1.0,1.0,0.0,1.0,0.16191799861014594,2018-05-15 03:53:37+00:00,awake
0.25,1.0,1.0919397e-05,0.8990079,0.6990735,1.0,1.0,0.0,1.0,0.16539263377345378,2018-05-15 03:58:50+00:00,awake
0.25,1.0,1.1240556e-05,0.8990079,0.6990735,1.0,1.0,0.0,1.0,0.1674774148714385,2018-05-15 04:01:06+00:00,awake
0.25,1.0,1.1240556e-05,0.89871025,0.67580134,1.0,1.0,0.0,1.0,0.1674774148714385,2018-05-15 04:01:42+00:00,awake
0.25,1.0,1.1561715e-05,0.8986111,0.67580134,1.0,1.0,0.0,1.0,0.16817234190410008,2018-05-15 04:02:24+00:00,awake
0.25,1.0,1.1882873e-05,0.89851195,0.6663065,1.0,1.0,0.0,1.0,0.17095205003474634,2018-05-15 04:06:07+00:00,awake
0.25,1.0,1.2204032e-05,0.8982143,0.67441803,1.0,1.0,0.0,1.0,0.17095205003474634,2018-05-15 04:06:46+00:00,awake
0.25,1.0,1.2525191e-05,0.89801586,0.67441803,1.0,1.0,0.0,1.0,0.17303683113273105,2018-05-15 04:09:18+00:00,awake
0.0,1.0,1.284635e-05,0.89761907,0.65765125,1.0,0.0,0.0,1.0,0.17512161223071576,2018-05-15 04:12:17+00:00,awake
0.0,1.0,1.284635e-05,0.89761907,0.65765125,0.0,0.0,0.0,1.0,0.17512161223071576,2018-05-15 04:12:47+00:00,awake
0.25,1.0,1.3167509e-05,0.89751977,0.6023381,0.0,1.0,0.0,1.0,0.17581653926337734,2018-05-15 04:13:18+00:00,awake
0.25,1.0,1.3167509e-05,0.89751977,0.6023381,1.0,0.0,0.0,1.0,0.17581653926337734,2018-05-15 04:13:58+00:00,awake
0.25,1.0,1.3167509e-05,0.89742064,0.56826764,1.0,0.0,0.0,1.0,0.17651146629603892,2018-05-15 04:14:28+00:00,awake
0.25,1.0,1.3167509e-05,0.89742064,0.56826764,1.0,0.0,0.0,1.0,0.17651146629603892,2018-05-15 04:14:58+00:00,awake
