activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0014912325808608012,0.0,0.5121612230715775,2018-05-15 12:17:03+00:00,awake
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0014912325808608012,0.0,0.5121612230715775,2018-05-15 12:17:03+00:00,awake
0.25,0.5,3.211863e-07,0.0,0.6572583,1.0,0.0,0.0016352136576335682,0.0,0.5121612230715775,2018-05-15 12:17:33+00:00,awake
0.25,0.5,3.211863e-07,0.0,0.6572583,1.0,0.0,0.0016454980202601944,0.0,0.512856150104239,2018-05-15 12:18:03+00:00,awake
0.25,0.5,3.211863e-07,0.0,0.66199094,1.0,0.0,0.0017072041960199517,0.0,0.5135510771369006,2018-05-15 12:19:03+00:00,awake
0.25,0.5,6.423726e-07,0.0,0.66470444,1.0,0.0,0.0017997634596595875,0.0,0.5135510771369006,2018-05-15 12:19:33+00:00,awake
0.25,0.5,6.423726e-07,0.0,0.65810037,1.0,0.0,0.0015118013061140535,0.0,0.5142460041695622,2018-05-15 12:20:33+00:00,awake
0.0,0.5,6.423726e-07,0.0,0.65115273,1.0,0.0,0.0018306165475394662,0.0,0.5149409312022237,2018-05-15 12:21:34+00:00,awake
0.25,0.5,9.635588e-07,0.0,0.64965284,1.0,0.0,0.00182033218491284,0.0,0.5156358582348853,2018-05-15 12:22:34+00:00,awake
0.25,0.5,9.635588e-07,0.0,0.64965284,1.0,0.0,0.001810047822286214,0.0,0.5163307852675469,2018-05-15 12:23:04+00:00,awake
0.25,0.5,9.635588e-07,0.0,0.64824057,1.0,0.0,0.0017997634596595875,0.0,0.5163307852675469,2018-05-15 12:23:34+00:00,awake
0.25,0.5,1.2847452e-06,0.0,0.64824057,1.0,0.0,0.0017689103717797089,0.0,0.5170257123002084,2018-05-15 12:24:04+00:00,awake
0.25,0.5,1.2847452e-06,0.0,0.64735633,1.0,0.0,0.001583791844500437,0.0,0.5170257123002084,2018-05-15 12:24:34+00:00,awake
0.25,0.5,1.2847452e-06,0.0,0.64735633,1.0,0.0,0.0016043605697536895,0.0,0.51772063933287,2018-05-15 12:25:04+00:00,awake
0.25,0.5,1.2847452e-06,0.0,0.6661814,1.0,0.0,0.0015735074818738108,0.0,0.51772063933287,2018-05-15 12:25:34+00:00,awake
0.25,0.5,2.2483039e-06,0.0,0.6666521,1.0,0.0,0.0016969198333933253,0.0,0.5211952744961779,2018-05-15 12:30:14+00:00,awake
0.25,0.5,2.2483039e-06,0.0,0.6666521,1.0,0.0,0.0016969198333933253,0.0,0.5211952744961779,2018-05-15 12:30:44+00:00,awake
0.25,0.5,2.2483039e-06,0.0,0.66747874,1.0,0.0,0.0016454980202601944,0.0,0.5218902015288395,2018-05-15 12:31:14+00:00,awake
0.25,0.5,2.8906766e-06,0.0,0.648284,1.0,1.0,0.0016454980202601944,0.0,0.5253648366921473,2018-05-15 12:36:19+00:00,awake
0.25,0.5,3.2118628e-06,0.0,0.6677036,1.0,0.0,0.0016352136576335682,0.0,0.5253648366921473,2018-05-15 12:36:49+00:00,awake
0.25,0.5,3.2118628e-06,0.0,0.6677036,1.0,0.0,0.0016969198333933253,0.0,0.5260597637248089,2018-05-15 12:37:20+00:00,awake
0.25,0.5,3.2118628e-06,0.0,0.66130674,1.0,1.0,0.001676351108140073,0.0,0.5267546907574705,2018-05-15 12:38:21+00:00,awake
0.25,0.5,3.533049e-06,0.0,0.67134434,1.0,1.0,0.0017174885586465779,0.0,0.5281445448227936,2018-05-15 12:40:20+00:00,awake
0.25,0.5,3.8542353e-06,0.0,0.59941477,1.0,1.0,0.001676351108140073,0.0,0.5281445448227936,2018-05-15 12:40:50+00:00,awake
0.25,0.5,3.8542353e-06,0.0,0.59941477,1.0,0.0,0.00143981076772767,0.0,0.5295343988881167,2018-05-15 12:42:18+00:00,awake
0.25,0.5,3.8542353e-06,0.0,0.622482,1.0,0.0,0.0014500951303542964,0.0,0.5295343988881167,2018-05-15 12:42:48+00:00,awake
0.25,0.5,4.1754215e-06,0.0,0.6273054,1.0,0.0,0.0017072041960199517,0.0,0.5302293259207783,2018-05-15 12:43:48+00:00,awake
0.25,0.5,4.1754215e-06,0.0,0.6273054,1.0,0.0,0.0017072041960199517,0.0,0.5309242529534399,2018-05-15 12:44:18+00:00,awake
0.25,0.5,4.1754215e-06,0.0,0.6577039,1.0,0.0,0.0017072041960199517,0.0,0.5309242529534399,2018-05-15 12:44:49+00:00,awake
0.25,0.5,4.4966077e-06,0.0,0.6577039,1.0,0.0,0.001727772921273204,0.0,0.5316191799861014,2018-05-15 12:45:19+00:00,awake
0.25,0.5,4.4966077e-06,0.0,0.5885771,1.0,0.0,0.001624929295006942,0.0,0.5316191799861014,2018-05-15 12:45:49+00:00,awake
0.25,0.5,4.8177944e-06,0.0,0.5885771,1.0,0.0,0.0016866354707666992,0.0,0.5343988881167477,2018-05-15 12:49:00+00:00,awake
0.25,0.5,5.1389807e-06,0.0,0.576373,1.0,1.0,0.0015220856687406799,0.0,0.5343988881167477,2018-05-15 12:49:29+00:00,awake
0.25,0.5,5.460167e-06,0.0,0.576373,1.0,0.0,0.0017380572838998304,0.0,0.5364836692147325,2018-05-15 12:52:29+00:00,awake
0.5,0.5,6.4237256e-06,0.0,0.6465929,0.0,1.0,0.0,0.0,0.5406532314107019,2018-05-15 12:58:08+00:00,awake
0.25,0.5,6.4237256e-06,0.0,0.54224795,1.0,1.0,0.00012341235151951458,0.0,0.5406532314107019,2018-05-15 12:58:38+00:00,awake
0.0,0.5,6.4237256e-06,0.0,0.54224795,0.0,1.0,0.0,0.0,0.5413481584433635,2018-05-15 12:59:34+00:00,awake
0.75,0.5,6.744912e-06,0.0,0.5246831,0.0,1.0,0.0,0.0,0.542043085476025,2018-05-15 13:00:04+00:00,awake
0.75,0.5,6.744912e-06,0.0,0.5246831,0.0,1.0,0.0,0.0,0.542043085476025,2018-05-15 13:00:34+00:00,awake
0.75,0.5,6.744912e-06,0.0,0.5269613,0.0,1.0,0.0,0.0,0.5427380125086866,2018-05-15 13:01:04+00:00,awake
0.25,0.5,6.744912e-06,0.0,0.5269613,0.0,1.0,0.0,0.0,0.5427380125086866,2018-05-15 13:01:34+00:00,awake
0.25,0.5,6.744912e-06,0.0,0.5550584,0.0,1.0,0.0,0.0,0.5434329395413482,2018-05-15 13:02:04+00:00,awake
0.0,0.0,7.066098e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.5441278665740097,2018-05-15 13:03:06+00:00,awake
0.25,0.5,1.6059314e-06,0.0,0.6661814,1.0,0.0,0.001388388954594539,0.0,0.5184155663655317,2018-05-15 12:26:05+00:00,awake
0.25,0.5,1.6059314e-06,0.0,0.6541729,1.0,0.0,0.0015632231192471847,0.0,0.5184155663655317,2018-05-15 12:26:35+00:00,awake
0.25,0.5,1.9271176e-06,0.0,0.6737223,1.0,1.0,0.0017072041960199517,0.0,0.5205003474635164,2018-05-15 12:29:11+00:00,awake
0.0,0.5,7.066098e-06,0.0,0.5920151,0.0,1.0,0.0,0.0,0.5448227936066713,2018-05-15 13:04:07+00:00,awake
0.75,0.5,7.3872843e-06,0.0,0.51673204,0.0,1.0,0.0,0.0,0.5448227936066713,2018-05-15 13:04:37+00:00,awake
0.75,0.5,7.3872843e-06,0.0,0.51822394,1.0,0.0,0.007240191289144856,0.0,0.5455177206393329,2018-05-15 13:05:48+00:00,awake
0.75,0.5,7.708471e-06,0.0,0.51822394,0.0,1.0,1.0284362626626215e-05,0.0,0.5462126476719944,2018-05-15 13:06:36+00:00,awake
0.75,0.5,7.708471e-06,0.0,0.55149865,0.0,1.0,6.170617575975729e-05,0.0,0.546907574704656,2018-05-15 13:07:06+00:00,awake
0.25,0.5,8.029657e-06,0.0,0.6057947,0.0,1.0,0.00016454980202601944,0.0,0.5476025017373176,2018-05-15 13:08:36+00:00,awake
0.25,0.0,8.029657e-06,0.0,0.63083845,0.0,1.0,0.00016454980202601944,0.0,0.5482974287699791,2018-05-15 13:09:06+00:00,awake
0.25,0.0,8.029657e-06,0.0,0.60626876,0.0,1.0,0.00013369671414614078,0.0,0.5489923558026407,2018-05-15 13:10:07+00:00,awake
0.25,0.0,8.350843e-06,0.0,0.60626876,0.0,1.0,0.00028796215354553404,0.0,0.5496872828353023,2018-05-15 13:11:00+00:00,awake
0.25,0.0,8.350843e-06,0.0,0.59371156,0.0,1.0,6.170617575975729e-05,0.0,0.5496872828353023,2018-05-15 13:11:30+00:00,awake
0.75,0.0,8.672029e-06,0.0,0.57763654,0.0,1.0,0.00013369671414614078,0.0,0.5510771369006254,2018-05-15 13:13:30+00:00,awake
0.75,0.0,8.672029e-06,0.0,0.5298132,0.0,1.0,0.0,0.0,0.551772063933287,2018-05-15 13:14:47+00:00,awake
0.75,0.5,8.9932155e-06,0.0,0.533322,0.0,1.0,0.0,0.0,0.5524669909659485,2018-05-15 13:15:17+00:00,awake
0.75,0.5,8.9932155e-06,0.0,0.533322,0.0,1.0,0.0,0.0,0.5531619179986101,2018-05-15 13:16:08+00:00,awake
0.75,0.5,8.9932155e-06,0.0,0.6256219,0.0,1.0,0.0,0.0,0.5531619179986101,2018-05-15 13:16:38+00:00,awake
0.25,0.5,9.314403e-06,0.0,0.6256219,0.0,1.0,0.0,0.0,0.5538568450312717,2018-05-15 13:17:08+00:00,awake
0.0,0.5,9.314403e-06,0.0,0.55179375,0.0,0.0,0.0,0.0,0.5538568450312717,2018-05-15 13:17:38+00:00,awake
0.75,0.5,9.314403e-06,0.0,0.5176678,0.0,1.0,0.0,0.0,0.5545517720639332,2018-05-15 13:18:38+00:00,awake
0.25,0.5,9.635589e-06,0.0,0.5449066,0.0,1.0,0.00030853087879878646,0.0,0.5552466990965949,2018-05-15 13:19:38+00:00,awake
0.25,0.5,9.635589e-06,0.0,0.5449066,0.0,1.0,0.0,0.0,0.5559416261292565,2018-05-15 13:20:09+00:00,awake
0.25,0.5,1.0277961e-05,0.0,0.5915269,0.0,1.0,0.0,0.0,0.5594162612925643,2018-05-15 13:25:05+00:00,awake
0.75,0.5,1.0599148e-05,0.0,0.54822356,0.0,1.0,0.0,0.0,0.5601111883252259,2018-05-15 13:26:09+00:00,awake
0.0,0.5,9.956775e-06,0.0,0.660604,0.0,1.0,0.0,0.0,0.5573314801945796,2018-05-15 13:22:32+00:00,awake
0.25,0.5,9.956775e-06,0.0,0.6810344,0.0,1.0,0.0,0.0,0.5580264072272412,2018-05-15 13:23:02+00:00,awake
0.75,0.5,1.0277961e-05,0.0,0.6810344,0.0,1.0,0.0,0.0,0.5580264072272412,2018-05-15 13:23:59+00:00,awake
0.75,0.5,1.0277961e-05,0.0,0.5915269,0.0,1.0,0.0,0.0,0.5587213342599027,2018-05-15 13:24:29+00:00,awake
0.0,0.5,1.0599148e-05,0.0,0.5730698,0.0,1.0,0.0,0.0,0.5608061153578874,2018-05-15 13:27:24+00:00,awake
0.25,0.5,1.0920334e-05,0.0,0.59486324,0.0,1.0,0.0,0.0,0.5608061153578874,2018-05-15 13:27:53+00:00,awake
0.75,0.5,1.0920334e-05,0.0,0.59486324,0.0,1.0,0.0,0.0,0.561501042390549,2018-05-15 13:28:35+00:00,awake
0.25,0.5,1.0920334e-05,0.0,0.53072596,1.0,1.0,0.0025093844808967963,0.0,0.5621959694232106,2018-05-15 13:29:45+00:00,awake
0.25,0.5,1.124152e-05,0.0,0.5777153,1.0,0.0,0.0026636499202961897,0.0,0.5628908964558721,2018-05-15 13:30:15+00:00,awake
0.25,0.5,1.124152e-05,0.0,0.5777153,1.0,0.0,0.00934848562760323,0.0,0.5628908964558721,2018-05-15 13:30:45+00:00,awake
0.25,0.5,1.124152e-05,0.0,0.56884426,1.0,0.0,0.004689669357741554,0.0,0.5635858234885337,2018-05-15 13:31:15+00:00,awake
0.25,0.5,1.124152e-05,0.0,0.56884426,1.0,0.0,0.0064791484547745155,0.0,0.5635858234885337,2018-05-15 13:31:45+00:00,awake
0.0,0.5,1.1562706e-05,0.0,0.575081,1.0,1.0,0.010037537923587185,0.0,0.5642807505211953,2018-05-15 13:32:57+00:00,awake
0.25,0.5,1.1562706e-05,0.0,0.6035786,1.0,0.0,0.004679384995114928,0.0,0.5649756775538568,2018-05-15 13:33:27+00:00,awake
0.25,0.5,1.1562706e-05,0.0,0.6035786,1.0,0.0,0.004463413379955777,0.0,0.5649756775538568,2018-05-15 13:33:57+00:00,awake
0.0,0.5,1.18838925e-05,0.0,0.635225,1.0,0.0,0.005049622049673471,0.0,0.5656706045865184,2018-05-15 13:34:27+00:00,awake
0.25,0.5,1.18838925e-05,0.0,0.635225,1.0,0.0,0.0020260194374453642,0.0,0.5656706045865184,2018-05-15 13:34:57+00:00,awake
0.25,0.5,1.18838925e-05,0.0,0.5860034,0.0,1.0,0.0013472515040880342,0.0,0.56636553161918,2018-05-15 13:35:27+00:00,awake
0.25,0.5,1.18838925e-05,0.0,0.5860034,0.0,1.0,0.000863886460636602,0.0,0.56636553161918,2018-05-15 13:35:57+00:00,awake
0.25,0.5,1.2205079e-05,0.0,0.5837402,1.0,1.0,0.00287962153545534,0.0,0.5670604586518415,2018-05-15 13:36:27+00:00,awake
0.25,0.5,1.2205079e-05,0.0,0.5837402,0.0,1.0,1.0284362626626215e-05,0.0,0.5670604586518415,2018-05-15 13:36:57+00:00,awake
0.25,0.5,1.2205079e-05,0.0,0.5882707,0.0,1.0,2.056872525325243e-05,0.0,0.5677553856845031,2018-05-15 13:37:27+00:00,awake
0.25,0.5,1.2526265e-05,0.0,0.61642,0.0,1.0,1.0284362626626215e-05,0.0,0.5684503127171647,2018-05-15 13:38:58+00:00,awake
0.75,0.5,1.2526265e-05,0.0,0.53539634,0.0,1.0,0.0,0.0,0.5691452397498262,2018-05-15 13:39:28+00:00,awake
0.75,0.5,1.2526265e-05,0.0,0.53539634,0.0,1.0,0.0,0.0,0.5698401667824878,2018-05-15 13:40:00+00:00,awake
0.75,0.5,1.2526265e-05,0.0,0.5254707,1.0,1.0,0.00029824651617216025,0.0,0.5698401667824878,2018-05-15 13:40:30+00:00,awake
0.75,0.5,1.2847451e-05,0.0,0.5254707,0.0,0.0,0.0,0.0,0.5705350938151494,2018-05-15 13:41:17+00:00,awake
0.25,0.5,1.2847451e-05,0.0,0.6098705,0.0,1.0,0.0,0.0,0.5705350938151494,2018-05-15 13:41:47+00:00,awake
0.25,0.5,1.3168637e-05,0.0,0.62344944,0.0,1.0,0.0,0.0,0.5712300208478109,2018-05-15 13:42:47+00:00,awake
0.25,0.5,1.3168637e-05,0.0,0.62344944,0.0,1.0,0.0,0.0,0.5719249478804725,2018-05-15 13:43:17+00:00,awake
0.25,0.5,1.3168637e-05,0.0,0.63945043,0.0,1.0,0.0,0.0,0.5719249478804725,2018-05-15 13:43:47+00:00,awake
0.25,0.5,1.3489824e-05,0.0,0.6029108,0.0,1.0,0.0,0.0,0.5726198749131342,2018-05-15 13:44:59+00:00,awake
0.25,0.5,1.3489824e-05,0.0,0.52068233,1.0,1.0,0.0006479148454774515,0.0,0.5733148019457956,2018-05-15 13:45:59+00:00,awake
0.25,0.5,1.3489824e-05,0.0,0.52068233,1.0,0.0,0.0006890522959839564,0.0,0.5740097289784573,2018-05-15 13:46:29+00:00,awake
0.0,0.5,1.381101e-05,0.0,0.615019,1.0,0.0,0.0005142181313313107,0.0,0.5740097289784573,2018-05-15 13:46:59+00:00,awake
0.25,0.5,1.381101e-05,0.0,0.615019,1.0,0.0,0.0012546922404483981,0.0,0.5747046560111189,2018-05-15 13:47:32+00:00,awake
0.25,0.5,1.381101e-05,0.0,0.5260998,1.0,1.0,0.0010901424384223788,0.0,0.5753995830437804,2018-05-15 13:48:02+00:00,awake
0.25,0.5,1.381101e-05,0.0,0.5260998,1.0,1.0,0.00013369671414614078,0.0,0.5753995830437804,2018-05-15 13:48:32+00:00,awake
0.25,0.5,1.4132196e-05,0.0,0.5469158,0.0,1.0,0.0,0.0,0.5767894371091036,2018-05-15 13:50:06+00:00,awake
0.25,0.5,1.4453382e-05,0.0,0.5469158,0.0,1.0,0.0,0.0,0.5774843641417651,2018-05-15 13:51:16+00:00,awake
0.25,0.5,1.4453382e-05,0.0,0.58325034,0.0,1.0,0.0,0.0,0.5774843641417651,2018-05-15 13:51:46+00:00,awake
0.25,0.5,1.4453382e-05,0.0,0.58325034,0.0,1.0,0.0,0.0,0.5781792911744267,2018-05-15 13:52:16+00:00,awake
0.25,0.5,1.4453382e-05,0.0,0.57254165,0.0,1.0,0.0,0.0,0.5781792911744267,2018-05-15 13:52:47+00:00,awake
0.0,0.5,1.4774569e-05,0.0,0.57254165,0.0,1.0,0.0,0.0,0.5788742182070883,2018-05-15 13:53:56+00:00,awake
0.75,0.5,1.4774569e-05,0.0,0.54559755,0.0,1.0,0.0,0.0,0.5795691452397498,2018-05-15 13:54:23+00:00,awake
0.0,0.5,1.4774569e-05,0.0,0.54559755,1.0,1.0,0.0009564457242762379,0.0,0.5795691452397498,2018-05-15 13:54:57+00:00,awake
