activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
Unknown,Other,0,False,1526090829,0.0,0,8,not locked,0,Friday,187,2018-05-12 03:07:09+00:00,awake
Unknown,Other,0,False,1526090829,0.0,0,8,not locked,0,Friday,187,2018-05-12 03:07:09+00:00,awake
Still,House,0,False,1526090859,539580000.0,0,8,not locked,0,Friday,187,2018-05-12 03:07:39+00:00,awake
Still,House,0,False,1526090889,539520000.0,0,8,not locked,0,Friday,188,2018-05-12 03:08:09+00:00,awake
Still,House,0,False,1526090919,539520000.0,0,8,not locked,0,Friday,188,2018-05-12 03:08:39+00:00,awake
Still,House,0,False,1526090950,539460000.0,0,8,not locked,0,Friday,189,2018-05-12 03:09:10+00:00,awake
Still,House,0,False,1526090980,539460000.0,0,8,not locked,0,Friday,189,2018-05-12 03:09:40+00:00,awake
Still,House,0,False,1526091010,539400000.0,0,8,not locked,0,Friday,190,2018-05-12 03:10:10+00:00,awake
Still,House,0,False,1526091040,539400000.0,0,8,not locked,0,Friday,190,2018-05-12 03:10:40+00:00,awake
Still,House,0,False,1526091070,539340000.0,0,8,not locked,0,Friday,191,2018-05-12 03:11:10+00:00,awake
Still,House,0,False,1526091100,539340000.0,0,8,not locked,0,Friday,191,2018-05-12 03:11:40+00:00,awake
Still,House,0,False,1526091130,539280000.0,0,8,not locked,0,Friday,192,2018-05-12 03:12:10+00:00,awake
Still,House,0,False,1526091160,539280000.0,0,8,not locked,0,Friday,192,2018-05-12 03:12:40+00:00,awake
Still,House,0,False,1526091190,539220000.0,0,8,not locked,0,Friday,193,2018-05-12 03:13:10+00:00,awake
Still,House,0,False,1526091220,539220000.0,0,8,not locked,0,Friday,193,2018-05-12 03:13:40+00:00,awake
Still,House,0,False,1526091250,539160000.0,0,8,not locked,0,Friday,194,2018-05-12 03:14:10+00:00,awake
Still,House,0,False,1526091311,539100000.0,0,8,not locked,0,Friday,195,2018-05-12 03:15:11+00:00,awake
Still,House,0,False,1526091341,539100000.0,0,8,not locked,39,Friday,195,2018-05-12 03:15:41+00:00,awake
Unknown,House,0,False,1526091371,539040000.0,0,8,not locked,0,Friday,196,2018-05-12 03:16:11+00:00,awake
Exercise,House,0,False,1526091401,539040000.0,0,8,not locked,2,Friday,196,2018-05-12 03:16:41+00:00,awake
Exercise,House,0,False,1526091401,539040000.0,0,8,not locked,2,Friday,196,2018-05-12 03:16:41+00:00,awake
Exercise,House,0,False,1526091431,538980000.0,0,8,not locked,24,Friday,197,2018-05-12 03:17:11+00:00,awake
Still,House,0,False,1526091461,538980000.0,0,8,not locked,23,Friday,197,2018-05-12 03:17:41+00:00,awake
Still,House,0,False,1526091491,538920000.0,0,8,locked,23,Friday,198,2018-05-12 03:18:11+00:00,awake
Still,House,0,False,1526091521,538920000.0,0,8,locked,23,Friday,198,2018-05-12 03:18:41+00:00,awake
Still,House,0,False,1526091581,538860000.0,0,8,locked,23,Friday,199,2018-05-12 03:19:41+00:00,awake
Still,House,0,False,1526091642,538800000.0,0,8,locked,23,Friday,200,2018-05-12 03:20:42+00:00,awake
Still,House,0,False,1526091672,538740000.0,0,8,not locked,0,Friday,201,2018-05-12 03:21:12+00:00,awake
Still,House,0,False,1526091702,538740000.0,0,8,not locked,0,Friday,201,2018-05-12 03:21:42+00:00,awake
Still,House,0,False,1526091732,538680000.0,0,8,not locked,0,Friday,202,2018-05-12 03:22:12+00:00,awake
Still,House,0,False,1526091762,538680000.0,0,8,not locked,0,Friday,202,2018-05-12 03:22:42+00:00,awake
Still,House,0,False,1526091792,538620000.0,0,8,not locked,0,Friday,203,2018-05-12 03:23:12+00:00,awake
Still,House,0,False,1526091822,538620000.0,0,8,not locked,0,Friday,203,2018-05-12 03:23:42+00:00,awake
Still,House,0,False,1526091852,538560000.0,0,8,not locked,0,Friday,204,2018-05-12 03:24:12+00:00,awake
Still,House,0,False,1526091882,538560000.0,0,8,not locked,0,Friday,204,2018-05-12 03:24:42+00:00,awake
Still,House,0,False,1526091912,538500000.0,0,8,not locked,0,Friday,205,2018-05-12 03:25:12+00:00,awake
Still,House,0,False,1526091973,538440000.0,0,8,not locked,0,Friday,206,2018-05-12 03:26:13+00:00,awake
Still,House,0,False,1526092003,538440000.0,0,8,not locked,0,Friday,206,2018-05-12 03:26:43+00:00,awake
Still,House,0,False,1526092033,538380000.0,0,8,not locked,0,Friday,207,2018-05-12 03:27:13+00:00,awake
Still,House,0,False,1526092063,538380000.0,0,8,not locked,0,Friday,207,2018-05-12 03:27:43+00:00,awake
Still,House,0,False,1526092093,538320000.0,0,8,not locked,0,Friday,208,2018-05-12 03:28:13+00:00,awake
Still,House,0,False,1526092123,538320000.0,0,8,not locked,0,Friday,208,2018-05-12 03:28:43+00:00,awake
Still,House,0,False,1526092153,538260000.0,0,8,not locked,0,Friday,209,2018-05-12 03:29:13+00:00,awake
Still,House,0,False,1526092183,538260000.0,0,8,not locked,0,Friday,209,2018-05-12 03:29:43+00:00,awake
Still,House,0,False,1526092213,538200000.0,0,8,not locked,0,Friday,210,2018-05-12 03:30:13+00:00,awake
Still,House,0,False,1526092243,538200000.0,0,8,not locked,0,Friday,210,2018-05-12 03:30:43+00:00,awake
Still,House,0,False,1526092273,538140000.0,0,8,not locked,0,Friday,211,2018-05-12 03:31:13+00:00,awake
Still,House,0,False,1526092304,538140000.0,0,8,not locked,0,Friday,211,2018-05-12 03:31:44+00:00,awake
Still,House,0,False,1526092334,538080000.0,0,8,not locked,0,Friday,212,2018-05-12 03:32:14+00:00,awake
