activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1299513551077137,2018-05-12 03:07:09+00:00,awake
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1299513551077137,2018-05-12 03:07:09+00:00,awake
0.25,1.0,0.0,0.89216274,0.0,1.0,0.0,0.0,0.5,0.1299513551077137,2018-05-12 03:07:39+00:00,awake
0.25,1.0,0.0,0.8920635,0.0,1.0,0.0,0.0,0.5,0.13064628214037527,2018-05-12 03:08:09+00:00,awake
0.25,1.0,0.0,0.8920635,0.0,1.0,0.0,0.0,0.5,0.13064628214037527,2018-05-12 03:08:39+00:00,awake
0.25,1.0,3.2095105e-07,0.89196426,0.0,1.0,0.0,0.0,0.5,0.13134120917303682,2018-05-12 03:09:10+00:00,awake
0.25,1.0,3.2095105e-07,0.89196426,0.0,1.0,0.0,0.0,0.5,0.13134120917303682,2018-05-12 03:09:40+00:00,awake
0.25,1.0,3.2095105e-07,0.8918651,0.0,1.0,0.0,0.0,0.5,0.1320361362056984,2018-05-12 03:10:10+00:00,awake
0.25,1.0,3.2095105e-07,0.8918651,0.0,1.0,0.0,0.0,0.5,0.1320361362056984,2018-05-12 03:10:40+00:00,awake
0.25,1.0,3.2095105e-07,0.89176595,0.0,1.0,0.0,0.0,0.5,0.13273106323835998,2018-05-12 03:11:10+00:00,awake
0.25,1.0,6.419021e-07,0.89176595,0.0,1.0,0.0,0.0,0.5,0.13273106323835998,2018-05-12 03:11:40+00:00,awake
0.25,1.0,6.419021e-07,0.89166665,0.0,1.0,0.0,0.0,0.5,0.13342599027102153,2018-05-12 03:12:10+00:00,awake
0.25,1.0,6.419021e-07,0.89166665,0.0,1.0,0.0,0.0,0.5,0.13342599027102153,2018-05-12 03:12:40+00:00,awake
0.25,1.0,6.419021e-07,0.8915674,0.0,1.0,0.0,0.0,0.5,0.1341209173036831,2018-05-12 03:13:10+00:00,awake
0.25,1.0,9.628532e-07,0.8915674,0.0,1.0,0.0,0.0,0.5,0.1341209173036831,2018-05-12 03:13:40+00:00,awake
0.25,1.0,9.628532e-07,0.8914682,0.0,1.0,0.0,0.0,0.5,0.1348158443363447,2018-05-12 03:14:10+00:00,awake
0.25,1.0,9.628532e-07,0.8913691,0.0,1.0,0.0,0.0,0.5,0.13551077136900624,2018-05-12 03:15:11+00:00,awake
0.25,1.0,1.2838042e-06,0.8913691,0.0,1.0,0.0,0.0005951018539711605,0.5,0.13551077136900624,2018-05-12 03:15:41+00:00,awake
0.0,1.0,1.2838042e-06,0.89126986,0.0,1.0,0.0,0.0,0.5,0.13620569840166782,2018-05-12 03:16:11+00:00,awake
0.75,1.0,1.2838042e-06,0.89126986,0.0,1.0,0.0,3.0518043793392844e-05,0.5,0.13620569840166782,2018-05-12 03:16:41+00:00,awake
0.75,1.0,1.2838042e-06,0.89126986,0.0,1.0,0.0,3.0518043793392844e-05,0.5,0.13620569840166782,2018-05-12 03:16:41+00:00,awake
0.75,1.0,1.2838042e-06,0.89117056,0.0,1.0,0.0,0.0003662165255207141,0.5,0.1369006254343294,2018-05-12 03:17:11+00:00,awake
