activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class,outside_range
Still,House,0,False,1526179038,542940000.0,95,8,locked,0,Saturday,217,2018-05-13 03:37:18+00:00,asleep,0
Still,House,0,False,1526179238,542580000.0,65,8,locked,0,Saturday,220,2018-05-13 03:40:38+00:00,asleep,0
Still,House,0,False,1526179300,542400000.0,65,8,locked,0,Saturday,221,2018-05-13 03:41:40+00:00,asleep,0
Still,House,0,False,1526179330,542280000.0,193,8,locked,0,Saturday,222,2018-05-13 03:42:10+00:00,asleep,0
Still,House,0,False,1526179550,542160000.0,193,8,locked,0,Saturday,225,2018-05-13 03:45:50+00:00,asleep,0
Still,House,0,False,1526179580,542040000.0,208,8,locked,0,Saturday,226,2018-05-13 03:46:20+00:00,asleep,0
Still,House,0,False,1526179796,541920000.0,208,8,locked,0,Saturday,229,2018-05-13 03:49:56+00:00,asleep,0
Still,House,0,False,1526179824,541800000.0,144,8,locked,0,Saturday,230,2018-05-13 03:50:24+00:00,asleep,0
Still,House,0,False,1526179962,541740000.0,144,8,locked,0,Saturday,232,2018-05-13 03:52:42+00:00,asleep,0
Still,House,0,False,1526179993,541620000.0,126,8,locked,0,Saturday,233,2018-05-13 03:53:13+00:00,asleep,0
Still,House,0,False,1526180100,541560000.0,126,8,locked,0,Saturday,235,2018-05-13 03:55:00+00:00,asleep,0
Still,House,0,False,1526180130,541500000.0,117,8,locked,0,Saturday,235,2018-05-13 03:55:30+00:00,asleep,0
Still,House,0,False,1526180251,541440000.0,117,8,locked,0,Saturday,237,2018-05-13 03:57:31+00:00,asleep,0
Still,House,0,False,1526180282,541380000.0,168,8,locked,0,Saturday,238,2018-05-13 03:58:02+00:00,asleep,0
Still,House,0,False,1526180795,540900000.0,168,8,locked,0,Saturday,246,2018-05-13 04:06:35+00:00,asleep,0
Still,House,0,False,1526180827,540840000.0,72,8,locked,0,Saturday,247,2018-05-13 04:07:07+00:00,asleep,0
Still,House,0,False,1526181172,540600000.0,72,8,locked,0,Saturday,252,2018-05-13 04:12:52+00:00,asleep,0
Still,House,0,False,1526181202,540420000.0,235,8,locked,0,Saturday,253,2018-05-13 04:13:22+00:00,asleep,0
Tilting,House,0,False,1526181251,540360000.0,235,8,locked,0,Saturday,254,2018-05-13 04:14:11+00:00,asleep,0
Still,House,0,False,1526181282,540360000.0,320,8,locked,0,Saturday,254,2018-05-13 04:14:42+00:00,asleep,0
Still,House,0,False,1526181664,540060000.0,320,8,locked,0,Saturday,261,2018-05-13 04:21:04+00:00,asleep,0
Still,House,0,False,1526181763,539940000.0,40,8,locked,0,Saturday,262,2018-05-13 04:22:43+00:00,asleep,0
Still,House,0,False,1526181981,539880000.0,40,8,locked,0,Saturday,266,2018-05-13 04:26:21+00:00,asleep,0
Still,House,0,False,1526182011,539640000.0,44,8,locked,0,Saturday,266,2018-05-13 04:26:51+00:00,asleep,0
Still,House,0,False,1526182524,539520000.0,44,8,locked,0,Saturday,275,2018-05-13 04:35:24+00:00,asleep,0
Still,House,0,False,1526182674,538980000.0,40,8,locked,0,Saturday,277,2018-05-13 04:37:54+00:00,asleep,0
Still,House,0,False,1526182704,538920000.0,44,8,locked,0,Saturday,278,2018-05-13 04:38:24+00:00,asleep,0
Still,House,0,False,1526183010,538800000.0,44,8,locked,0,Saturday,283,2018-05-13 04:43:30+00:00,asleep,0
Still,House,0,False,1526183039,538620000.0,334,8,locked,0,Saturday,283,2018-05-13 04:43:59+00:00,asleep,0
Still,House,0,False,1526183439,538260000.0,334,8,locked,0,Saturday,290,2018-05-13 04:50:39+00:00,asleep,0
Still,House,0,False,1526183536,538200000.0,74,8,locked,0,Saturday,292,2018-05-13 04:52:16+00:00,asleep,0
Still,House,0,False,1526183674,538080000.0,74,8,locked,0,Saturday,294,2018-05-13 04:54:34+00:00,asleep,0
Still,House,0,False,1526183705,537960000.0,40,8,locked,0,Saturday,295,2018-05-13 04:55:05+00:00,asleep,0
Still,House,0,False,1526183962,537840000.0,40,8,locked,0,Saturday,299,2018-05-13 04:59:22+00:00,asleep,0
Still,House,0,False,1526183992,537660000.0,38,8,locked,0,Saturday,299,2018-05-13 04:59:52+00:00,asleep,0
Still,House,0,False,1526184397,19140000.0,38,8,locked,0,Sunday,306,2018-05-13 05:06:37+00:00,asleep,0
Still,House,0,False,1526184427,18840000.0,40,8,locked,0,Sunday,307,2018-05-13 05:07:07+00:00,asleep,0
Still,House,0,False,1526184757,18720000.0,40,8,locked,0,Sunday,312,2018-05-13 05:12:37+00:00,asleep,0
Still,House,0,False,1526184788,18480000.0,72,8,locked,0,Sunday,313,2018-05-13 05:13:08+00:00,asleep,0
Still,House,0,False,1526185122,18420000.0,72,8,locked,0,Sunday,318,2018-05-13 05:18:42+00:00,asleep,0
Still,House,0,False,1526185152,18120000.0,48,8,locked,0,Sunday,319,2018-05-13 05:19:12+00:00,asleep,0
Still,House,0,False,1526185539,17940000.0,48,8,locked,0,Sunday,325,2018-05-13 05:25:39+00:00,asleep,0
Still,House,0,False,1526185568,17700000.0,130,8,locked,0,Sunday,326,2018-05-13 05:26:08+00:00,asleep,0
Still,House,0,False,1526185971,17520000.0,130,8,locked,0,Sunday,332,2018-05-13 05:32:51+00:00,asleep,0
Still,House,0,False,1526186031,17220000.0,39,8,locked,0,Sunday,333,2018-05-13 05:33:51+00:00,asleep,0
Still,House,0,False,1526186269,17220000.0,39,8,locked,0,Sunday,337,2018-05-13 05:37:49+00:00,asleep,0
Still,House,0,False,1526186299,16980000.0,44,8,locked,0,Sunday,338,2018-05-13 05:38:19+00:00,asleep,0
