activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
Still,Other,0,False,1526314487,0,29560,8,not locked,1962,Monday,1034,2018-05-14 17:14:47+00:00,asleep
Still,Other,0,False,1526314517,0,29560,8,not locked,1872,Monday,1035,2018-05-14 17:15:17+00:00,asleep
Still,Other,0,False,1526314608,0,18642,8,locked,2405,Monday,1036,2018-05-14 17:16:48+00:00,asleep
Still,Other,0,False,1526314638,0,18642,8,not locked,950,Monday,1037,2018-05-14 17:17:18+00:00,asleep
Still,Other,0,False,1526314698,0,16550,8,locked,2634,Monday,1038,2018-05-14 17:18:18+00:00,asleep
Still,Other,0,False,1526314758,0,32703,8,locked,2310,Monday,1039,2018-05-14 17:19:18+00:00,asleep
Still,Other,0,False,1526314878,0,8314,8,locked,2453,Monday,1041,2018-05-14 17:21:18+00:00,asleep
Still,Other,0,False,1526314908,0,12910,8,locked,2312,Monday,1041,2018-05-14 17:21:48+00:00,asleep
Still,Other,0,False,1526315082,0,12910,0,locked,2805,Monday,1044,2018-05-14 17:24:42+00:00,asleep
Still,Other,0,False,1526315267,0,32767,8,locked,2915,Monday,1047,2018-05-14 17:27:47+00:00,asleep
Still,Other,0,False,1526315297,0,10561,8,not locked,1787,Monday,1048,2018-05-14 17:28:17+00:00,asleep
Still,Other,0,False,1526315753,0,11674,8,not locked,2828,Monday,1055,2018-05-14 17:35:53+00:00,asleep
Still,Other,0,False,1526315943,0,11674,8,locked,2258,Monday,1059,2018-05-14 17:39:03+00:00,asleep
Unknown,Other,0,False,1526316104,0,32767,0,locked,16,Monday,1061,2018-05-14 17:41:44+00:00,asleep
Still,Other,0,False,1526316168,0,32767,8,locked,711,Monday,1062,2018-05-14 17:42:48+00:00,asleep
Still,Other,0,False,1526316198,0,32767,8,not locked,654,Monday,1063,2018-05-14 17:43:18+00:00,asleep
Still,Other,0,False,1526316228,0,32767,0,not locked,0,Monday,1063,2018-05-14 17:43:48+00:00,asleep
Still,Other,0,False,1526316263,0,32767,0,locked,0,Monday,1064,2018-05-14 17:44:23+00:00,asleep
Still,Other,0,False,1526316293,0,5526,0,locked,0,Monday,1064,2018-05-14 17:44:53+00:00,asleep
Still,Other,0,False,1526316323,0,5526,0,locked,0,Monday,1065,2018-05-14 17:45:23+00:00,asleep
Still,Other,0,False,1526316353,0,32767,0,locked,0,Monday,1065,2018-05-14 17:45:53+00:00,asleep
Still,Other,0,False,1526316444,0,7880,0,locked,0,Monday,1067,2018-05-14 17:47:24+00:00,asleep
Still,Other,0,False,1526316474,0,9561,0,locked,0,Monday,1067,2018-05-14 17:47:54+00:00,asleep
Still,Other,0,False,1526316534,0,10544,0,locked,0,Monday,1068,2018-05-14 17:48:54+00:00,asleep
Still,Other,0,False,1526316564,0,10544,0,locked,0,Monday,1069,2018-05-14 17:49:24+00:00,asleep
Still,Other,0,False,1526316594,0,32767,8,locked,1416,Monday,1069,2018-05-14 17:49:54+00:00,asleep
Unknown,Other,0,False,1526316624,0,32767,8,not locked,736,Monday,1070,2018-05-14 17:50:24+00:00,asleep
Still,Other,0,False,1526316654,0,32767,8,not locked,1181,Monday,1070,2018-05-14 17:50:54+00:00,asleep
In vehicle,Other,0,False,1526316684,0,32767,8,not locked,1431,Monday,1071,2018-05-14 17:51:24+00:00,asleep
Still,Other,0,False,1526316774,0,32767,8,not locked,1467,Monday,1072,2018-05-14 17:52:54+00:00,asleep
Still,Other,0,False,1526316805,0,32767,8,not locked,1430,Monday,1073,2018-05-14 17:53:25+00:00,asleep
Still,Other,0,False,1526316835,0,13716,8,locked,1409,Monday,1073,2018-05-14 17:53:55+00:00,asleep
Still,Other,0,False,1526316865,0,13716,8,locked,1330,Monday,1074,2018-05-14 17:54:25+00:00,asleep
Still,Other,0,False,1526316895,0,32767,8,locked,73,Monday,1074,2018-05-14 17:54:55+00:00,asleep
Unknown,Other,0,False,1526316924,0,0,8,not locked,9,Monday,1075,2018-05-14 17:55:24+00:00,asleep
