activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
Unknown,Other,0,False,1526313127,-1.0,0,8,not locked,0,Monday,1012,330,660,19800,2018-05-14 16:52:07+00:00,awake
Unknown,Other,0,False,1526313127,-1.0,0,8,not locked,0,Monday,1012,330,660,19800,2018-05-14 16:52:07+00:00,awake
Still,University,0,False,1526313187,-1.0,24144,8,not locked,0,Monday,1013,330,660,19800,2018-05-14 16:53:07+00:00,awake
Still,University,0,False,1526313307,-1.0,23654,8,not locked,0,Monday,1015,330,660,19800,2018-05-14 16:55:07+00:00,awake
Still,Other,0,False,1526313337,-1.0,26613,8,not locked,0,Monday,1015,330,660,19800,2018-05-14 16:55:37+00:00,awake
Still,Other,0,False,1526313367,-1.0,26613,8,not locked,0,Monday,1016,330,660,19800,2018-05-14 16:56:07+00:00,awake
Exercise,University,0,False,1526313548,-1.0,24460,8,locked,0,Monday,1019,330,660,19800,2018-05-14 16:59:08+00:00,awake
Exercise,University,0,False,1526313578,-1.0,19790,8,locked,0,Monday,1019,330,660,19800,2018-05-14 16:59:38+00:00,awake
Exercise,University,0,False,1526313613,-1.0,19790,8,not locked,0,Monday,1020,330,660,19800,2018-05-14 17:00:13+00:00,awake
Exercise,University,0,False,1526313673,-1.0,23186,8,not locked,0,Monday,1021,330,660,19800,2018-05-14 17:01:13+00:00,awake
Exercise,Other,0,False,1526313733,-1.0,32767,8,not locked,0,Monday,1022,330,660,19800,2018-05-14 17:02:13+00:00,awake
Exercise,Other,0,False,1526313763,-1.0,7642,8,not locked,0,Monday,1022,330,660,19800,2018-05-14 17:02:43+00:00,awake
Unknown,Other,0,False,1526313793,-1.0,7642,8,not locked,0,Monday,1023,330,660,19800,2018-05-14 17:03:13+00:00,awake
Unknown,Other,0,False,1526313823,-1.0,15165,8,not locked,0,Monday,1023,330,660,19800,2018-05-14 17:03:43+00:00,awake
Exercise,Other,0,False,1526313853,-1.0,15165,8,not locked,0,Monday,1024,330,660,19800,2018-05-14 17:04:13+00:00,awake
Exercise,Other,0,False,1526313884,-1.0,28925,8,not locked,0,Monday,1024,330,660,19800,2018-05-14 17:04:44+00:00,awake
Still,Other,0,False,1526313914,-1.0,28925,8,not locked,0,Monday,1025,330,660,19800,2018-05-14 17:05:14+00:00,awake
Unknown,Other,0,False,1526313944,-1.0,20601,8,not locked,0,Monday,1025,330,660,19800,2018-05-14 17:05:44+00:00,awake
Still,Other,0,False,1526313974,-1.0,20601,8,not locked,0,Monday,1026,330,660,19800,2018-05-14 17:06:14+00:00,awake
Unknown,Other,0,False,1526314004,-1.0,27369,8,not locked,0,Monday,1026,330,660,19800,2018-05-14 17:06:44+00:00,awake
Unknown,Other,0,False,1526314064,-1.0,24934,8,not locked,0,Monday,1027,330,660,19800,2018-05-14 17:07:44+00:00,awake
Unknown,Other,0,False,1526314124,-1.0,21497,8,not locked,0,Monday,1028,330,660,19800,2018-05-14 17:08:44+00:00,awake
Still,Other,0,False,1526314154,-1.0,21497,8,not locked,0,Monday,1029,330,660,19800,2018-05-14 17:09:14+00:00,awake
Unknown,Other,0,False,1526314184,-1.0,26184,8,not locked,0,Monday,1029,330,660,19800,2018-05-14 17:09:44+00:00,awake
Exercise,Other,0,False,1526314245,-1.0,32767,0,locked,0,Monday,1030,330,660,19800,2018-05-14 17:10:45+00:00,awake
Exercise,University,0,False,1526314275,-1.0,32767,0,locked,0,Monday,1031,285,600,18928,2018-05-14 17:11:15+00:00,awake
Exercise,University,0,False,1526314305,-1.0,7311,0,locked,0,Monday,1031,330,660,19800,2018-05-14 17:11:45+00:00,awake
Still,University,0,False,1526314342,-1.0,7311,0,locked,0,Monday,1032,330,660,19800,2018-05-14 17:12:22+00:00,awake
Exercise,University,0,False,1526314369,-1.0,18606,0,locked,0,Monday,1032,330,660,19800,2018-05-14 17:12:49+00:00,awake
Exercise,University,0,False,1526314399,-1.0,18606,0,locked,0,Monday,1033,330,660,19800,2018-05-14 17:13:19+00:00,awake
Exercise,University,0,False,1526314429,-1.0,28552,0,locked,0,Monday,1033,330,660,19800,2018-05-14 17:13:49+00:00,awake
Still,University,0,False,1526314469,-1.0,28552,0,locked,0,Monday,1034,330,660,19800,2018-05-14 17:14:29+00:00,awake
Still,University,0,False,1526314499,-1.0,6903,0,locked,0,Monday,1034,330,660,19800,2018-05-14 17:14:59+00:00,awake
Still,University,0,False,1526314529,-1.0,6903,0,locked,0,Monday,1035,330,660,19800,2018-05-14 17:15:29+00:00,awake
Still,University,0,False,1526314559,-1.0,6647,0,locked,0,Monday,1035,330,660,19800,2018-05-14 17:15:59+00:00,awake
Still,University,0,False,1526314589,-1.0,6647,0,locked,0,Monday,1036,330,660,19800,2018-05-14 17:16:29+00:00,awake
Still,Other,0,False,1526314619,-1.0,14553,0,locked,0,Monday,1036,330,660,19800,2018-05-14 17:16:59+00:00,awake
Exercise,University,0,False,1526314649,-1.0,14553,0,locked,0,Monday,1037,330,660,19800,2018-05-14 17:17:29+00:00,awake
Exercise,University,0,False,1526314679,-1.0,22652,0,locked,0,Monday,1037,330,660,19800,2018-05-14 17:17:59+00:00,awake
Still,University,0,False,1526314744,-1.0,4898,0,locked,0,Monday,1039,330,660,19800,2018-05-14 17:19:04+00:00,awake
Still,University,0,False,1526314774,-1.0,4898,0,locked,0,Monday,1039,330,660,19800,2018-05-14 17:19:34+00:00,awake
Exercise,Other,0,False,1526314804,-1.0,27220,0,locked,0,Monday,1040,330,660,19800,2018-05-14 17:20:04+00:00,awake
Exercise,Other,0,False,1526314834,-1.0,27220,0,locked,0,Monday,1040,330,660,19800,2018-05-14 17:20:34+00:00,awake
Exercise,Other,0,False,1526314864,-1.0,29532,0,locked,0,Monday,1041,330,660,19800,2018-05-14 17:21:04+00:00,awake
Exercise,Other,0,False,1526314894,-1.0,29532,0,locked,0,Monday,1041,330,660,19800,2018-05-14 17:21:34+00:00,awake
Exercise,Other,0,False,1526314924,-1.0,29348,0,locked,0,Monday,1042,330,660,19800,2018-05-14 17:22:04+00:00,awake
Exercise,Other,0,False,1526314954,-1.0,29348,0,locked,0,Monday,1042,330,660,19800,2018-05-14 17:22:34+00:00,awake
Still,Other,0,False,1526314984,-1.0,30003,0,locked,0,Monday,1043,330,660,19800,2018-05-14 17:23:04+00:00,awake
Still,Other,0,False,1526315014,-1.0,30003,0,locked,0,Monday,1043,330,660,19800,2018-05-14 17:23:34+00:00,awake
Exercise,Other,0,False,1526315044,-1.0,30730,0,locked,0,Monday,1044,330,660,19800,2018-05-14 17:24:04+00:00,awake
In vehicle,Other,0,False,1526315115,-1.0,20212,0,locked,0,Monday,1045,330,660,19800,2018-05-14 17:25:15+00:00,awake
In vehicle,Other,0,False,1526315164,-1.0,20212,0,locked,0,Monday,1046,330,660,19800,2018-05-14 17:26:04+00:00,awake
In vehicle,Other,0,False,1526315194,-1.0,17118,0,locked,0,Monday,1046,330,660,19800,2018-05-14 17:26:34+00:00,awake
In vehicle,Other,0,False,1526315224,-1.0,17118,0,locked,0,Monday,1047,330,660,19800,2018-05-14 17:27:04+00:00,awake
In vehicle,Other,0,False,1526315254,-1.0,28513,0,locked,0,Monday,1047,330,660,19800,2018-05-14 17:27:34+00:00,awake
