activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7032661570535094,awake
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7032661570535094,awake
0.25,0.5,3.2112996e-07,0.0,0.5311476,1.0,0.0,0.0,1.0,0.703961084086171,awake
0.25,0.5,6.422599e-07,0.0,0.53216517,1.0,0.0,0.0,1.0,0.7053509381514941,awake
0.25,0.0,6.422599e-07,0.0,0.5263156,1.0,0.0,0.0,1.0,0.7053509381514941,awake
0.25,0.0,6.422599e-07,0.0,0.5263156,1.0,0.0,0.0,1.0,0.7060458651841557,awake
0.75,0.5,1.2845198e-06,0.0,0.53050226,1.0,1.0,0.0,1.0,0.7081306462821404,awake
0.75,0.5,1.2845198e-06,0.0,0.5410165,1.0,1.0,0.0,1.0,0.7081306462821404,awake
0.75,0.5,1.2845198e-06,0.0,0.5410165,1.0,0.0,0.0,1.0,0.7088255733148019,awake
0.75,0.5,1.6056498e-06,0.0,0.5331569,1.0,0.0,0.0,1.0,0.7095205003474635,awake
0.75,0.0,1.6056498e-06,0.0,0.515992,1.0,0.0,0.0,1.0,0.7102154273801251,awake
0.75,0.0,1.6056498e-06,0.0,0.58823824,1.0,0.0,0.0,1.0,0.7102154273801251,awake
0.0,0.0,1.9267798e-06,0.0,0.58823824,1.0,0.0,0.0,1.0,0.7109103544127866,awake
0.0,0.0,1.9267798e-06,0.0,0.55422676,1.0,0.0,0.0,1.0,0.7109103544127866,awake
0.75,0.0,1.9267798e-06,0.0,0.55422676,1.0,0.0,0.0,1.0,0.7116052814454482,awake
0.75,0.0,1.9267798e-06,0.0,0.52218133,1.0,0.0,0.0,1.0,0.7116052814454482,awake
0.25,0.0,1.9267798e-06,0.0,0.52218133,1.0,0.0,0.0,1.0,0.7123002084781098,awake
0.0,0.0,2.2479098e-06,0.0,0.53902334,1.0,0.0,0.0,1.0,0.7123002084781098,awake
0.25,0.0,2.2479098e-06,0.0,0.53902334,1.0,0.0,0.0,1.0,0.7129951355107713,awake
0.0,0.0,2.2479098e-06,0.0,0.52492553,1.0,0.0,0.0,1.0,0.7129951355107713,awake
0.0,0.0,2.5690397e-06,0.0,0.5295498,1.0,0.0,0.0,1.0,0.7136900625434329,awake
0.0,0.0,2.5690397e-06,0.0,0.53691053,1.0,0.0,0.0,1.0,0.7143849895760945,awake
0.25,0.0,2.5690397e-06,0.0,0.53691053,1.0,0.0,0.0,1.0,0.715079916608756,awake
0.0,0.0,2.8901698e-06,0.0,0.5271222,1.0,0.0,0.0,1.0,0.715079916608756,awake
0.75,0.0,2.8901698e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.7157748436414176,awake
0.75,0.5,2.8901698e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.7164697706740792,awake
0.75,0.5,3.2112996e-06,0.0,0.59043574,0.0,1.0,0.0,1.0,0.7164697706740792,awake
0.25,0.5,3.2112996e-06,0.0,0.59043574,0.0,1.0,0.0,1.0,0.7171646977067407,awake
0.75,0.5,3.2112996e-06,0.0,0.54407823,0.0,1.0,0.0,1.0,0.7171646977067407,awake
0.75,0.5,3.2112996e-06,0.0,0.54407823,0.0,1.0,0.0,1.0,0.7178596247394023,awake
0.75,0.5,3.2112996e-06,0.0,0.5228255,0.0,1.0,0.0,1.0,0.7178596247394023,awake
0.25,0.5,3.5324297e-06,0.0,0.5228255,0.0,1.0,0.0,1.0,0.718554551772064,awake
0.25,0.5,3.5324297e-06,0.0,0.59328556,0.0,1.0,0.0,1.0,0.718554551772064,awake
0.25,0.5,3.5324297e-06,0.0,0.59328556,0.0,1.0,0.0,1.0,0.7192494788047255,awake
0.25,0.5,3.5324297e-06,0.0,0.595161,0.0,1.0,0.0,1.0,0.7192494788047255,awake
0.25,0.5,3.8535595e-06,0.0,0.595161,0.0,1.0,0.0,1.0,0.7199444058373871,awake
0.25,0.0,3.8535595e-06,0.0,0.55627114,0.0,1.0,0.0,1.0,0.7199444058373871,awake
0.75,0.5,3.8535595e-06,0.0,0.55627114,0.0,1.0,0.0,1.0,0.7206393328700487,awake
0.75,0.5,3.8535595e-06,0.0,0.53431326,0.0,1.0,0.0,1.0,0.7206393328700487,awake
0.25,0.5,4.1746894e-06,0.0,0.6103143,0.0,1.0,0.0,1.0,0.7220291869353718,awake
0.25,0.5,4.1746894e-06,0.0,0.6103143,0.0,1.0,0.0,1.0,0.7220291869353718,awake
0.75,0.0,4.1746894e-06,0.0,0.52519643,0.0,1.0,0.0,1.0,0.7227241139680334,awake
0.75,0.0,4.4958197e-06,0.0,0.52519643,0.0,1.0,0.0,1.0,0.7227241139680334,awake
0.75,0.0,4.4958197e-06,0.0,0.52115065,0.0,1.0,0.0,1.0,0.7234190410006949,awake
0.75,0.0,4.4958197e-06,0.0,0.52115065,0.0,1.0,0.0,1.0,0.7234190410006949,awake
0.75,0.0,4.4958197e-06,0.0,0.52146083,0.0,1.0,0.0,1.0,0.7241139680333565,awake
0.75,0.0,4.8169495e-06,0.0,0.52146083,0.0,1.0,0.0,1.0,0.7241139680333565,awake
0.25,0.0,4.8169495e-06,0.0,0.5203654,0.0,1.0,0.0,1.0,0.7248088950660181,awake
0.25,0.0,4.8169495e-06,0.0,0.5203654,0.0,1.0,0.0,1.0,0.7248088950660181,awake
0.75,0.0,4.8169495e-06,0.0,0.5191772,0.0,1.0,0.0,1.0,0.7255038220986796,awake
1.0,0.0,5.1380794e-06,0.0,0.5399694,0.0,1.0,0.0,1.0,0.7261987491313412,awake
1.0,0.0,5.1380794e-06,0.0,0.5399694,0.0,1.0,0.0,1.0,0.7268936761640028,awake
1.0,0.0,5.1380794e-06,0.0,0.54821485,0.0,1.0,0.0,1.0,0.7268936761640028,awake
1.0,0.0,5.459209e-06,0.0,0.54821485,0.0,1.0,0.0,1.0,0.7275886031966643,awake
1.0,0.0,5.459209e-06,0.0,0.5228933,0.0,1.0,0.0,1.0,0.7275886031966643,awake
1.0,0.0,5.459209e-06,0.0,0.5228933,0.0,1.0,0.0,1.0,0.7282835302293259,awake
1.0,0.0,5.459209e-06,0.0,0.5428245,0.0,1.0,0.0,1.0,0.7282835302293259,awake
1.0,0.0,5.7803395e-06,0.0,0.5428245,0.0,1.0,0.0,1.0,0.7289784572619875,awake
1.0,0.0,5.7803395e-06,0.0,0.5386896,0.0,1.0,0.0,1.0,0.7289784572619875,awake
1.0,0.0,5.7803395e-06,0.0,0.5386896,0.0,1.0,0.0,1.0,0.729673384294649,awake
1.0,0.0,6.1014694e-06,0.0,0.5272569,0.0,1.0,0.0,1.0,0.729673384294649,awake
1.0,0.0,6.1014694e-06,0.0,0.5272569,0.0,1.0,0.0,1.0,0.7303683113273106,awake
0.25,0.0,6.1014694e-06,0.0,0.5499075,0.0,1.0,0.0,1.0,0.7310632383599722,awake
1.0,0.0,6.1014694e-06,0.0,0.5499075,0.0,1.0,0.0,1.0,0.7310632383599722,awake
1.0,0.0,6.422599e-06,0.0,0.5435582,0.0,1.0,0.0,1.0,0.7324530924252953,awake
1.0,0.0,6.422599e-06,0.0,0.57651633,0.0,1.0,0.0,1.0,0.7324530924252953,awake
1.0,0.0,6.7437295e-06,0.0,0.57651633,0.0,1.0,0.0,1.0,0.7331480194579569,awake
1.0,0.0,6.7437295e-06,0.0,0.5357266,0.0,1.0,0.0,1.0,0.7331480194579569,awake
1.0,0.0,6.7437295e-06,0.0,0.5357266,0.0,1.0,0.0,1.0,0.7338429464906184,awake
1.0,0.0,6.7437295e-06,0.0,0.54555637,0.0,1.0,0.0,1.0,0.73453787352328,awake
1.0,0.0,7.0648593e-06,0.0,0.54555637,0.0,1.0,0.0,1.0,0.73453787352328,awake
0.0,0.0,7.0648593e-06,0.0,0.5390258,0.0,1.0,0.0,1.0,0.7352328005559416,awake
1.0,0.0,7.0648593e-06,0.0,0.5390258,0.0,1.0,0.0,1.0,0.7352328005559416,awake
1.0,0.0,7.385989e-06,0.0,0.5420299,0.0,1.0,0.0,1.0,0.7359277275886031,awake
1.0,0.0,7.385989e-06,0.0,0.5420299,0.0,1.0,0.0,1.0,0.7366226546212647,awake
0.0,0.0,7.385989e-06,0.0,0.5444772,0.0,1.0,0.0,1.0,0.7366226546212647,awake
1.0,0.0,7.385989e-06,0.0,0.5444772,0.0,1.0,0.0,1.0,0.7373175816539264,awake
1.0,0.0,7.707119e-06,0.0,0.5484765,0.0,1.0,0.0,1.0,0.7373175816539264,awake
1.0,0.0,7.707119e-06,0.0,0.5484765,0.0,1.0,0.0,1.0,0.7380125086865879,awake
1.0,0.0,7.707119e-06,0.0,0.5358711,0.0,1.0,0.0,1.0,0.7387074357192495,awake
0.25,0.0,8.028249e-06,0.0,0.5358711,0.0,1.0,0.0,1.0,0.7387074357192495,awake
0.0,0.0,8.028249e-06,0.0,0.56460226,0.0,1.0,0.0,1.0,0.7394023627519111,awake
0.0,0.0,8.028249e-06,0.0,0.56460226,0.0,1.0,0.0,1.0,0.7400972897845726,awake
0.25,0.0,8.028249e-06,0.0,0.54457414,0.0,1.0,0.0,1.0,0.7400972897845726,awake
0.25,0.0,8.349379e-06,0.0,0.54457414,0.0,1.0,0.0,1.0,0.7407922168172342,awake
1.0,0.0,8.349379e-06,0.0,0.5387806,0.0,1.0,0.0,1.0,0.7414871438498958,awake
1.0,0.0,8.6705095e-06,0.0,0.5387806,0.0,1.0,0.0,1.0,0.7421820708825573,awake
1.0,0.0,8.6705095e-06,0.0,0.54355025,0.0,1.0,0.0,1.0,0.7421820708825573,awake
1.0,0.0,8.6705095e-06,0.0,0.54355025,0.0,1.0,0.0,1.0,0.7428769979152189,awake
1.0,0.0,8.6705095e-06,0.0,0.52921253,0.0,1.0,0.0,1.0,0.7428769979152189,awake
1.0,0.0,8.991639e-06,0.0,0.52921253,0.0,1.0,0.0,1.0,0.7435719249478805,awake
1.0,0.0,8.991639e-06,0.0,0.5392237,0.0,1.0,0.0,1.0,0.744266851980542,awake
1.0,0.0,8.991639e-06,0.0,0.5392237,0.0,1.0,0.0,1.0,0.744266851980542,awake
1.0,0.0,8.991639e-06,0.0,0.5615329,0.0,1.0,0.0,1.0,0.7449617790132036,awake
1.0,0.0,9.312769e-06,0.0,0.5615329,0.0,1.0,0.0,1.0,0.7449617790132036,awake
1.0,0.0,9.312769e-06,0.0,0.5326162,0.0,1.0,0.0,1.0,0.7456567060458652,awake
1.0,0.0,9.312769e-06,0.0,0.5326162,0.0,1.0,0.0,1.0,0.7463516330785267,awake
0.25,0.0,9.633899e-06,0.0,0.53661126,0.0,1.0,0.0,1.0,0.7463516330785267,awake
1.0,0.0,9.633899e-06,0.0,0.53661126,0.0,1.0,0.0,1.0,0.7470465601111883,awake
1.0,0.0,9.633899e-06,0.0,0.52926004,0.0,0.0,0.0,1.0,0.7470465601111883,awake
0.25,0.0,9.955029e-06,0.0,0.5407664,0.0,0.0,0.0,1.0,0.7477414871438499,awake
0.25,0.0,9.955029e-06,0.0,0.5407664,0.0,0.0,0.0,1.0,0.7484364141765114,awake
1.0,0.0,9.955029e-06,0.0,0.53341013,0.0,0.0,0.0,1.0,0.7484364141765114,awake
1.0,0.0,9.955029e-06,0.0,0.53341013,0.0,0.0,0.0,1.0,0.749131341209173,awake
1.0,0.0,9.955029e-06,0.0,0.526495,0.0,0.0,0.0,1.0,0.749131341209173,awake
0.25,0.0,1.0276159e-05,0.0,0.526495,0.0,0.0,0.0,1.0,0.7498262682418346,awake
1.0,0.0,1.0276159e-05,0.0,0.5316787,0.0,0.0,0.0,1.0,0.7505211952744962,awake
0.0,0.0,1.0276159e-05,0.0,0.5427258,0.0,0.0,0.0,1.0,0.7505211952744962,awake
0.25,0.0,1.0597289e-05,0.0,0.5427258,0.0,0.0,0.0,1.0,0.7512161223071577,awake
0.25,0.0,1.0597289e-05,0.0,0.53964883,0.0,0.0,0.0,1.0,0.7512161223071577,awake
1.0,0.0,1.0597289e-05,0.0,0.53964883,0.0,0.0,0.0,1.0,0.7519110493398193,awake
0.0,0.0,1.0597289e-05,0.0,0.5379062,0.0,0.0,0.0,1.0,0.7519110493398193,awake
1.0,0.0,1.0918418e-05,0.0,0.5379062,0.0,0.0,0.0,1.0,0.752605976372481,awake
1.0,0.0,1.0918418e-05,0.0,0.5422711,0.0,0.0,0.0,1.0,0.7533009034051424,awake
1.0,0.0,1.1239549e-05,0.0,0.5422711,0.0,0.0,0.0,1.0,0.753995830437804,awake
1.0,0.0,1.1239549e-05,0.0,0.5261537,0.0,0.0,0.0,1.0,0.753995830437804,awake
1.0,0.0,1.1239549e-05,0.0,0.5424334,0.0,0.0,0.0,1.0,0.7546907574704657,awake
0.25,0.0,1.1239549e-05,0.0,0.5424334,0.0,0.0,0.0,1.0,0.7553856845031272,awake
1.0,0.0,1.1560679e-05,0.0,0.53279436,0.0,0.0,0.0,1.0,0.7553856845031272,awake
1.0,0.0,1.1560679e-05,0.0,0.53279436,0.0,0.0,0.0,1.0,0.7560806115357888,awake
1.0,0.0,1.1560679e-05,0.0,0.5262113,0.0,0.0,0.0,1.0,0.7560806115357888,awake
1.0,0.0,1.1560679e-05,0.0,0.5262113,0.0,0.0,0.0,1.0,0.7567755385684504,awake
1.0,0.0,1.1881809e-05,0.0,0.5306974,0.0,0.0,0.0,1.0,0.7567755385684504,awake
1.0,0.0,1.1881809e-05,0.0,0.5306974,0.0,0.0,0.0,1.0,0.7574704656011119,awake
1.0,0.0,1.1881809e-05,0.0,0.53442293,0.0,0.0,0.0,1.0,0.7574704656011119,awake
1.0,0.0,1.1881809e-05,0.0,0.53442293,0.0,0.0,0.0,1.0,0.7581653926337735,awake
