activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,class
0.0,0.0,0.0,0.9519841,0.0,1.0,0.0,0.0011245074168597,0.6666666666666666,0.8366921473245309,asleep
0.0,0.0,0.0,0.9519841,0.0,1.0,0.0,0.0011245074168597,0.6666666666666666,0.8366921473245309,asleep
0.0,1.0,0.0,0.95188487,0.733655,1.0,0.0,0.0009680542110358,0.6666666666666666,0.8373870743571925,asleep
0.0,1.0,0.0,0.95178574,0.5427856,1.0,1.0,0.0018774384698876,0.6666666666666666,0.8380820013898541,asleep
0.25,1.0,3.210002e-07,0.95178574,0.5427856,0.0,1.0,0.0,0.6666666666666666,0.8380820013898541,asleep
0.25,1.0,3.210002e-07,0.95168656,0.54937345,1.0,1.0,0.0017209852640636,0.6666666666666666,0.8387769284225156,asleep
0.75,1.0,3.210002e-07,0.9515873,0.54506415,0.0,1.0,9.77832536399816e-06,0.6666666666666666,0.8394718554551772,asleep
0.75,1.0,6.420004e-07,0.951488,0.54506415,0.0,1.0,9.77832536399816e-06,0.6666666666666666,0.8401667824878388,asleep
0.0,1.0,6.420004e-07,0.951488,0.5609637,0.0,1.0,3.9113301455992645e-05,0.6666666666666666,0.8401667824878388,asleep
0.25,1.0,6.420004e-07,0.9513889,0.5609637,0.0,1.0,9.77832536399816e-06,0.6666666666666666,0.8408617095205003,asleep
0.25,1.0,6.420004e-07,0.9513889,0.57644975,0.0,1.0,1.955665072799632e-05,0.6666666666666666,0.8408617095205003,asleep
0.75,1.0,9.630005e-07,0.9512897,0.57644975,0.0,1.0,0.0,0.6666666666666666,0.8415566365531619,asleep
0.25,1.0,9.630005e-07,0.9512897,0.5388094,0.0,1.0,2.9334976091994484e-05,0.6666666666666666,0.8415566365531619,asleep
0.25,1.0,1.6050009e-06,0.9508929,0.6103143,0.0,1.0,0.0,0.6666666666666666,0.8443363446838082,asleep
0.25,1.0,1.6050009e-06,0.9507936,0.6103143,0.0,1.0,0.0,0.6666666666666666,0.8450312717164697,asleep
0.0,1.0,1.6050009e-06,0.9506944,0.6763733,0.0,1.0,1.955665072799632e-05,0.6666666666666666,0.8457261987491314,asleep
0.25,1.0,1.926001e-06,0.9506944,0.61471915,0.0,1.0,1.955665072799632e-05,0.6666666666666666,0.8457261987491314,asleep
0.75,1.0,1.926001e-06,0.95059526,0.61471915,0.0,1.0,0.0,0.6666666666666666,0.846421125781793,asleep
0.75,1.0,1.926001e-06,0.9504961,0.53817546,0.0,1.0,0.0005475862203838,0.6666666666666666,0.8471160528144545,asleep
0.75,1.0,2.2470012e-06,0.9504961,0.53817546,0.0,1.0,0.0004400246413799,0.6666666666666666,0.8471160528144545,asleep
0.25,1.0,2.2470012e-06,0.95039684,0.515992,0.0,1.0,0.0004204679906519,0.6666666666666666,0.8478109798471161,asleep
0.25,1.0,2.2470012e-06,0.95039684,0.515992,0.0,1.0,0.0003911330145599,0.6666666666666666,0.8478109798471161,asleep
0.25,1.0,2.2470012e-06,0.9502976,0.5161725,0.0,1.0,0.0004791379428359,0.6666666666666666,0.8485059068797777,asleep
0.25,1.0,2.5680015e-06,0.9501984,0.5227942,0.0,1.0,0.0003813546891959,0.6666666666666666,0.8492008339124392,asleep
0.25,1.0,2.5680015e-06,0.95009923,0.5227942,0.0,1.0,0.0003813546891959,0.6666666666666666,0.8498957609451008,asleep
0.25,1.0,2.5680015e-06,0.95009923,0.51612693,0.0,1.0,0.0003617980384679,0.6666666666666666,0.8498957609451008,asleep
0.25,1.0,2.8890017e-06,0.95,0.51612693,0.0,1.0,0.0003324630623759,0.6666666666666666,0.8505906879777624,asleep
0.25,1.0,2.8890017e-06,0.94990075,0.55284876,0.0,1.0,0.0003422413877399,0.6666666666666666,0.8512856150104239,asleep
0.25,1.0,3.2100018e-06,0.94990075,0.55284876,0.0,1.0,0.0003129064116479,0.6666666666666666,0.8512856150104239,asleep
0.25,1.0,3.2100018e-06,0.94980156,0.5192095,0.0,1.0,0.0002933497609199,0.6666666666666666,0.8519805420430855,asleep
0.25,1.0,3.2100018e-06,0.94970244,0.5192095,0.0,1.0,0.0003129064116479,0.6666666666666666,0.8526754690757471,asleep
0.25,1.0,3.2100018e-06,0.94970244,0.6305787,0.0,1.0,0.0002542364594639,0.6666666666666666,0.8526754690757471,asleep
0.25,1.0,3.531002e-06,0.9496032,0.6305787,0.0,1.0,0.0,0.6666666666666666,0.8533703961084086,asleep
0.75,1.0,3.531002e-06,0.9495039,0.51609206,0.0,1.0,1.955665072799632e-05,0.6666666666666666,0.8540653231410702,asleep
0.25,1.0,3.531002e-06,0.9495039,0.5881604,0.0,1.0,1.955665072799632e-05,0.6666666666666666,0.8540653231410702,asleep
0.25,1.0,3.852002e-06,0.9494048,0.5881604,0.0,1.0,1.955665072799632e-05,0.6666666666666666,0.8547602501737318,asleep
0.25,1.0,3.852002e-06,0.9494048,0.60875833,0.0,1.0,1.955665072799632e-05,0.6666666666666666,0.8547602501737318,asleep
0.25,1.0,3.852002e-06,0.9493056,0.60875833,0.0,1.0,1.955665072799632e-05,0.6666666666666666,0.8554551772063933,asleep
0.25,1.0,3.852002e-06,0.94920635,0.61739194,0.0,1.0,9.77832536399816e-06,0.6666666666666666,0.8561501042390549,asleep
