activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class,outside_range
Unknown,Other,0,False,1526390202,596640000.0,0,8,not locked,0,Tuesday,856,2018-05-15 14:16:42+00:00,awake,0
Still,Other,0,False,1526390382,596460000.0,29408,8,not locked,0,Tuesday,859,2018-05-15 14:19:42+00:00,awake,0
Still,Other,0,False,1526390412,596400000.0,28772,8,not locked,0,Tuesday,860,2018-05-15 14:20:12+00:00,awake,0
Still,Other,0,False,1526390648,596160000.0,29734,8,not locked,0,Tuesday,864,2018-05-15 14:24:08+00:00,awake,0
Still,Other,0,False,1526390678,596160000.0,19814,8,not locked,0,Tuesday,864,2018-05-15 14:24:38+00:00,awake,0
Still,Other,0,False,1526390738,596100000.0,15706,8,not locked,0,Tuesday,865,2018-05-15 14:25:38+00:00,awake,0
Still,Other,0,False,1526390768,596040000.0,15706,8,not locked,0,Tuesday,866,2018-05-15 14:26:08+00:00,awake,0
Still,Other,0,False,1526390828,595980000.0,28979,8,not locked,0,Tuesday,867,2018-05-15 14:27:08+00:00,awake,0
Still,Other,0,False,1526391191,595620000.0,30222,8,locked,0,Tuesday,873,2018-05-15 14:33:11+00:00,awake,0
Still,Other,0,False,1526391221,595620000.0,21015,8,locked,0,Tuesday,873,2018-05-15 14:33:41+00:00,awake,0
Still,Other,0,False,1526392441,594360000.0,17936,8,locked,0,Tuesday,894,2018-05-15 14:54:01+00:00,awake,0
Still,Other,0,False,1526392963,593880000.0,26292,8,locked,0,Tuesday,902,2018-05-15 15:02:43+00:00,awake,0
Still,Other,0,False,1526393549,593280000.0,28977,8,locked,0,Tuesday,912,2018-05-15 15:12:29+00:00,awake,0
Still,Other,0,False,1526393857,592980000.0,19726,8,locked,0,Tuesday,917,2018-05-15 15:17:37+00:00,awake,0
Unknown,Other,0,False,1526394810,592020000.0,0,8,not locked,0,Tuesday,933,2018-05-15 15:33:30+00:00,awake,0
Still,Other,0,False,1526394991,591840000.0,15076,8,locked,0,Tuesday,936,2018-05-15 15:36:31+00:00,awake,0
Still,Other,0,False,1526395210,591600000.0,10446,8,locked,0,Tuesday,940,2018-05-15 15:40:10+00:00,awake,0
Still,Other,0,False,1526395855,591000000.0,19517,8,locked,0,Tuesday,950,2018-05-15 15:50:55+00:00,awake,0
Still,Other,0,False,1526395916,590940000.0,20802,8,locked,0,Tuesday,951,2018-05-15 15:51:56+00:00,awake,0
Still,Other,0,False,1526396179,590640000.0,18682,8,locked,0,Tuesday,956,2018-05-15 15:56:19+00:00,awake,0
Exercise,Other,0,False,1526396670,590160000.0,19870,0,locked,0,Tuesday,964,2018-05-15 16:04:30+00:00,awake,0
Exercise,Other,0,False,1526396760,590040000.0,29348,0,locked,0,Tuesday,966,2018-05-15 16:06:00+00:00,awake,0
Unknown,Other,0,False,1526396855,589980000.0,28672,8,not locked,0,Tuesday,967,2018-05-15 16:07:35+00:00,awake,0
Still,Other,0,False,1526396975,589860000.0,22092,8,not locked,0,Tuesday,969,2018-05-15 16:09:35+00:00,awake,0
Exercise,Other,0,False,1526397006,589800000.0,22092,0,locked,0,Tuesday,970,2018-05-15 16:10:06+00:00,awake,0
Still,Other,0,False,1526397512,589320000.0,21912,0,locked,0,Tuesday,978,2018-05-15 16:18:32+00:00,awake,0
Still,Other,0,False,1526397968,588900000.0,10025,0,locked,0,Tuesday,986,2018-05-15 16:26:08+00:00,awake,0
Still,Other,0,False,1526398063,588780000.0,12547,0,locked,0,Tuesday,987,2018-05-15 16:27:43+00:00,awake,0
Still,Other,0,False,1526398123,588720000.0,28412,0,locked,0,Tuesday,988,2018-05-15 16:28:43+00:00,awake,0
Still,Other,0,False,1526399363,587460000.0,19781,8,locked,0,Tuesday,1009,2018-05-15 16:49:23+00:00,awake,0
Still,Other,0,False,1526400450,586380000.0,29347,8,locked,0,Tuesday,1027,2018-05-15 17:07:30+00:00,awake,0
Still,Other,0,False,1526400736,586080000.0,29848,8,locked,0,Tuesday,1032,2018-05-15 17:12:16+00:00,awake,0
Still,Other,0,False,1526401527,585300000.0,18301,8,locked,0,Tuesday,1045,2018-05-15 17:25:27+00:00,awake,0
Still,Other,0,False,1526401642,585180000.0,31174,8,locked,0,Tuesday,1047,2018-05-15 17:27:22+00:00,awake,0
Still,Other,0,False,1526401719,585120000.0,19396,8,locked,0,Tuesday,1048,2018-05-15 17:28:39+00:00,awake,0
Still,Other,0,False,1526401749,585060000.0,19396,8,locked,0,Tuesday,1049,2018-05-15 17:29:09+00:00,awake,0
Still,Other,0,False,1526401779,585060000.0,20530,8,locked,0,Tuesday,1049,2018-05-15 17:29:39+00:00,awake,0
Still,Other,0,False,1526401965,584880000.0,16940,8,locked,0,Tuesday,1052,2018-05-15 17:32:45+00:00,awake,0
Still,Other,0,False,1526402582,584220000.0,16207,0,locked,0,Tuesday,1063,2018-05-15 17:43:02+00:00,awake,0
Still,Other,0,False,1526402612,584220000.0,21248,0,locked,0,Tuesday,1063,2018-05-15 17:43:32+00:00,awake,0
Tilting,Other,0,False,1526402723,584100000.0,24083,0,locked,0,Tuesday,1065,2018-05-15 17:45:23+00:00,awake,0
Exercise,Other,0,False,1526402963,583860000.0,15417,0,locked,0,Tuesday,1069,2018-05-15 17:49:23+00:00,awake,0
Still,Other,0,False,1526403062,583740000.0,22765,0,locked,0,Tuesday,1071,2018-05-15 17:51:02+00:00,awake,0
Still,Other,0,False,1526403092,583740000.0,17467,0,locked,0,Tuesday,1071,2018-05-15 17:51:32+00:00,awake,0
Still,Other,0,False,1526403122,583680000.0,17467,0,locked,0,Tuesday,1072,2018-05-15 17:52:02+00:00,awake,0
Still,Other,0,False,1526403152,583680000.0,19951,0,locked,0,Tuesday,1072,2018-05-15 17:52:32+00:00,awake,0
Still,Other,0,False,1526403212,583620000.0,30545,0,locked,0,Tuesday,1073,2018-05-15 17:53:32+00:00,awake,0
Still,Other,0,False,1526403521,583320000.0,28250,0,locked,0,Tuesday,1078,2018-05-15 17:58:41+00:00,awake,0
