activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
Unknown,Other,0,False,1526390379,599760000.0,0,5,not locked,71,Tuesday,859,2018-05-15 14:19:39+00:00,awake
Unknown,Other,0,False,1526390441,599700000.0,0,5,not locked,85,Tuesday,860,2018-05-15 14:20:41+00:00,awake
Unknown,Other,0,False,1526432176,-1.0,0,5,not locked,0,Tuesday,116,2018-05-16 01:56:16+00:00,awake
Unknown,Other,0,False,1526432308,0.0,0,0,not locked,0,Tuesday,118,2018-05-16 01:58:28+00:00,awake
Still,House,0,False,1526477624,594720000.0,30776,5,not locked,177,Wednesday,873,2018-05-16 14:33:44+00:00,awake
Unknown,Other,0,False,1526432393,-1.0,0,5,not locked,0,Tuesday,119,2018-05-16 01:59:53+00:00,awake
Unknown,Other,0,False,1526432422,-1.0,726,5,not locked,0,Tuesday,120,2018-05-16 02:00:22+00:00,awake
Still,Other,0,False,1526474748,597600000.0,1904,5,locked,19,Wednesday,825,2018-05-16 13:45:48+00:00,awake
Still,Other,0,False,1526474808,597540000.0,232,5,locked,19,Wednesday,826,2018-05-16 13:46:48+00:00,awake
Still,Other,0,False,1526474838,597480000.0,1791,5,locked,19,Wednesday,827,2018-05-16 13:47:18+00:00,awake
Still,Other,0,False,1526474928,597420000.0,16,5,locked,19,Wednesday,828,2018-05-16 13:48:48+00:00,awake
Still,Other,0,False,1526474958,597360000.0,523,5,locked,16,Wednesday,829,2018-05-16 13:49:18+00:00,awake
Still,Other,0,False,1526474988,597360000.0,523,5,locked,16,Wednesday,829,2018-05-16 13:49:48+00:00,awake
Still,House,0,False,1526479380,592980000.0,11312,5,locked,79,Wednesday,903,2018-05-16 15:03:00+00:00,awake
Still,House,0,False,1526479380,592980000.0,11312,5,locked,79,Wednesday,903,2018-05-16 15:03:00+00:00,awake
Still,Other,0,False,1526475710,596640000.0,30777,5,locked,12,Wednesday,841,2018-05-16 14:01:50+00:00,awake
Still,Other,0,False,1526475831,596520000.0,32697,0,locked,0,Wednesday,843,2018-05-16 14:03:51+00:00,awake
Still,House,0,False,1526478732,593640000.0,6204,5,locked,152,Wednesday,892,2018-05-16 14:52:12+00:00,awake
Still,House,0,False,1526478762,593580000.0,11118,5,locked,157,Wednesday,892,2018-05-16 14:52:42+00:00,awake
