activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
Exercise,University,0,False,1526317085,-1.0,32767,0,not locked,0,Monday,1078,675,195,57600,2018-05-14 17:58:05+00:00,asleep
Still,University,0,False,1526317793,-1.0,13082,1,not locked,0,Monday,1089,675,195,57600,2018-05-14 18:09:53+00:00,asleep
Still,University,0,False,1526318003,-1.0,32767,1,not locked,0,Monday,1093,675,195,57600,2018-05-14 18:13:23+00:00,asleep
Unknown,University,0,False,1526318033,-1.0,32767,1,not locked,0,Monday,1093,675,195,57600,2018-05-14 18:13:53+00:00,asleep
Unknown,University,0,False,1526318063,-1.0,7060,1,not locked,0,Monday,1094,675,195,57600,2018-05-14 18:14:23+00:00,asleep
Unknown,University,0,False,1526318093,-1.0,7060,0,not locked,0,Monday,1094,675,195,57600,2018-05-14 18:14:53+00:00,asleep
Unknown,University,0,False,1526318123,-1.0,27058,1,not locked,0,Monday,1095,675,195,57600,2018-05-14 18:15:23+00:00,asleep
Unknown,University,0,False,1526318244,-1.0,26125,1,not locked,0,Monday,1097,675,195,57600,2018-05-14 18:17:24+00:00,asleep
Unknown,University,0,False,1526318304,-1.0,32681,1,not locked,0,Monday,1098,675,195,57600,2018-05-14 18:18:24+00:00,asleep
Unknown,University,0,False,1526318340,-1.0,31564,0,not locked,0,Monday,1099,675,195,57600,2018-05-14 18:19:00+00:00,asleep
Still,University,0,False,1526318400,-1.0,28543,0,not locked,0,Monday,1100,675,195,57600,2018-05-14 18:20:00+00:00,asleep
Unknown,University,0,False,1526318520,-1.0,9204,0,not locked,0,Monday,1102,675,195,57600,2018-05-14 18:22:00+00:00,asleep
Still,University,0,False,1526318611,-1.0,9676,0,not locked,0,Monday,1103,675,195,57600,2018-05-14 18:23:31+00:00,asleep
Still,University,0,False,1526318671,-1.0,20117,0,not locked,0,Monday,1104,675,195,57600,2018-05-14 18:24:31+00:00,asleep
Still,University,0,False,1526318701,-1.0,4453,0,not locked,0,Monday,1105,675,195,57600,2018-05-14 18:25:01+00:00,asleep
Still,University,0,False,1526318731,-1.0,4453,0,not locked,0,Monday,1105,675,195,57600,2018-05-14 18:25:31+00:00,asleep
Still,University,0,False,1526318821,-1.0,15095,0,not locked,0,Monday,1107,675,195,57600,2018-05-14 18:27:01+00:00,asleep
Still,University,0,False,1526319093,-1.0,20087,0,not locked,0,Monday,1111,675,195,57600,2018-05-14 18:31:33+00:00,asleep
Unknown,University,0,False,1526319153,-1.0,26079,0,not locked,0,Monday,1112,675,195,57600,2018-05-14 18:32:33+00:00,asleep
Unknown,Other,0,False,1526319155,0.0,0,0,not locked,0,Monday,1112,675,195,57600,2018-05-14 18:32:35+00:00,asleep
Unknown,House,0,False,1526319337,-1.0,32767,1,not locked,0,Monday,1115,675,195,57600,2018-05-14 18:35:37+00:00,asleep
Still,House,0,False,1526319457,-1.0,3816,1,not locked,0,Monday,1117,675,195,57600,2018-05-14 18:37:37+00:00,asleep
Unknown,House,0,False,1526319487,-1.0,4405,1,not locked,0,Monday,1118,675,195,57600,2018-05-14 18:38:07+00:00,asleep
Unknown,House,0,False,1526319578,-1.0,10997,1,not locked,0,Monday,1119,675,195,57600,2018-05-14 18:39:38+00:00,asleep
Unknown,House,0,False,1526319608,-1.0,2414,1,not locked,0,Monday,1120,675,195,57600,2018-05-14 18:40:08+00:00,asleep
Still,House,0,False,1526319888,-1.0,3752,1,not locked,0,Monday,1124,675,195,57600,2018-05-14 18:44:48+00:00,asleep
Unknown,House,0,False,1526320038,-1.0,30400,1,not locked,0,Monday,1127,675,195,57600,2018-05-14 18:47:18+00:00,asleep
Still,House,0,False,1526320123,-1.0,32755,0,not locked,0,Monday,1128,675,195,57600,2018-05-14 18:48:43+00:00,asleep
Still,House,0,False,1526320183,-1.0,30079,0,not locked,0,Monday,1129,675,195,57600,2018-05-14 18:49:43+00:00,asleep
Still,House,0,False,1526320213,-1.0,30079,0,not locked,0,Monday,1130,675,195,57600,2018-05-14 18:50:13+00:00,asleep
Unknown,House,0,False,1526320590,-1.0,32757,1,not locked,0,Monday,1136,675,195,57600,2018-05-14 18:56:30+00:00,asleep
Still,House,0,False,1526320669,-1.0,15422,0,not locked,0,Monday,1137,675,195,57600,2018-05-14 18:57:49+00:00,asleep
Unknown,Other,0,False,1526320732,-1.0,0,0,not locked,0,Monday,1138,675,195,57600,2018-05-14 18:58:52+00:00,asleep
Still,House,0,False,1526320942,-1.0,32767,0,not locked,0,Monday,1142,675,195,57600,2018-05-14 19:02:22+00:00,asleep
Still,House,0,False,1526321123,-1.0,23531,1,not locked,0,Monday,1145,675,195,57600,2018-05-14 19:05:23+00:00,asleep
Unknown,House,0,False,1526321333,-1.0,32767,1,not locked,0,Monday,1148,600,1080,28800,2018-05-14 19:08:53+00:00,asleep
Still,House,0,False,1526324978,-1.0,9288,1,locked,0,Monday,1209,675,195,57600,2018-05-14 20:09:38+00:00,asleep
Still,House,0,False,1526326192,-1.0,5170,1,locked,0,Monday,1229,675,195,57600,2018-05-14 20:29:52+00:00,asleep
Still,House,0,False,1526326708,-1.0,17881,1,locked,0,Monday,1238,675,195,57600,2018-05-14 20:38:28+00:00,asleep
Unknown,House,0,False,1526327997,-1.0,32767,0,not locked,0,Monday,1259,675,195,57600,2018-05-14 20:59:57+00:00,asleep
Still,House,0,False,1526330087,-1.0,30451,1,locked,0,Monday,1294,675,195,57600,2018-05-14 21:34:47+00:00,asleep
Still,House,0,False,1526330207,-1.0,23669,1,not locked,0,Monday,1296,675,195,57600,2018-05-14 21:36:47+00:00,asleep
Still,House,0,False,1526330979,-1.0,30671,0,not locked,0,Monday,1309,675,195,57600,2018-05-14 21:49:39+00:00,asleep
Still,House,0,False,1526332332,-1.0,14034,0,not locked,0,Monday,1332,675,195,57600,2018-05-14 22:12:12+00:00,asleep
Still,House,0,False,1526332478,-1.0,14317,0,not locked,0,Monday,1334,675,195,57600,2018-05-14 22:14:38+00:00,asleep
Unknown,House,0,False,1526332748,-1.0,29375,0,not locked,0,Monday,1339,675,195,57600,2018-05-14 22:19:08+00:00,asleep
Still,House,0,False,1526332779,-1.0,15138,0,not locked,0,Monday,1339,675,195,57600,2018-05-14 22:19:39+00:00,asleep
Still,House,0,False,1526332959,-1.0,27535,0,not locked,0,Monday,1342,675,195,57600,2018-05-14 22:22:39+00:00,asleep
Unknown,Other,0,False,1526333505,-1.0,0,0,not locked,0,Monday,1351,675,195,57600,2018-05-14 22:31:45+00:00,asleep
Still,House,0,False,1526333535,-1.0,23286,0,not locked,0,Monday,1352,675,195,57600,2018-05-14 22:32:15+00:00,asleep
