activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.75,0.5,0.0,0.0,0.515992,0.0,0.0,0.0,1.0,0.749131341209173,2018-05-14 17:58:05+00:00,asleep
0.25,0.5,1.926799e-06,0.0,0.56155944,1.0,0.0,0.0,1.0,0.7567755385684504,2018-05-14 18:09:53+00:00,asleep
0.25,0.5,2.2479321e-06,0.0,0.515992,1.0,0.0,0.0,1.0,0.7595552466990966,2018-05-14 18:13:23+00:00,asleep
0.0,0.5,2.5690654e-06,0.0,0.515992,1.0,0.0,0.0,1.0,0.7595552466990966,2018-05-14 18:13:53+00:00,asleep
0.0,0.5,2.5690654e-06,0.0,0.59216946,1.0,0.0,0.0,1.0,0.7602501737317582,2018-05-14 18:14:23+00:00,asleep
0.0,0.5,2.5690654e-06,0.0,0.59216946,0.0,0.0,0.0,1.0,0.7602501737317582,2018-05-14 18:14:53+00:00,asleep
0.0,0.5,2.5690654e-06,0.0,0.52549267,1.0,0.0,0.0,1.0,0.7609451007644198,2018-05-14 18:15:23+00:00,asleep
0.0,0.5,2.8901984e-06,0.0,0.5272341,1.0,0.0,0.0,1.0,0.7623349548297429,2018-05-14 18:17:24+00:00,asleep
0.0,0.5,3.2113317e-06,0.0,0.5161224,1.0,0.0,0.0,1.0,0.7630298818624045,2018-05-14 18:18:24+00:00,asleep
0.0,0.5,3.2113317e-06,0.0,0.51784825,0.0,0.0,0.0,1.0,0.763724808895066,2018-05-14 18:19:00+00:00,asleep
0.25,0.5,3.2113317e-06,0.0,0.5228411,0.0,0.0,0.0,1.0,0.7644197359277276,2018-05-14 18:20:00+00:00,asleep
0.0,0.5,3.5324647e-06,0.0,0.5790085,0.0,0.0,0.0,1.0,0.7658095899930507,2018-05-14 18:22:00+00:00,asleep
0.25,0.5,3.853598e-06,0.0,0.57652664,0.0,0.0,0.0,1.0,0.7665045170257123,2018-05-14 18:23:31+00:00,asleep
0.25,0.5,4.174731e-06,0.0,0.5402032,0.0,0.0,0.0,1.0,0.7671994440583739,2018-05-14 18:24:31+00:00,asleep
0.25,0.5,4.174731e-06,0.0,0.6150413,0.0,0.0,0.0,1.0,0.7678943710910354,2018-05-14 18:25:01+00:00,asleep
0.25,0.5,4.174731e-06,0.0,0.6150413,0.0,0.0,0.0,1.0,0.7678943710910354,2018-05-14 18:25:31+00:00,asleep
0.25,0.5,4.4958642e-06,0.0,0.5544564,0.0,0.0,0.0,1.0,0.7692842251563586,2018-05-14 18:27:01+00:00,asleep
