activity,location,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,timestamp_text,class
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0008111960213488598,1.0,0.9812369701181376,2018-05-14 23:32:57+00:00,awake
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0008111960213488598,1.0,0.9812369701181376,2018-05-14 23:32:57+00:00,awake
0.25,0.5,0.0,0.0,0.515992,1.0,0.0,0.0004776200873362445,1.0,0.9819318971507992,2018-05-14 23:33:27+00:00,awake
0.0,0.5,3.2114934e-07,0.0,0.515992,1.0,0.0,0.00025018195050946143,1.0,0.9826268241834607,2018-05-14 23:34:27+00:00,awake
0.0,0.5,3.2114934e-07,0.0,0.515992,1.0,0.0,0.0004093886462882096,1.0,0.9826268241834607,2018-05-14 23:34:58+00:00,awake
0.25,0.5,3.2114934e-07,0.0,0.515992,1.0,0.0,0.00033357593401261526,1.0,0.9833217512161223,2018-05-14 23:35:28+00:00,awake
1.0,0.5,6.422987e-07,0.0,0.515992,1.0,0.0,0.00030325084910237746,1.0,0.9833217512161223,2018-05-14 23:35:58+00:00,awake
0.0,0.5,6.422987e-07,0.0,0.515992,1.0,0.0,0.0004018073750606502,1.0,0.9840166782487839,2018-05-14 23:36:28+00:00,awake
0.25,0.5,6.422987e-07,0.0,0.515992,1.0,0.0,0.0003487384764677341,1.0,0.9840166782487839,2018-05-14 23:36:58+00:00,awake
0.25,0.5,6.422987e-07,0.0,0.515992,1.0,1.0,0.0008718461911693353,1.0,0.9847116052814454,2018-05-14 23:37:28+00:00,awake
0.25,0.5,9.634481e-07,0.0,0.515992,0.0,1.0,0.0,1.0,0.9847116052814454,2018-05-14 23:37:58+00:00,awake
0.25,1.0,9.634481e-07,0.0,0.55203426,0.0,1.0,0.0,1.0,0.985406532314107,2018-05-14 23:38:28+00:00,awake
0.75,1.0,9.634481e-07,0.0,0.55203426,0.0,1.0,0.0,1.0,0.9861014593467686,2018-05-14 23:39:15+00:00,awake
0.25,1.0,9.634481e-07,0.0,0.543169,0.0,1.0,0.0,1.0,0.9861014593467686,2018-05-14 23:39:45+00:00,awake
0.25,1.0,1.2845974e-06,0.0,0.543169,0.0,1.0,0.0,1.0,0.9867963863794301,2018-05-14 23:40:15+00:00,awake
0.0,1.0,1.2845974e-06,0.0,0.56567043,0.0,1.0,0.0,1.0,0.9867963863794301,2018-05-14 23:40:45+00:00,awake
0.25,1.0,1.2845974e-06,0.0,0.56567043,0.0,1.0,0.0,1.0,0.9874913134120917,2018-05-14 23:41:25+00:00,awake
0.25,1.0,1.2845974e-06,0.0,0.552655,0.0,1.0,0.0,1.0,0.9874913134120917,2018-05-14 23:41:55+00:00,awake
0.25,1.0,1.6057468e-06,0.0,0.552655,0.0,1.0,0.0,1.0,0.9881862404447533,2018-05-14 23:42:29+00:00,awake
0.25,1.0,1.6057468e-06,0.0,0.6008926,0.0,1.0,0.0,1.0,0.9881862404447533,2018-05-14 23:42:59+00:00,awake
0.25,1.0,1.6057468e-06,0.0,0.6008926,0.0,1.0,0.0,1.0,0.9888811674774148,2018-05-14 23:43:29+00:00,awake
0.25,1.0,1.9268962e-06,0.0,0.55408627,0.0,1.0,0.0,1.0,0.9895760945100764,2018-05-14 23:44:46+00:00,awake
0.25,1.0,1.9268962e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.990271021542738,2018-05-14 23:45:16+00:00,awake
0.25,1.0,1.9268962e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.990271021542738,2018-05-14 23:45:47+00:00,awake
0.25,1.0,1.9268962e-06,0.0,0.5442439,0.0,1.0,0.0,1.0,0.9909659485753995,2018-05-14 23:46:17+00:00,awake
0.25,1.0,2.2480456e-06,0.0,0.5442439,0.0,1.0,0.0,1.0,0.9909659485753995,2018-05-14 23:46:47+00:00,awake
0.25,1.0,2.2480456e-06,0.0,0.54421175,0.0,1.0,0.0,1.0,0.9916608756080612,2018-05-14 23:47:17+00:00,awake
0.25,1.0,2.2480456e-06,0.0,0.54421175,0.0,1.0,0.0,1.0,0.9916608756080612,2018-05-14 23:47:47+00:00,awake
0.25,1.0,2.2480456e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.9923558026407228,2018-05-14 23:48:17+00:00,awake
0.25,1.0,2.5691947e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.9923558026407228,2018-05-14 23:48:47+00:00,awake
0.25,1.0,2.5691947e-06,0.0,0.5730986,0.0,1.0,0.0,1.0,0.9930507296733843,2018-05-14 23:49:17+00:00,awake
0.25,1.0,2.5691947e-06,0.0,0.5730986,0.0,1.0,0.0,1.0,0.9930507296733843,2018-05-14 23:49:51+00:00,awake
0.25,1.0,2.5691947e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.9937456567060459,2018-05-14 23:50:21+00:00,awake
1.0,1.0,2.8903441e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.9944405837387075,2018-05-14 23:51:13+00:00,awake
0.25,1.0,2.8903441e-06,0.0,0.5457187,0.0,1.0,0.0,1.0,0.9944405837387075,2018-05-14 23:51:43+00:00,awake
0.25,1.0,2.8903441e-06,0.0,0.5457187,0.0,1.0,0.0,1.0,0.995135510771369,2018-05-14 23:52:21+00:00,awake
0.25,1.0,3.2114935e-06,0.0,0.53291565,0.0,1.0,0.0,1.0,0.995135510771369,2018-05-14 23:52:51+00:00,awake
0.0,1.0,3.2114935e-06,0.0,0.53291565,0.0,1.0,0.0,1.0,0.9958304378040306,2018-05-14 23:53:37+00:00,awake
0.0,1.0,3.2114935e-06,0.0,0.54705155,0.0,1.0,0.0,1.0,0.9965253648366922,2018-05-14 23:54:07+00:00,awake
0.25,1.0,3.2114935e-06,0.0,0.54705155,0.0,1.0,0.0,1.0,0.9965253648366922,2018-05-14 23:54:51+00:00,awake
0.25,1.0,3.532643e-06,0.0,0.5539071,0.0,1.0,0.0,1.0,0.9972202918693537,2018-05-14 23:55:21+00:00,awake
0.25,1.0,3.532643e-06,0.0,0.5539071,0.0,1.0,0.0,1.0,0.9972202918693537,2018-05-14 23:55:51+00:00,awake
0.25,1.0,3.532643e-06,0.0,0.5307097,0.0,1.0,0.0,1.0,0.9979152189020153,2018-05-14 23:56:21+00:00,awake
0.25,1.0,3.8537924e-06,0.0,0.54603404,0.0,1.0,0.0,1.0,0.9986101459346769,2018-05-14 23:57:30+00:00,awake
0.0,1.0,3.8537924e-06,0.0,0.54603404,1.0,0.0,0.0006368267831149927,1.0,0.9993050729673384,2018-05-14 23:58:16+00:00,awake
0.25,1.0,3.8537924e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.9993050729673384,2018-05-14 23:58:46+00:00,awake
0.25,1.0,4.1749418e-06,0.0,0.515992,0.0,1.0,0.0,1.0,1.0,2018-05-14 23:59:53+00:00,awake
0.25,1.0,4.1749418e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.0,2018-05-15 00:00:23+00:00,awake
0.25,1.0,4.1749418e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.0,2018-05-15 00:00:53+00:00,awake
0.75,1.0,4.496091e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.0006949270326615705,2018-05-15 00:01:39+00:00,awake
0.75,1.0,4.496091e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.001389854065323141,2018-05-15 00:02:09+00:00,awake
0.75,1.0,4.496091e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.001389854065323141,2018-05-15 00:02:39+00:00,awake
0.0,1.0,4.496091e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.0020847810979847115,2018-05-15 00:03:09+00:00,awake
0.75,1.0,4.8172406e-06,0.0,0.515992,0.0,1.0,0.0,1.0,0.0020847810979847115,2018-05-15 00:03:42+00:00,awake
