activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
Exercise,House,0,False,1526310968,-1.0,32767,8,not locked,0,Monday,976,180,600,25235,2018-05-14 16:16:08+00:00,awake
Still,House,0,False,1526311059,-1.0,19335,0,locked,1,Monday,977,180,600,25235,2018-05-14 16:17:39+00:00,awake
Still,House,0,False,1526311119,-1.0,32767,0,locked,0,Monday,978,180,600,25235,2018-05-14 16:18:39+00:00,awake
Unknown,House,0,False,1526311149,-1.0,32767,0,locked,0,Monday,979,180,600,25235,2018-05-14 16:19:09+00:00,awake
Still,House,0,False,1526311209,-1.0,24050,0,locked,0,Monday,980,180,600,25235,2018-05-14 16:20:09+00:00,awake
Still,House,0,False,1526311300,-1.0,20305,0,locked,0,Monday,981,180,600,25235,2018-05-14 16:21:40+00:00,awake
Still,House,0,False,1526311330,-1.0,18151,0,locked,0,Monday,982,180,600,25235,2018-05-14 16:22:10+00:00,awake
Still,House,0,False,1526311390,-1.0,20990,0,locked,0,Monday,983,180,600,25235,2018-05-14 16:23:10+00:00,awake
Still,House,0,False,1526311420,-1.0,20990,0,locked,0,Monday,983,180,600,25235,2018-05-14 16:23:40+00:00,awake
Still,House,0,False,1526312049,-1.0,16490,0,locked,0,Monday,994,180,600,25235,2018-05-14 16:34:09+00:00,awake
Still,House,0,False,1526312313,-1.0,30886,0,locked,0,Monday,998,180,600,25235,2018-05-14 16:38:33+00:00,awake
Still,House,0,False,1526312966,-1.0,18003,0,locked,0,Monday,1009,180,600,25235,2018-05-14 16:49:26+00:00,awake
Still,House,0,False,1526313107,-1.0,30789,8,locked,1,Monday,1011,180,600,25235,2018-05-14 16:51:47+00:00,awake
Still,House,0,False,1526313167,-1.0,32767,8,not locked,4,Monday,1012,180,600,25235,2018-05-14 16:52:47+00:00,awake
Unknown,House,0,False,1526313220,-1.0,7549,8,not locked,123,Monday,1013,525,630,6300,2018-05-14 16:53:40+00:00,awake
